Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,s0,8956,0,7,6.522022516449694,1.231520996952895,73.04010100051528,3070.0,49.9895272886482,0.0,7,8,10,10,12,12,14,15,47,73,73
GET,s1,5972,0,8,7.402330192541654,1.7604950044187717,67.39733699942008,9818.186202277295,33.3337937659454,0.0,8,9,9,9,10,11,13,19,51,67,67
GET,s2,5972,0,5,4.963356962998257,1.8863579971366562,19.109549997665454,9893.931848626926,33.3337937659454,0.0,5,5,5,5,6,7,7,8,15,19,19
GET,s3,5972,0,2,1.6086377621093753,0.9476219929638319,10.316416999557987,3070.0,33.3337937659454,0.0,2,2,2,2,2,2,3,3,3,10,10
GET,s4,5971,0,5,5.1735420468749735,1.7476310022175312,60.320516997308005,9915.243510299782,33.32821208581045,0.0,5,6,6,6,6,7,11,17,39,60,60
GET,s5,5971,0,2,2.3379610363441437,1.5247110059135593,13.476961001288146,9928.482331267795,33.32821208581045,0.0,2,2,2,3,3,3,3,4,6,13,13
GET,s6,5971,0,2,2.3788117000419158,1.5683859965065494,14.897837994794827,9856.190587841233,33.32821208581045,0.0,2,2,3,3,3,3,3,4,10,15,15
GET,s7,5971,0,5,4.899395517189149,1.549059001263231,17.11184099985985,9766.201138837716,33.32821208581045,0.0,5,5,6,6,6,6,7,7,11,17,17
GET,s8,5971,0,2,1.671283261261254,0.9387489990331233,4.042010994453449,3070.0,33.32821208581045,0.0,2,2,2,2,2,2,3,3,4,4,4
GET,s9,5970,0,2,2.309027813214413,1.468536000174936,14.007423000293784,10212.689279731992,33.3226304056755,0.0,2,2,2,3,3,3,3,4,11,14,14
,Aggregated,62697,0,3,4.0502638191204365,0.9387489990331233,73.04010100051528,7631.986251335789,349.95459942121215,0.0,3,5,5,6,8,10,12,13,28,63,73
