Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,s0,31450,0,79,56.26664173197495,1.202350998937618,298.93156699836254,3070.0,175.54918329146685,0.0,79,88,92,94,98,100,180,190,200,290,300
GET,s1,2610,0,9,9.926560682119597,1.835953997215256,95.06028000032529,9795.304214559386,14.56862856568294,0.0,9,11,12,12,14,15,18,68,91,95,95
GET,s2,2535,0,6,7.691318308090731,2.188507998653222,91.29721899807919,9864.565680473374,14.1499898137955,0.0,6,7,8,9,10,12,14,79,89,91,91
GET,s3,2603,0,3,2.9038749219766027,1.070118996722158,15.407664999656845,3070.0,14.52955561550678,0.0,3,3,4,4,5,6,7,8,11,15,15
GET,s4,2484,0,6,7.331264074467902,1.9860419997712597,85.24190699972678,10085.72383252818,13.86531546251204,0.0,6,8,8,9,10,11,14,20,85,85,85
GET,s5,2590,0,3,3.704266585007357,1.5922319944365881,19.102131002000533,9974.267181467181,14.456991565179624,0.0,3,4,4,5,6,7,8,9,17,19,19
GET,s6,2567,0,3,3.74946287997732,1.5692910019424744,21.64271099900361,10101.73938449552,14.328609014600808,0.0,3,4,4,5,6,7,8,9,16,22,22
GET,s7,2602,0,6,6.377110820499005,1.9281389977550134,22.336358000757173,10031.161414296696,14.523973765481614,0.0,6,7,8,8,9,10,11,12,19,22,22
GET,s8,2555,0,3,2.93754944383313,1.0344519978389144,19.016796002688352,3070.0,14.261626814298818,0.0,3,3,4,4,5,6,7,8,14,19,19
GET,s9,2623,0,3,3.7071371803339694,1.6595200067968108,16.18741099809995,9773.303850552802,14.641192616010098,0.0,3,4,4,5,6,7,8,8,13,16,16
,Aggregated,54619,0,8,34.67296669329105,1.0344519978389144,298.93156699836254,5337.206668009301,304.8750665245351,0.0,8,14,84,88,95,99,180,180,190,290,300
