Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,s0,7705,0,7,5.856690808437276,1.0959940009342972,33.74770700247609,3070.0,43.07980248731707,0.0,7,8,9,10,11,11,12,13,24,34,34
GET,s1,652,0,8,6.992688894107048,1.9542629997886252,19.022066000616178,9649.296012269939,3.64542910080866,0.0,8,8,9,9,9,9,10,11,19,19,19
GET,s2,621,0,5,4.814885544225612,1.7124009973485954,13.524120000511175,9640.640901771336,3.47210348405242,0.0,5,5,5,5,6,7,7,8,14,14,14
GET,s3,708,0,2,1.585353611645808,0.9818760008784011,2.562395999120781,3070.0,3.9585334407554162,0.0,2,2,2,2,2,2,2,2,3,3,3
GET,s4,647,0,5,4.771259122157388,1.9051029994443525,14.748354002222186,10340.833075734157,3.617473356170557,0.0,5,5,6,6,6,7,7,7,15,15,15
GET,s5,667,0,2,2.28834293550884,1.5798969980096444,4.206858000543434,9585.247376311843,3.72929633472297,0.0,2,2,2,2,3,3,3,3,4,4,4
GET,s6,601,0,2,2.3317868369717183,1.6729259987187106,4.09875199693488,10013.254575707155,3.3602805055000076,0.0,2,2,2,3,3,3,3,3,4,4,4
GET,s7,666,0,5,4.823715699744712,1.9496509994496591,14.39890099936747,10097.95945945946,3.723705185795349,0.0,5,5,6,6,6,6,6,7,14,14,14
GET,s8,664,0,2,1.6083493991277191,0.9375339977850672,9.58925399754662,3070.0,3.712522887940108,0.0,2,2,2,2,2,2,2,2,10,10,10
GET,s9,635,0,2,2.3149617559835223,1.5633779985364527,3.377659002580913,10368.620472440945,3.550379569039109,0.0,2,2,2,3,3,3,3,3,3,3,3
,Aggregated,13566,0,3,4.832875038266025,0.9375339977850672,33.74770700247609,5348.350950906678,75.84952635210166,0.0,3,6,7,8,10,11,12,12,20,32,34
