Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,s0,12526,1,9,45.36646875656548,1.3523020024877042,587.2359189961571,3069.758821650966,69.88486890182567,0.005579184807745941,9,13,65,87,180,200,280,300,470,520,590
GET,s1,9905,3,92,104.94815030115734,1.8746490095509216,596.0438440088183,10002.240181726402,55.261825520723555,0.016737554423237825,92,160,180,190,200,280,300,360,470,600,600
GET,s2,10083,0,7,12.661824020050641,2.060539001831785,172.76941900490783,9998.087275612417,56.25492041650233,0.0,7,9,10,11,18,62,75,81,95,170,170
GET,s3,8601,0,3,3.5349082541632804,1.0261639981763437,18.46795699384529,3070.0,47.98656853142285,0.0,3,4,5,5,7,8,10,11,16,18,18
GET,s4,9434,0,97,116.64068490780953,1.8251760047860444,499.67340599687304,9966.38785244859,52.63402947627522,0.0,97,170,180,180,200,270,290,360,400,500,500
GET,s5,10376,0,4,4.30217057096858,1.6546359984204173,67.49251099245157,10113.240747879723,57.88962156517189,0.0,4,5,5,6,7,9,11,12,19,53,67
GET,s6,10885,0,4,4.2468860204716385,1.44232100865338,25.110924994805828,10024.181350482315,60.72942663231458,0.0,4,5,5,6,7,9,10,12,18,24,25
GET,s7,8924,0,7,7.276749639418654,1.8408629985060543,63.67374800902326,9984.353092783505,49.78864522432478,0.0,7,8,9,9,11,12,15,17,48,64,64
GET,s8,7743,0,3,3.5904013351408888,0.933011993765831,37.468536000233144,3070.0,43.19962796637682,0.0,3,4,5,5,7,8,10,11,16,37,37
GET,s9,9363,0,3,4.168298644197645,1.4932939957361668,30.087531995377503,9973.517996368686,52.23790735492525,0.0,3,4,5,6,7,9,10,12,19,30,30
,Aggregated,97840,4,5,31.570580570208524,0.933011993765831,596.0438440088183,7962.6359464431725,545.8674415898629,0.022316739230983765,5,8,10,15,110,190,250,280,390,490,600
