NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,68.78333333333333,43.0778719942798,102,0,5690.483333333334,7.0201891395855975,5703,5682
s0,177.82777777777778,110.71363614476343,264,1,163.30555555555554,0.46064233199380555,164,163
s1,215.3,134.02491061987942,318,1,193.0,0.0,193,193
s2,251.73888888888888,156.85029535936806,371,1,187.0,0.0,187,187
s3,107.97222222222223,66.92470317499907,158,1,64.72222222222223,0.44790320823880836,65,64
s4,344.27777777777777,214.18626513583808,500,1,220.0,0.0,220,220
s5,168.06666666666666,104.21034284347958,245,1,170.0,0.0,170,170
s6,96.00555555555556,59.41843122412272,141,1,154.0,0.0,154,154
s7,150.53333333333333,93.66241983255017,222,1,151.42222222222222,0.49391357268650815,152,151
s8,88.97222222222223,55.0229679876762,130,1,64.0,0.0,64,64
s9,142.2888888888889,88.55999152419467,211,1,162.0,0.0,162,162
