NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,35.18333333333333,23.05319331941287,52,0,5742.727777777778,1.788328069441012,5745,5740
s0,342.6611111111111,223.91012988570233,500,1,160.30555555555554,0.9012165988399744,161,159
s1,186.00555555555556,121.20691661700859,277,1,187.0,0.0,187,187
s2,220.0611111111111,143.68488530611734,327,1,182.0,0.0,182,182
s3,63.66111111111111,41.10382029945485,94,1,64.09444444444445,0.29244604862781903,65,64
s4,208.37222222222223,135.92469445148072,312,1,215.0,0.0,215,215
s5,78.45555555555555,50.78060896556461,116,1,167.0,0.0,167,167
s6,33.69444444444444,21.411341029729034,49,1,153.0,0.0,153,153
s7,46.955555555555556,30.20960520949555,71,1,151.0,0.0,151,151
s8,35.78888888888889,22.782056508696314,52,1,64.0,0.0,64,64
s9,40.983333333333334,26.223076139580233,60,1,159.7,0.4582575694955841,160,159
