NAME,CPU(cores) AVG,CPU(cores) STD,CPU(cores) MAX,CPU(cores) MIN,MEMORY(bytes) AVG,MEMORY(bytes) STD,MEMORY(bytes) MAX,MEMORY(bytes) MIN
gw-nginx,67.91111111111111,38.31626995428804,102,0,5728.844444444445,2.668379079812358,5732,5724
s0,155.43333333333334,87.40684565105109,230,1,159.79444444444445,0.404107002087074,160,159
s1,212.38333333333333,119.83327654147934,314,1,187.3,0.4582575694955841,188,187
s2,250.60555555555555,142.4037880747022,382,1,182.30555555555554,0.46064233199380555,183,182
s3,103.5,58.30918547802834,155,1,64.49444444444444,0.4999691348498116,65,64
s4,339.6777777777778,190.7749300894048,500,1,215.79444444444445,0.404107002087074,216,215
s5,175.09444444444443,97.62136020941216,262,1,167.0,0.0,167,167
s6,107.13333333333334,60.19730521838627,163,1,153.0,0.0,153,153
s7,138.30555555555554,77.00902524468026,208,1,151.0,0.0,151,151
s8,77.82777777777778,43.078975350905814,115,1,64.0,0.0,64,64
s9,135.04444444444445,75.7368853496705,202,1,160.0,0.0,160,160
