Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,s0,2160,0,7,6.270017528674577,1.2483290047384799,50.207605003379285,3070.0,12.057844390580957,0.0,7,8,9,10,12,12,13,14,47,50,50
GET,s1,1838,0,8,7.040746301428955,1.8566969956737012,50.37877999711782,9583.32154515778,10.260332402725833,0.0,8,8,9,9,9,10,11,14,50,50,50
GET,s2,1737,0,5,4.851716254460416,1.995515005546622,14.318615998490714,10467.433506044905,9.696516530758853,0.0,5,5,5,5,6,7,7,8,13,14,14
GET,s3,1504,0,2,1.6019309135775441,0.9957769943866879,4.142764999414794,3070.0,8.395832390478592,0.0,2,2,2,2,2,2,2,2,3,4,4
GET,s4,1792,0,5,4.917479883849702,1.810672001738567,39.077480003470555,9927.99888392857,10.003544975889387,0.0,5,5,6,6,6,7,7,9,37,39,39
GET,s5,1800,0,2,2.323164266146907,1.4825089965597726,12.795166003343184,10016.6,10.048203658817464,0.0,2,2,2,3,3,3,3,3,11,13,13
GET,s6,1942,0,2,2.319023281148919,1.5722949974588118,4.427281994139776,9842.244593202884,10.840895280790841,0.0,2,2,2,3,3,3,3,3,4,4,4
GET,s7,1617,0,5,4.776505448464673,1.9275430022389628,14.89204300014535,10045.701298701299,9.026636286837688,0.0,5,5,5,5,6,6,6,7,12,15,15
GET,s8,1392,0,2,1.6015128203957567,0.9323580015916377,7.245936001709197,3070.0,7.770610829485506,0.0,2,2,2,2,2,2,2,2,3,7,7
GET,s9,1648,0,2,2.3231904461036956,1.5882869993220083,14.559413000824861,9972.630461165048,9.19968868318399,0.0,2,2,2,3,3,3,3,3,12,15,15
,Aggregated,17430,0,3,3.935729239600306,0.9323580015916377,50.37877999711782,7970.813769363167,97.3001054295491,0.0,3,5,5,6,8,9,11,12,23,50,50
