Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,230,0,170.0,181.0673058911166,9.977520996471867,373.6817989993142,0.0,1.2807579247462433,0.0,140,170,250,260,270,280,350,360,370,370,370
GET,get_address,226,0,120.0,138.3590460217283,44.24711799947545,284.1991599998437,283.0,1.2584838738810913,0.0,100,130,190,190,200,210,220,260,280,280,280
GET,get_basket,226,0,59,60.71337131842346,1.6131660086102784,185.48376100079622,23020.0,1.2584838738810913,0.0,51,59,73,76,83,110,150,160,190,190,190
GET,get_card,226,0,120.0,138.3402534690737,44.383153013768606,305.0290569954086,17.0,1.2584838738810913,0.0,99,120,190,190,200,210,240,260,310,310,310
GET,get_cart,8955,0,150.0,153.90114979315214,43.9503529923968,448.21166299516335,103.16917922948073,49.86603137435917,0.0,120,150,200,210,230,240,250,280,350,450,450
GET,get_catalogue1,5360,0,110.0,123.53272442046749,3.2129519968293607,297.1770449948963,1643.0,29.847228159303757,0.0,95,110,180,190,190,200,210,270,290,300,300
GET,get_catalogue2,490,0,140.0,143.8925987630738,44.00138401251752,317.0866639993619,22.0,2.7285712309811267,0.0,130,140,180,220,220,230,240,290,320,320,320
GET,get_catalogue3,490,0,76,96.14269948568628,3.8368340028682724,258.58260999666527,1927.0,2.7285712309811267,0.0,60,76,150,150,160,170,170,180,260,260,260
GET,get_category,490,0,59,57.19243151813446,1.6139810031745583,173.28702998929657,11518.0,2.7285712309811267,0.0,48,59,69,71,78,92,130,140,170,170,170
GET,get_customer,3598,0,130.0,140.4740073001746,43.582337006228045,306.0398730012821,342.3774319066148,20.035508753204276,0.0,100,130,190,200,200,210,220,250,300,310,310
GET,get_customer_orders,2175,0,63,62.222363703339575,1.5368040039902553,210.39327098696958,6368.0,12.11151515792643,0.0,51,63,73,75,83,110,150,160,200,210,210
GET,get_detail,719,0,57,56.75906081097324,1.6314929962391034,174.4811859971378,10364.0,4.003760643011082,0.0,28,57,77,84,98,110,150,160,170,170,170
GET,get_index,5142,0,62,60.47641643295349,1.455545992939733,211.5451790014049,8688.0,28.63329238715297,0.0,51,62,72,74,81,100,150,160,170,210,210
GET,get_item,3334,0,140.0,146.11512705972635,43.476942999404855,345.3192449960625,286.0,18.565421396104238,0.0,100,140,190,200,210,220,240,260,340,350,350
GET,get_orders,2398,0,150.0,156.143404964131,45.00762600218877,333.7907399982214,2.0,13.353293493658658,0.0,130,150,220,220,230,230,240,260,330,330,330
GET,get_related,715,0,140.0,143.41531498746383,43.94232699996792,335.4887050081743,760.0,3.98148659214593,0.0,100,140,190,200,200,210,250,280,340,340,340
GET,get_tags,490,0,110.0,127.23957430226824,43.36172199691646,303.9733059995342,107.0,2.7285712309811267,0.0,97,110,160,180,200,200,210,270,300,300,300
GET,login,2191,0,210.0,216.67298615617295,47.89047798840329,508.8347150012851,13.0,12.20061136138704,0.0,190,210,280,290,300,320,350,400,410,510,510
,Aggregated,37455,0,120.0,128.08972690403277,1.455545992939733,508.8347150012851,2413.291389667601,208.56864378856756,0.0,68,120,180,190,220,230,280,300,390,440,510
