Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,143,0,17,17.609507027424065,12.210192013299093,64.13474699365906,0.0,0.7970675877486357,0.0,15,17,19,19,21,23,32,32,64,64,64
GET,get_address,143,0,48,49.15541808415608,43.67089198785834,92.7758640027605,283.0,0.7970675877486357,0.0,48,48,51,52,52,53,60,61,93,93,93
GET,get_basket,143,0,2,4.20054851687624,1.659614994423464,47.973060980439186,23020.0,0.7970675877486357,0.0,2,2,3,3,5,7,45,45,48,48,48
GET,get_card,143,0,48,50.37550272650437,43.5831600043457,90.10955298435874,17.0,0.7970675877486357,0.0,48,48,52,52,53,55,87,87,90,90,90
GET,get_cart,6232,0,50,51.9768641347086,44.51465301099233,143.142529996112,40.25096277278562,34.736539908038445,0.0,48,50,52,53,55,68,90,99,130,140,140
GET,get_catalogue1,3176,0,4,6.339877126258619,3.0132760002743453,94.66283800429665,1643.0,17.70270390692075,0.0,4,4,5,6,8,13,38,46,60,95,95
GET,get_catalogue2,1187,0,48,49.96974031540852,43.21224597515538,117.42944698198698,22.0,6.616218368235179,0.0,46,48,50,51,53,70,83,89,98,120,120
GET,get_catalogue3,1187,0,5,6.909106574514598,3.407348005566746,64.24864300061017,1927.0,6.616218368235179,0.0,4,5,6,7,9,14,42,50,64,64,64
GET,get_category,1187,0,3,6.73489932927755,1.5031429938971996,59.67365700053051,11518.0,6.616218368235179,0.0,2,3,4,4,23,40,44,48,57,60,60
GET,get_customer,3056,0,48,50.56856368248848,43.42245601583272,131.96746801258996,179.27388743455498,17.0338360011177,0.0,47,48,52,52,53,69,88,91,100,130,130
GET,get_customer_orders,400,0,2,5.510831583160325,1.4488509914372116,53.86764102149755,6368.0,2.2295596860101696,0.0,2,2,3,4,8,35,43,49,54,54,54
GET,get_detail,1329,0,3,4.172523051011184,1.4877500070724636,59.61711797863245,10364.0,7.407712056768789,0.0,2,3,4,4,5,8,40,44,56,60,60
GET,get_index,3034,0,2,4.694687622957221,1.3818310108035803,77.98000000184402,8688.0,16.911210218387136,0.0,2,2,3,4,5,19,40,45,56,78,78
GET,get_item,2013,0,48,49.40692020195707,43.52954000933096,111.96242200094275,286.0,11.22025911984618,0.0,46,48,50,51,52,56,83,89,100,110,110
GET,get_orders,543,0,49,50.467547233894805,43.930680985795334,130.83652101340704,2.0,3.0266272737588054,0.0,46,49,51,52,53,58,83,86,130,130,130
GET,get_related,1326,0,48,50.04480692069327,43.53576200082898,132.5776260055136,760.0,7.3909903591237125,0.0,47,48,52,52,53,56,83,95,120,130,130
GET,get_tags,1187,0,48,49.997097943695074,43.16458001267165,107.79243701836094,107.0,6.616218368235179,0.0,45,48,50,51,53,76,88,92,110,110,110
GET,login,401,0,56,61.70703206420934,50.89719197712839,177.48210800345987,13.0,2.2351335852251952,0.0,55,56,60,61,87,93,100,110,180,180,180
,Aggregated,26830,0,47,33.20006968540979,1.3818310108035803,177.48210800345987,2599.1090570257174,149.54771593913213,0.0,4,47,50,51,53,56,80,90,120,140,180
