Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,559,0,25,35.93733686592875,13.598506018752232,154.03596899705008,0.0,3.11448473162333,0.0,19,25,52,55,67,73,92,110,150,150,150
GET,get_address,557,0,52,59.943996012284835,43.62658198806457,114.42470099427737,283.0,3.1033416735495436,0.0,48,52,58,79,92,100,110,110,110,110,110
GET,get_basket,558,0,5,11.002126573455623,1.5618210018146783,86.9266600057017,23020.0,3.1089132025864368,0.0,3,5,8,11,42,47,52,56,87,87,87
GET,get_card,557,0,52,64.22902219783543,43.65141797461547,145.51532198674977,17.0,3.1033416735495436,0.0,48,52,85,88,92,97,100,110,150,150,150
GET,get_cart,6516,0,52,60.84651288900354,45.019120996585116,190.9960740013048,110.20257826887661,36.304083204396456,0.0,49,52,60,80,92,98,110,120,140,190,190
GET,get_catalogue1,3163,0,7,12.45134696242945,3.330526000354439,101.58255699207075,1643.0,17.62274634369337,0.0,5,7,11,12,39,46,53,58,95,100,100
GET,get_catalogue2,667,0,50,54.935978784458364,44.038613996235654,141.4454270270653,22.0,3.7162098676078017,0.0,48,50,54,56,80,85,90,96,140,140,140
GET,get_catalogue3,666,0,7,15.046417403467316,3.598821989726275,72.54775799810886,1927.0,3.7106383385709085,0.0,6,8,12,15,50,56,61,64,73,73,73
GET,get_category,667,0,5,18.80380527061903,1.492453011451289,86.73397099482827,11518.0,3.7162098676078017,0.0,3,5,38,40,43,46,52,57,87,87,87
GET,get_customer,3357,0,52,62.26705233831406,43.67310801171698,142.03299101791345,366.8650580875782,18.70362297685066,0.0,48,52,80,85,92,96,100,100,110,140,140
GET,get_customer_orders,910,0,5,13.842832491570665,1.528658001916483,89.66429400607012,6368.0,5.070091423572863,0.0,3,5,17,36,43,47,52,56,90,90,90
GET,get_detail,1225,0,4,7.75599354274609,1.594782981555909,83.35045797866769,10364.0,6.8251230701942385,0.0,2,4,6,7,13,43,52,58,79,83,83
GET,get_index,2606,0,5,14.265994593010234,1.531205023638904,90.59361601248384,8688.0,14.519404670143825,0.0,3,5,32,37,42,45,50,54,84,91,91
GET,get_item,3249,0,50,56.48918905099686,43.30834999564104,144.23636699211784,286.0,18.101897840866187,0.0,48,50,55,57,87,95,100,110,140,140,140
GET,get_orders,1466,0,52,57.801604945683344,44.378422026056796,148.75756998662837,2.0,8.167861568085513,0.0,49,52,56,59,87,95,100,100,140,150,150
GET,get_related,1223,0,52,57.77225054792229,43.638065981213,147.3517950216774,760.0,6.813980012120452,0.0,48,52,56,58,89,95,100,110,140,150,150
GET,get_tags,666,0,51,61.37745222841514,43.459176988108084,113.1225339777302,107.0,3.7106383385709085,0.0,48,51,84,87,92,96,100,100,110,110,110
GET,login,915,0,88,81.92060512565,50.903132010716945,214.2360839934554,13.0,5.0979490687573294,0.0,59,88,98,100,110,110,130,180,210,210,210
,Aggregated,29527,0,49,44.48551634432887,1.492453011451289,214.2360839934554,2445.753649202425,164.51053787234716,0.0,12,49,55,57,87,95,100,110,140,190,210
