Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1714491090,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1714491091,1,,Aggregated,0.000000,0.000000,8,9,9,9,61,68,69,69,69,69,69,29,0,8,15.301187762063286,5.490802010172047,68.94328499038238,10806.034482758621
1714491092,2,,Aggregated,0.000000,0.000000,8,9,9,9,63,68,71,75,75,75,75,86,0,8,16.678245500580214,5.207574009546079,75.12024301104248,10811.046511627907
1714491093,3,,Aggregated,13.000000,0.000000,8,9,9,9,63,69,75,75,78,78,78,137,0,8,16.635616679474488,5.148595999344252,78.13637300569098,10899.43795620438
1714491094,4,,Aggregated,20.000000,0.000000,8,9,12,62,83,90,95,99,99,99,99,194,0,8,24.06989989753335,5.148595999344252,99.17373000644147,10922.350515463917
1714491095,5,,Aggregated,32.333333,0.000000,9,12,71,83,94,99,110,190,200,200,200,251,0,9,33.63855411612801,5.148595999344252,199.39034100389108,10898.609561752988
1714491096,6,,Aggregated,37.000000,0.000000,9,57,81,87,95,99,100,170,200,200,200,304,0,9,35.95598886888757,5.148595999344252,199.39034100389108,10808.473684210527
1714491097,7,,Aggregated,40.600000,0.000000,10,83,91,95,100,110,190,190,200,200,200,366,0,10,46.54462885833918,5.148595999344252,199.39034100389108,10842.808743169398
1714491098,8,,Aggregated,43.666667,0.000000,11,86,93,96,100,110,190,190,200,200,200,380,0,11,48.4788415582826,5.148595999344252,199.39034100389108,10864.634210526316
1714491099,9,,Aggregated,44.714286,0.000000,64,94,98,100,110,190,200,940,1000,1000,1000,446,0,64,71.33536685899348,5.148595999344252,1044.1262690001167,10814.224215246637
1714491100,10,,Aggregated,47.125000,0.000000,83,96,100,100,190,190,200,940,1000,1000,1000,512,0,83,77.91695661725839,5.148595999344252,1044.1262690001167,10852.654296875
1714491101,11,,Aggregated,43.000000,0.000000,90,99,100,100,190,190,200,940,1000,1000,1000,577,0,90,83.14796084750151,5.148595999344252,1044.1262690001167,10850.90294627383
1714491102,12,,Aggregated,45.500000,0.000000,95,100,100,110,190,200,210,700,1000,1000,1000,643,0,95,90.17181904515951,5.148595999344252,1044.1262690001167,10868.746500777605
1714491103,13,,Aggregated,50.700000,0.000000,96,100,110,180,200,200,290,400,1000,1000,1000,707,0,96,96.81320689397778,5.148595999344252,1044.1262690001167,10862.734087694484
1714491104,14,,Aggregated,54.400000,0.000000,97,100,120,190,200,200,290,400,1000,1000,1000,773,0,97,103.3937781474256,5.148595999344252,1044.1262690001167,10867.812419146183
1714491105,15,,Aggregated,55.300000,0.000000,98,100,180,190,200,210,300,400,1000,1000,1000,793,0,98,106.29070854217238,5.148595999344252,1044.1262690001167,10865.136191677175
1714491106,16,,Aggregated,56.400000,0.000000,100,110,190,190,200,290,910,1000,1100,1100,1100,869,0,100.0,126.72889908860822,5.148595999344252,1098.1996729969978,10881.192174913695
1714491107,17,,Aggregated,57.600000,0.000000,100,110,190,200,210,300,900,950,1100,1100,1100,936,0,100.0,131.4643176345924,5.148595999344252,1098.1996729969978,10881.65064102564
1714491108,18,,Aggregated,53.900000,0.000000,100,180,190,200,250,300,850,950,1100,1100,1100,1009,0,100.0,136.25370910799876,5.148595999344252,1098.1996729969978,10850.68681863231
1714491109,19,,Aggregated,56.200000,0.000000,100,190,200,200,290,300,700,950,1100,1100,1100,1075,0,100.0,142.00843863346245,5.148595999344252,1098.1996729969978,10854.230697674418
1714491110,20,,Aggregated,56.600000,0.000000,100,190,200,200,300,310,490,940,1100,1100,1100,1148,0,100.0,148.87425008708095,5.148595999344252,1098.1996729969978,10845.035714285714
1714491111,21,,Aggregated,63.100000,0.000000,110,190,200,200,300,390,490,940,1100,1100,1100,1222,0,110.0,156.32793134197323,5.148595999344252,1098.1996729969978,10855.495090016366
1714491112,22,,Aggregated,62.500000,0.000000,110,200,200,210,300,390,500,940,1100,1100,1100,1295,0,110.0,163.35689581066063,5.148595999344252,1098.1996729969978,10873.359073359074
1714491113,23,,Aggregated,63.300000,0.000000,110,200,200,280,310,400,500,940,1100,1100,1100,1368,0,110.0,169.39973004230134,5.148595999344252,1098.1996729969978,10886.875
1714491114,24,,Aggregated,64.700000,0.000000,180,200,210,290,310,400,500,940,1100,1100,1100,1437,0,180.0,174.30514358933536,5.148595999344252,1098.1996729969978,10873.68615170494
1714491115,25,,Aggregated,65.000000,0.000000,190,200,210,290,310,400,500,940,1100,1100,1100,1514,0,190.0,179.3638625606716,5.148595999344252,1098.1996729969978,10848.73183619551
1714491116,26,,Aggregated,65.800000,0.000000,190,200,290,300,390,400,500,940,1100,1100,1100,1575,0,190.0,185.4506421979842,5.148595999344252,1098.1996729969978,10854.253968253968
1714491117,27,,Aggregated,66.600000,0.000000,190,200,290,300,390,410,940,1000,1100,1200,1200,1619,0,190.0,199.14002186029154,5.148595999344252,1196.1124689987628,10853.674490426189
1714491118,28,,Aggregated,72.100000,0.000000,190,200,290,300,390,490,940,1000,1100,1200,1200,1699,0,190.0,206.00850301161378,5.148595999344252,1196.1124689987628,10855.296645085344
1714491119,29,,Aggregated,70.000000,0.000000,190,210,300,300,400,500,930,1000,1100,1200,1200,1766,0,190.0,211.61427205870115,5.148595999344252,1196.1124689987628,10882.620045300113
1714491120,30,,Aggregated,68.100000,0.000000,200,210,300,310,400,500,910,1000,1100,1200,1200,1841,0,200.0,217.36833079500082,5.148595999344252,1196.1124689987628,10889.148832156437
1714491121,31,,Aggregated,68.500000,0.000000,200,280,300,310,410,500,910,1000,1100,1200,1200,1917,0,200.0,223.30636723092067,5.148595999344252,1196.1124689987628,10864.917579551382
1714491122,32,,Aggregated,69.700000,0.000000,200,290,300,310,410,510,910,1000,1100,1200,1200,1989,0,200.0,228.59558623112082,5.148595999344252,1196.1124689987628,10869.3604826546
1714491123,33,,Aggregated,69.300000,0.000000,200,290,300,390,490,510,900,1000,1100,1200,1200,2071,0,200.0,235.72489310992663,5.148595999344252,1196.1124689987628,10855.659101883148
1714491124,34,,Aggregated,70.000000,0.000000,200,290,310,390,490,580,860,1000,1100,1200,1200,2154,1,200.0,240.68887098685195,5.148595999344252,1196.1124689987628,10862.515784586814
1714491125,35,,Aggregated,69.600000,0.000000,200,300,310,390,500,590,860,1000,1100,1200,1200,2223,1,200.0,246.67267182034922,5.148595999344252,1196.1124689987628,10866.556455240665
1714491126,36,,Aggregated,70.800000,0.000000,200,300,310,400,500,600,860,1000,1100,1200,1200,2299,1,200.0,253.80961437825184,5.148595999344252,1196.1124689987628,10857.13745106568
1714491127,37,,Aggregated,71.500000,0.100000,200,300,380,400,500,600,800,990,1100,1200,1200,2376,1,200.0,260.08668929150286,5.148595999344252,1196.1124689987628,10876.587542087542
1714491128,38,,Aggregated,70.900000,0.100000,210,300,390,400,510,600,800,950,1100,1200,1200,2459,1,210.0,265.3702042300285,5.148595999344252,1196.1124689987628,10862.18991459943
1714491129,39,,Aggregated,72.700000,0.100000,210,300,390,400,510,610,800,950,1100,1200,1200,2536,1,210.0,271.7044566875574,5.148595999344252,1196.1124689987628,10870.051261829653
1714491130,39,,Aggregated,75.900000,0.100000,210,300,390,410,590,610,800,950,1100,1200,1200,2624,1,210.0,277.17743873309456,5.148595999344252,1196.1124689987628,10872.662347560976
1714491131,39,,Aggregated,76.000000,0.100000,210,300,400,410,590,680,790,950,1100,1200,1200,2707,1,210.0,281.7972293434424,5.148595999344252,1196.1124689987628,10860.458441078685
1714491132,39,,Aggregated,76.400000,0.100000,210,310,400,410,590,640,790,950,1100,1200,1200,2781,1,210.0,285.1926379517058,5.148595999344252,1196.1124689987628,10884.814814814816
1714491133,39,,Aggregated,78.200000,0.100000,280,310,400,410,600,690,790,950,1100,1200,1200,2858,1,280.0,290.5981768141082,5.148595999344252,1196.1124689987628,10879.939818054583
1714491134,39,,Aggregated,78.300000,0.100000,290,310,400,480,600,690,790,940,1100,1200,1200,2934,1,290.0,294.461828431054,5.148595999344252,1196.1124689987628,10872.903203817314
1714491135,39,,Aggregated,79.800000,0.100000,290,310,400,490,600,700,790,940,1100,1200,1200,3007,1,290.0,298.9891956710072,5.148595999344252,1196.1124689987628,10874.558696375125
1714491136,39,,Aggregated,78.800000,0.100000,290,310,400,490,600,700,790,940,1100,1200,1200,3095,1,290.0,303.2436101029831,5.148595999344252,1196.1124689987628,10874.873021001615
1714491137,39,,Aggregated,77.900000,0.000000,290,320,410,500,600,700,790,940,1100,1200,1200,3184,1,290.0,306.33855346443954,5.148595999344252,1196.1124689987628,10867.132537688442
1714491138,39,,Aggregated,78.900000,0.000000,290,390,410,500,600,700,790,940,1100,1200,1200,3260,1,290.0,310.46259118211196,5.148595999344252,1196.1124689987628,10882.638957055215
1714491139,39,,Aggregated,80.600000,0.000000,290,390,410,500,600,700,790,940,1100,1200,1200,3343,1,290.0,313.46891101576153,5.148595999344252,1196.1124689987628,10887.355668561173
1714491140,39,,Aggregated,80.300000,0.000000,290,390,410,500,600,700,790,940,1100,1200,1200,3424,1,290.0,316.5676132612688,5.148595999344252,1196.1124689987628,10875.643691588784
1714491141,39,,Aggregated,80.800000,0.000000,300,390,410,500,600,700,790,940,1100,1200,1200,3498,1,300.0,319.2198319315593,5.148595999344252,1196.1124689987628,10880.598913664951
1714491142,39,,Aggregated,81.400000,0.000000,300,390,470,500,600,700,790,930,1100,1200,1200,3577,1,300.0,321.82307719445197,5.148595999344252,1196.1124689987628,10885.099524741403
1714491143,39,,Aggregated,80.100000,0.000000,300,390,490,500,600,700,790,910,1100,1200,1200,3653,1,300.0,324.0058583675028,5.148595999344252,1196.1124689987628,10874.969340268273
1714491144,39,,Aggregated,79.900000,0.000000,300,390,490,510,610,700,790,910,1100,1200,1200,3735,1,300.0,327.38615979370803,5.148595999344252,1196.1124689987628,10876.903346720213
1714491145,39,,Aggregated,79.500000,0.000000,300,400,490,510,610,700,790,910,1100,1200,1200,3815,1,300.0,330.37552489686374,5.148595999344252,1196.1124689987628,10872.058191349934
1714491146,39,,Aggregated,80.000000,0.000000,300,400,490,510,610,700,790,910,1100,1200,1200,3905,1,300.0,332.5789061099944,5.148595999344252,1196.1124689987628,10879.882458386684
1714491147,39,,Aggregated,80.800000,0.000000,300,400,490,510,610,700,790,910,1100,1200,1200,3987,1,300.0,334.75822954692154,5.148595999344252,1196.1124689987628,10882.293704539754
1714491148,39,,Aggregated,80.700000,0.000000,300,400,500,510,610,700,790,910,1100,1200,1200,4050,1,300.0,337.48572275345754,5.148595999344252,1196.1124689987628,10878.815061728395
1714491149,39,,Aggregated,80.300000,0.000000,300,400,500,520,610,700,790,900,1100,1200,1200,4142,1,300.0,338.9122140240204,5.148595999344252,1196.1124689987628,10888.020280057943
1714491150,39,,Aggregated,80.700000,0.000000,300,400,500,580,610,700,790,900,1100,1200,1200,4215,1,300.0,341.3592776675085,5.148595999344252,1196.1124689987628,10876.334994068802
1714491151,39,,Aggregated,79.600000,0.000000,300,400,500,590,610,700,800,900,1100,1200,1200,4297,1,300.0,344.1259878081258,5.148595999344252,1196.1124689987628,10875.390039562486
1714491152,39,,Aggregated,78.700000,0.000000,300,400,500,590,610,700,800,900,1100,1200,1200,4384,1,300.0,346.4018847213727,5.148595999344252,1196.1124689987628,10888.911724452555
1714491153,39,,Aggregated,78.800000,0.000000,300,400,500,590,610,700,800,900,1100,1200,1200,4461,1,300.0,348.1029336140801,5.148595999344252,1196.1124689987628,10891.184936112979
1714491154,39,,Aggregated,78.900000,0.000000,300,400,500,590,620,700,800,900,1100,1200,1200,4539,1,300.0,349.96051810539456,5.148595999344252,1196.1124689987628,10887.594404053756
1714491155,39,,Aggregated,79.600000,0.000000,300,400,500,590,620,700,800,890,1100,1200,1200,4616,1,300.0,350.88429361058223,5.148595999344252,1196.1124689987628,10882.801126516464
1714491156,39,,Aggregated,79.500000,0.000000,300,400,500,590,620,700,800,890,1100,1200,1200,4703,1,300.0,352.1667563539112,5.148595999344252,1196.1124689987628,10879.140335955773
1714491157,39,,Aggregated,79.200000,0.000000,300,400,500,590,620,700,800,890,1100,1200,1200,4780,1,300.0,353.6160306973833,5.148595999344252,1196.1124689987628,10882.319037656904
1714491158,39,,Aggregated,78.900000,0.000000,300,400,500,590,610,700,790,890,1100,1200,1200,4866,1,300.0,355.1417020420264,5.148595999344252,1196.1124689987628,10881.675709001232
1714491159,39,,Aggregated,79.200000,0.000000,300,410,500,590,620,700,790,890,1100,1200,1200,4942,1,300.0,356.70227565003114,5.148595999344252,1196.1124689987628,10883.86402266289
1714491160,39,,Aggregated,78.700000,0.000000,300,410,510,590,680,700,790,890,1100,1200,1200,5027,1,300.0,358.2558795554684,5.148595999344252,1196.1124689987628,10884.68529938333
1714491161,39,,Aggregated,79.900000,0.000000,300,410,510,590,680,700,790,860,1100,1200,1200,5111,1,300.0,359.51995308930316,5.148595999344252,1196.1124689987628,10888.043435726864
1714491162,39,,Aggregated,80.000000,0.000000,300,410,510,590,690,700,790,860,1100,1200,1200,5189,1,300.0,361.2270522082176,5.148595999344252,1196.1124689987628,10884.871073424552
