Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3038,0,200.0,208.4550834107554,6.017823005095124,1199.8785520117963,10553.536537195523,16.942531225951697,0.0,200,210,210,290,290,300,300,390,1000,1200,1200
GET,/cart,616,0,110.0,137.29379263420853,5.799216000013985,1050.6579380016774,16686.047077922078,3.4353519536491923,0.0,110,190,190,190,200,200,200,210,1100,1100,1100
POST,/cart,2048,0,200.0,197.26970782719633,7.779733001370914,1043.7293219874846,16796.568359375,11.42142987187264,0.0,200,200,210,210,290,300,300,310,930,1000,1000
POST,/cart/checkout,412,2,190.0,158.78934505846559,8.0853599938564,1051.7189399979543,6798.203883495145,2.2976704625056286,0.011153740109250625,190,190,200,200,200,200,210,300,1100,1100,1100
POST,/cart/empty,1013,0,220.0,252.8003066109513,7.892549998359755,1209.6738309919601,10511.096742349457,5.649369365335441,0.0,220,290,300,300,310,390,400,410,1200,1200,1200
GET,/logout,501,0,210.0,245.6500470982932,8.213830995373428,1088.8131490064552,10497.0,2.7940118973672816,0.0,210,290,300,300,300,390,400,800,1100,1100,1100
GET,/product/0PUK6V6EV0,492,0,100.0,127.07916997725427,5.4121680004755035,908.0259710026439,7991.371951219512,2.743820066875654,0.0,100,110,190,190,200,200,200,210,910,910,910
GET,/product/1YMWWN1N4O,459,0,100.0,125.23125970553153,5.332842993084341,1007.6006669987692,8012.501089324619,2.5597833550730185,0.0,100,110,190,190,190,200,200,210,1000,1000,1000
GET,/product/2ZYFJ3GM2N,471,0,100.0,131.71239178608573,5.444320006063208,872.865791010554,8010.118895966029,2.626705795728522,0.0,100,110,190,190,200,200,210,770,870,870,870
GET,/product/66VCHSJNUP,474,0,100.0,126.48346570845032,5.239942998741753,1009.4360640068771,7978.772151898735,2.6434364058923983,0.0,100,110,190,190,200,200,200,210,1000,1000,1000
GET,/product/6E92ZMYYFZ,479,0,100.0,125.55792911935404,5.285808991175145,769.0033220133046,7965.8183716075155,2.6713207561655246,0.0,100,110,190,190,190,200,200,290,770,770,770
GET,/product/9SIQT8TOJO,457,0,100.0,130.67485575546502,5.367222998756915,951.3594000018202,8017.253829321663,2.548629614963768,0.0,100,110,190,190,200,200,200,280,950,950,950
GET,/product/L9ECAV7KIM,449,0,100.0,136.31141615366093,5.2254720067139715,957.3284429934574,7984.870824053452,2.5040146545267654,0.0,100,110,190,190,200,200,210,890,960,960,960
GET,/product/LS4PSXUNUM,504,0,110.0,133.36005240691722,5.109735997393727,1048.9450470049633,7980.5297619047615,2.8107425075311574,0.0,110,110,190,190,200,200,200,720,1000,1000,1000
GET,/product/OLJCESPC7Z,491,0,110.0,132.24376419156292,5.123502996866591,947.0636839978397,8013.665987780041,2.738243196821028,0.0,110,180,190,190,200,200,200,210,950,950,950
POST,/setCurrency,513,0,210.0,244.2169500236932,7.897082992712967,1202.6761430024635,10511.136452241715,2.860934338022785,0.0,210,290,300,300,300,390,400,490,1200,1200,1200
,Aggregated,12417,2,190.0,180.95620582566488,5.109735997393727,1209.6738309919601,10874.224450350326,69.2479954682825,0.011153740109250625,190,200,200,210,290,300,310,400,1100,1200,1200
