Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4038,0,300.0,318.9647092744827,6.203062992426567,1207.1348690078594,10533.611193660228,22.508699693863548,0.0,300,310,390,390,400,410,610,880,1200,1200,1200
GET,/cart,899,0,200.0,189.89406249391897,5.440267996164039,914.5774929929757,16620.124582869856,5.011223631694732,0.0,200,200,200,210,290,290,300,650,910,910,910
POST,/cart,1434,0,290.0,259.35882755707104,7.696016997215338,1178.8512580096722,16729.286610878662,7.993431243437427,0.0,290,300,300,300,310,390,410,790,1200,1200,1200
POST,/cart/checkout,186,0,200.0,199.24037417176902,9.03927200124599,1003.2395419984823,6807.096774193548,1.0368048893161517,0.0,200,200,210,210,290,300,310,910,1000,1000,1000
POST,/cart/empty,344,0,390.0,384.0957858222303,10.826967001776211,1300.9402449970366,10510.997093023256,1.917531623251377,0.0,390,400,410,480,500,510,1100,1100,1300,1300,1300
GET,/logout,783,0,390.0,375.87315695621083,7.940780997159891,1200.0036160025047,10496.99361430396,4.364614130830896,0.0,390,400,410,410,500,510,710,1000,1200,1200,1200
GET,/product/0PUK6V6EV0,489,0,190.0,174.47203887141583,5.202924003242515,1094.866550003644,7980.883435582822,2.7257934993311728,0.0,190,200,200,200,210,290,520,730,1100,1100,1100
GET,/product/1YMWWN1N4O,501,0,190.0,177.61036426916058,4.95377900369931,1099.2926149920095,8003.359281437126,2.7926841373515696,0.0,190,200,200,200,210,290,540,690,1100,1100,1100
GET,/product/2ZYFJ3GM2N,548,0,190.0,167.49412309130685,5.258800010778941,983.8896069995826,8000.729927007299,3.054672469598124,0.0,190,200,200,200,200,210,300,300,980,980,980
GET,/product/66VCHSJNUP,494,0,190.0,173.14201599632216,5.319263000274077,1077.923994991579,7966.939271255061,2.753664598506338,0.0,190,200,200,200,210,290,300,620,1100,1100,1100
GET,/product/6E92ZMYYFZ,506,0,190.0,180.90287420421052,5.608430001302622,1003.7679249944631,7957.4604743083,2.820555236526735,0.0,190,200,200,200,210,290,580,900,1000,1000,1000
GET,/product/9SIQT8TOJO,525,0,190.0,178.2869704130904,5.195791993173771,1095.649880997371,8006.788571428571,2.9264654133923633,0.0,190,200,200,200,210,280,300,780,1100,1100,1100
GET,/product/L9ECAV7KIM,505,0,190.0,174.7756570513939,5.410965997725725,1003.8686769985361,7976.233663366336,2.8149810166917018,0.0,190,200,200,200,210,280,300,810,1000,1000,1000
GET,/product/LS4PSXUNUM,486,0,190.0,171.36762315838445,5.475843005115166,1001.6083999944385,7973.895061728395,2.7090708398260737,0.0,190,200,200,200,210,290,580,710,1000,1000,1000
GET,/product/OLJCESPC7Z,534,0,190.0,181.64233609902422,5.403791990829632,1063.8805909984512,8004.342696629214,2.976633391907661,0.0,190,200,200,200,210,290,660,800,1100,1100,1100
POST,/setCurrency,799,0,390.0,372.0701810587056,7.52095298958011,1296.8486629979452,10511.29662077597,4.453801648191425,0.0,390,400,400,410,500,510,910,1000,1300,1300,1300
,Aggregated,13071,0,210.0,259.86494386434623,4.95377900369931,1300.9402449970366,10680.564455665213,72.8606274637173,0.0,210,300,310,380,400,480,590,820,1200,1300,1300
