Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1713404621,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1713404622,1,,Aggregated,0.000000,0.000000,8,8,9,9,62,70,71,71,71,71,71,29,0,8,16.77455451762994,5.110969999805093,71.01268399856053,10803.275862068966
1713404623,2,,Aggregated,0.000000,0.000000,8,8,9,10,62,69,72,160,160,160,160,87,0,8,16.996793713033917,5.110969999805093,158.3339490025537,10790.149425287356
1713404624,3,,Aggregated,21.000000,0.000000,8,8,9,9,61,68,72,77,160,160,160,138,0,8,16.33775836945869,5.110969999805093,158.3339490025537,10886.115942028986
1713404625,4,,Aggregated,27.000000,0.000000,8,9,12,61,86,92,95,100,160,160,160,200,0,8,24.579025644852663,5.110969999805093,158.3339490025537,10897.925
1713404626,5,,Aggregated,35.666667,0.000000,8,11,63,79,94,97,100,100,190,190,190,259,0,8,30.974211590746634,5.110969999805093,191.90902600530535,10877.04247104247
1713404627,6,,Aggregated,40.000000,0.000000,9,51,79,87,95,99,100,100,190,190,190,310,0,9,35.048480067757005,5.110969999805093,191.90902600530535,10858.245161290322
1713404628,7,,Aggregated,43.400000,0.000000,11,84,93,96,100,100,170,190,200,200,200,377,0,11,46.26871615115446,5.110969999805093,196.1957150051603,10839.071618037135
1713404629,8,,Aggregated,46.166667,0.000000,16,90,95,97,100,100,190,190,200,200,200,442,0,16,51.32260302248162,5.110969999805093,196.1957150051603,10848.024886877827
1713404630,9,,Aggregated,47.142857,0.000000,68,94,97,99,100,110,190,190,200,200,200,504,0,68,57.23784786491633,5.110969999805093,196.1957150051603,10816.152777777777
1713404631,10,,Aggregated,49.625000,0.000000,87,96,99,100,110,180,190,200,200,200,200,572,0,87,64.20180994566587,5.110969999805093,204.1969340061769,10860.933566433567
1713404632,11,,Aggregated,51.111111,0.000000,91,98,100,100,110,190,200,200,210,210,210,631,0,91,71.07382721230557,5.110969999805093,208.61403799790423,10839.477020602219
1713404633,12,,Aggregated,52.300000,0.000000,94,100,100,110,190,200,210,290,300,300,300,700,0,94,79.48126891131064,5.110969999805093,299.5610820071306,10839.96
1713404634,13,,Aggregated,57.100000,0.000000,96,100,110,110,190,200,210,290,300,300,300,764,0,96,86.39924619622657,5.110969999805093,299.5610820071306,10837.344240837696
1713404635,14,,Aggregated,59.800000,0.000000,97,100,110,180,200,200,290,290,400,400,400,833,0,97,93.76947298302667,5.110969999805093,395.9085990063613,10872.818727490996
1713404636,15,,Aggregated,61.400000,0.000000,99,110,120,190,200,210,290,300,400,400,400,906,0,99,101.0755638209323,5.110969999805093,395.9085990063613,10855.12803532009
1713404637,16,,Aggregated,62.600000,0.000000,100,110,180,190,200,210,290,300,400,400,400,975,0,100,105.79689528079679,5.110969999805093,395.9085990063613,10858.802051282051
1713404638,17,,Aggregated,64.000000,0.000000,100,110,190,190,200,260,290,300,390,400,400,1045,0,100,110.59661837487981,5.110969999805093,395.9085990063613,10854.417224880382
1713404639,18,,Aggregated,64.900000,0.000000,100,110,190,200,210,290,300,390,410,500,500,1114,0,100,118.86586631749401,5.110969999805093,495.44668100134004,10858.234290843806
1713404640,19,,Aggregated,66.600000,0.000000,100,190,190,200,210,300,310,390,410,500,500,1190,0,100,125.71856072322933,5.110969999805093,495.44668100134004,10818.430252100841
1713404641,20,,Aggregated,66.900000,0.000000,110,190,200,200,290,300,390,400,500,500,500,1263,0,110.0,134.16115562837768,5.110969999805093,497.33323098917026,10863.790973871734
1713404642,21,,Aggregated,67.800000,0.000000,110,190,200,200,290,300,390,400,500,500,500,1339,0,110.0,140.39029458215924,5.110969999805093,497.33323098917026,10853.29648991785
1713404643,22,,Aggregated,68.300000,0.000000,110,190,200,210,300,310,390,400,500,500,500,1411,0,110.0,145.17685823143313,5.110969999805093,497.33323098917026,10852.0616583983
1713404644,23,,Aggregated,69.200000,0.000000,110,190,200,210,300,310,400,400,500,500,500,1480,0,110.0,150.16965149765923,5.110969999805093,497.33323098917026,10845.996621621622
1713404645,24,,Aggregated,70.600000,0.000000,110,200,200,210,300,390,400,400,500,500,500,1567,0,110.0,156.56701364615495,5.110969999805093,497.33323098917026,10832.104658583281
1713404646,25,,Aggregated,70.900000,0.000000,160,200,210,290,300,390,400,400,500,500,500,1646,0,120.0,162.40619070325488,5.110969999805093,497.33323098917026,10844.543742405833
1713404647,26,,Aggregated,71.800000,0.000000,190,200,210,290,310,390,400,490,610,680,680,1722,0,190.0,169.38296687549703,5.110969999805093,684.8374670080375,10861.30081300813
1713404648,27,,Aggregated,73.500000,0.000000,190,200,260,290,310,400,410,490,610,680,680,1803,0,190.0,175.09587050228296,5.110969999805093,684.8374670080375,10874.46977260122
1713404649,28,,Aggregated,73.700000,0.000000,190,200,290,300,310,400,420,500,610,680,680,1881,0,190.0,180.27314909974336,5.110969999805093,684.8374670080375,10869.47687400319
1713404650,28,,Aggregated,75.200000,0.000000,190,200,290,300,390,400,490,500,610,680,680,1963,0,190.0,185.6763530930157,5.110969999805093,684.8374670080375,10855.187977585329
1713404651,28,,Aggregated,76.300000,0.000000,190,210,290,300,390,400,490,500,600,680,680,2046,0,190.0,190.51494979354115,5.110969999805093,684.8374670080375,10870.962365591398
1713404652,28,,Aggregated,77.000000,0.000000,190,210,290,300,390,410,490,500,610,710,710,2124,0,190.0,195.75321541834745,5.110969999805093,705.4060489899712,10863.461393596986
1713404653,28,,Aggregated,78.200000,0.000000,200,210,300,300,400,410,500,510,680,710,710,2200,0,200.0,200.55678251935618,5.110969999805093,705.4060489899712,10863.247272727273
1713404654,28,,Aggregated,78.300000,0.000000,200,210,300,300,400,410,500,510,680,710,710,2277,0,200.0,203.3666833739851,5.110969999805093,705.4060489899712,10864.296003513395
1713404655,28,,Aggregated,78.300000,0.000000,200,280,300,300,400,410,500,580,680,710,710,2351,0,200.0,207.4117701929004,5.110969999805093,705.4060489899712,10859.993194385368
1713404656,28,,Aggregated,79.000000,0.000000,200,290,300,300,400,480,500,590,680,710,710,2433,0,200.0,210.79221321024048,5.110969999805093,705.4060489899712,10858.915741882449
