Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1713410509,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1713410510,1,,Aggregated,0.000000,0.000000,8,8,9,9,56,59,63,63,63,63,63,21,0,8,14.52803885539262,5.076301997178234,63.311611986136995,11406.0
1713410511,2,,Aggregated,0.000000,0.000000,8,9,9,11,62,72,78,81,81,81,81,71,0,8,17.551217957819535,5.076301997178234,80.78704499348532,11162.084507042253
1713410512,3,,Aggregated,21.000000,0.000000,8,9,9,11,63,72,81,81,85,85,85,128,0,8,17.423377468844592,5.076301997178234,84.61872799671255,11073.7734375
1713410513,4,,Aggregated,22.500000,0.000000,8,9,13,59,82,87,91,93,94,94,94,186,0,8,23.62284990342369,5.076301997178234,94.39690399449319,11213.274193548386
1713410514,5,,Aggregated,30.666667,0.000000,8,10,57,71,85,90,92,94,98,98,98,241,0,8,26.624783373600128,5.076301997178234,97.8713110089302,11120.331950207468
1713410515,6,,Aggregated,36.000000,0.000000,9,54,82,85,92,95,98,99,100,100,100,304,0,9,34.4131158061301,5.076301997178234,102.92295301042031,11114.861842105263
1713410516,7,,Aggregated,41.000000,0.000000,10,76,87,91,95,98,100,100,190,190,190,367,0,10,39.86183906542467,5.076301997178234,190.0475570000708,11146.207084468664
1713410517,8,,Aggregated,43.333333,0.000000,12,86,92,94,98,100,110,190,200,200,200,428,0,11,46.68819683879477,5.076301997178234,196.46881399967242,11097.415887850468
1713410518,9,,Aggregated,46.142857,0.000000,59,91,95,97,100,100,190,190,200,200,200,494,0,59,53.686050437139826,5.076301997178234,196.46881399967242,11117.257085020243
1713410519,10,,Aggregated,48.000000,0.000000,82,95,97,99,100,150,190,190,200,200,200,561,0,82,61.05605626191177,5.076301997178234,197.40511500276625,11133.843137254902
