Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,231,0,7,6.793737714254455,3.7377039989223704,11.402317002648488,0.0,1.2895460910582925,0.0,6,7,7,8,9,9,10,10,11,11,11
GET,get_address,231,0,44,45.83220047165274,43.0311449963483,52.36061800678726,283.0,1.2895460910582925,0.0,44,44,48,48,48,51,52,52,52,52,52
GET,get_basket,231,0,2,2.41851263183287,1.0340369990444742,43.98152499925345,23020.0,1.2895460910582925,0.0,2,2,2,2,3,3,4,44,44,44,44
GET,get_card,231,0,44,45.8669421384683,43.265862004773226,53.20679499709513,17.0,1.2895460910582925,0.0,44,44,48,48,48,52,52,52,53,53,53
GET,get_cart,2481,0,46,46.40200508066773,42.319856001995504,143.09495400084415,228.63401854091092,13.850059965002702,0.0,44,46,48,48,50,51,52,53,56,140,140
GET,get_catalogue1,1192,0,3,3.3512121073067798,1.974524995603133,10.22954800282605,1643.0,6.654281127885215,0.0,3,3,4,4,4,5,6,7,9,10,10
GET,get_catalogue2,231,0,46,46.56188722948838,41.94331499456894,51.04390700580552,22.0,1.2895460910582925,0.0,46,46,47,49,50,50,51,51,51,51,51
GET,get_catalogue3,231,0,4,3.7148866924790873,1.9569520009099506,8.345100999576971,1927.0,1.2895460910582925,0.0,3,4,4,4,5,5,7,7,8,8,8
GET,get_category,231,0,2,2.26841487873772,0.9504879999440163,47.96406700188527,11518.0,1.2895460910582925,0.0,1,2,2,2,3,3,4,4,48,48,48
GET,get_customer,1288,0,44,45.88681831204023,43.17109499970684,56.854463000490796,386.0,7.190196386506844,0.0,44,44,48,48,48,52,52,52,56,57,57
GET,get_customer_orders,365,0,2,1.833942410961106,0.9642240038374439,5.756282000220381,6368.0,2.037594472884315,0.0,2,2,2,2,2,3,3,4,6,6,6
GET,get_detail,462,0,2,2.553676463057815,0.8452469992334954,48.54346100182738,10364.0,2.579092182116585,0.0,1,2,2,2,2,3,7,44,49,49,49
GET,get_index,961,0,2,2.1922102445175287,0.7883400030550547,48.08504500397248,8688.0,5.364735036826923,0.0,2,2,2,2,3,3,4,7,48,48,48
GET,get_item,1287,0,45,45.639433674489645,41.907945000275504,53.98197699832963,286.0,7.184613935896202,0.0,44,45,47,48,48,49,50,52,53,54,54
GET,get_orders,596,0,47,47.116695135701356,42.599424996296875,55.95454099966446,2.0,3.3271405639426077,0.0,46,47,48,49,51,52,52,52,56,56,56
GET,get_related,462,0,44,46.1864348400836,43.17355400417,52.66700900392607,760.0,2.579092182116585,0.0,44,44,48,48,49,52,52,52,53,53,53
GET,get_tags,231,0,44,45.275937173050906,43.20300599647453,51.19627700332785,107.0,1.2895460910582925,0.0,44,44,48,48,48,48,49,49,51,51,51
GET,login,365,0,48,49.13585598621205,46.99473800428677,55.87775999447331,13.0,2.037594472884315,0.0,48,48,52,52,52,52,53,56,56,56,56
,Aggregated,11307,0,44,31.32356740229265,0.7883400030550547,143.09495400084415,2452.6553462456886,63.12076905452864,0.0,3,44,47,48,48,50,52,52,56,92,140
