Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,77,0,8,7.781632218884861,5.284916027449071,11.307106993626803,0.0,0.4297939901094156,0.0,7,8,8,8,9,10,11,11,11,11,11
GET,get_address,77,0,44,45.0569158321694,43.40369702549651,52.10890399757773,283.0,0.4297939901094156,0.0,44,44,47,48,48,48,48,52,52,52,52
GET,get_basket,77,0,2,1.8238172527741303,1.1630509980022907,6.15195301361382,23020.0,0.4297939901094156,0.0,2,2,2,2,2,3,6,6,6,6,6
GET,get_card,77,0,44,46.12151604045981,43.53915399406105,52.2948750294745,17.0,0.4297939901094156,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,get_cart,2559,0,46,46.27212981763778,42.203788994811475,59.86936396220699,146.7936694021102,14.283672995973953,0.0,44,46,48,48,49,51,52,52,56,60,60
GET,get_catalogue1,1308,0,3,3.2046538187918574,1.8592010019347072,10.22009999724105,1643.0,7.300916091728774,0.0,3,3,3,4,4,4,6,7,10,10,10
GET,get_catalogue2,443,0,46,46.45126514464226,42.26784699130803,54.271986009553075,22.0,2.4727108781619624,0.0,46,46,47,47,50,50,51,51,54,54,54
GET,get_catalogue3,443,0,3,3.449648979900964,1.787784043699503,8.605390030425042,1927.0,2.4727108781619624,0.0,3,3,4,4,4,5,5,7,9,9,9
GET,get_category,443,0,2,2.2645265641296386,0.9463339811190963,47.98069701064378,11518.0,2.4727108781619624,0.0,1,2,2,2,2,3,5,44,48,48,48
GET,get_customer,1251,0,44,45.31520018725359,42.900659958831966,55.934020958375186,208.70503597122303,6.98275690424518,0.0,44,44,48,48,48,48,52,52,53,56,56
GET,get_customer_orders,211,0,2,3.076841388784914,0.9754530037753284,48.092270037159324,6368.0,1.1777471677024245,0.0,1,2,2,2,2,3,44,44,48,48,48
GET,get_detail,520,0,2,2.090078010223806,0.8820740040391684,47.954567009583116,10364.0,2.902504868271378,0.0,1,2,2,2,2,2,4,6,48,48,48
GET,get_index,1231,0,2,2.0688668607032814,0.8027379517443478,48.035188985522836,8688.0,6.871122101619358,0.0,1,2,2,2,2,3,4,6,47,48,48
GET,get_item,885,0,46,45.7152964791946,42.06313699251041,54.208049026783556,286.0,4.939840016192633,0.0,44,46,47,47,49,50,51,51,54,54,54
GET,get_orders,288,0,46,46.88383328377515,42.820396018214524,56.082421040628105,2.0,1.6075411578118401,0.0,46,46,48,48,50,51,52,55,56,56,56
GET,get_related,517,0,44,45.31375407349369,43.308909982442856,52.677911007776856,760.0,2.8857596478775047,0.0,44,44,48,48,48,48,49,52,53,53,53
GET,get_tags,443,0,44,45.28915430718726,43.011784029658884,55.981785990297794,107.0,2.4727108781619624,0.0,44,44,48,48,48,48,52,52,56,56,56
GET,login,211,0,48,49.03572216471083,47.36147599760443,56.314323970582336,13.0,1.1777471677024245,0.0,48,48,49,52,52,52,53,56,56,56,56
,Aggregated,11061,0,44,29.133106056024385,0.8027379517443478,59.86936396220699,2592.162191483591,61.73962759221099,0.0,3,44,46,47,48,49,51,52,55,56,60
