Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,150,0,7,7.614701165196796,5.0101689994335175,13.007033849135041,0.0,0.8372771104402529,0.0,7,7,8,9,9,10,12,13,13,13,13
GET,get_address,149,0,44,45.31988853294927,43.54596394114196,52.529003005474806,283.0,0.8316952630373179,0.0,44,44,48,48,48,48,48,52,53,53,53
GET,get_basket,149,0,2,2.6440177106567275,0.9446400217711926,48.26982202939689,23020.0,0.8316952630373179,0.0,1,2,2,2,2,3,48,48,48,48,48
GET,get_card,149,0,44,45.370620895714666,43.386823032051325,52.15816595591605,17.0,0.8316952630373179,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_cart,4185,0,47,46.557841632012256,42.155798990279436,62.796415062621236,599.5806451612904,23.360031381283058,0.0,44,47,48,48,50,51,52,52,56,63,63
GET,get_catalogue1,2413,0,3,3.040210961048108,1.8198161851614714,9.972778148949146,1643.0,13.468997783282202,0.0,3,3,3,3,4,4,4,5,9,10,10
GET,get_catalogue2,268,0,46,46.45870177773759,42.27147111669183,50.86529511027038,22.0,1.4959351039865851,0.0,46,46,47,49,50,51,51,51,51,51,51
GET,get_catalogue3,268,0,3,3.3933950688884553,2.039441838860512,10.119959944859147,1927.0,1.4959351039865851,0.0,3,3,4,4,4,4,5,6,10,10,10
GET,get_category,268,0,2,2.4618833827952953,0.8286249358206987,44.12779305130243,11518.0,1.4959351039865851,0.0,1,2,2,2,2,2,5,44,44,44,44
GET,get_customer,1772,0,44,45.5820230346932,43.04525698535144,52.64324718154967,345.6455981941309,9.891033598000854,0.0,44,44,48,48,48,48,52,52,53,53,53
GET,get_customer_orders,938,0,2,2.229789079331767,0.860749976709485,48.41623897664249,6368.0,5.2357728639530485,0.0,1,2,2,2,2,2,3,44,48,48,48
GET,get_detail,418,0,2,1.8441099066367488,0.8822430390864611,43.97190595045686,10364.0,2.333212214426838,0.0,1,2,2,2,2,2,3,3,44,44,44
GET,get_index,2264,0,2,2.012124035405423,0.828147865831852,48.015598906204104,8688.0,12.637302520244884,0.0,1,2,2,2,2,2,3,4,48,48,48
GET,get_item,1653,0,44,45.583972126229725,42.16368799097836,53.58997196890414,286.0,9.226793757051587,0.0,44,44,48,48,48,50,51,52,52,54,54
GET,get_orders,1086,0,46,47.0659906457523,42.57975216023624,54.69923303462565,2.0,6.061886279587431,0.0,46,46,48,50,50,51,51,52,54,55,55
GET,get_related,417,0,44,45.481938908962036,43.386104982346296,52.269045962020755,760.0,2.327630367023903,0.0,44,44,48,48,48,49,52,52,52,52,52
GET,get_tags,268,0,44,45.196192842949905,42.909479001536965,51.87048204243183,107.0,1.4959351039865851,0.0,44,44,48,48,48,48,48,52,52,52,52
GET,login,939,0,48,49.15091591362501,44.03303097933531,56.66169500909746,13.0,5.241354711355983,0.0,48,48,52,52,52,52,53,56,57,57,57
,Aggregated,17754,0,44,29.4657089357785,0.828147865831852,62.796415062621236,2533.3910668018475,99.10011879170834,0.0,3,44,47,48,48,51,52,52,55,60,63
