Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,381,0,13,25.013273943330496,4.565685987472534,108.06360899005085,0.0,2.1252412437934556,0.0,9,13,47,49,55,57,63,92,110,110,110
GET,get_address,379,0,51,55.73982600212382,43.580187018960714,144.76252102758735,283.0,2.1140851217787917,0.0,48,51,56,57,83,91,95,98,140,140,140
GET,get_basket,381,0,5,7.893338925058506,1.0675139492377639,53.03398997057229,23020.0,2.1252412437934556,0.0,3,5,8,9,13,42,49,51,53,53,53
GET,get_card,379,0,52,56.56597290604589,43.245145003311336,135.6359999626875,17.0,2.1140851217787917,0.0,48,52,56,57,87,92,94,96,140,140,140
GET,get_cart,16984,0,51,59.955095764442525,42.00689401477575,146.99639799073339,39.572715496938294,94.73778814852506,0.0,47,51,79,82,87,91,96,98,140,150,150
GET,get_catalogue1,8675,0,6,16.4024068603845,1.621557050384581,104.2838089633733,1643.0,48.389679238604266,0.0,4,6,38,41,46,49,53,57,99,100,100
GET,get_catalogue2,3237,0,50,59.57517447690935,42.0171560253948,143.02401803433895,22.0,18.056183480733374,0.0,47,50,80,83,88,91,95,99,140,140,140
GET,get_catalogue3,3236,0,8,13.466113838947082,2.035754034295678,109.17142394464463,1927.0,18.050605419726043,0.0,6,8,12,14,43,50,55,57,97,110,110
GET,get_category,3238,0,5,9.032749985370595,0.9002040605992079,88.1960770348087,11518.0,18.061761541740704,0.0,3,5,9,10,16,43,48,51,85,88,88
GET,get_customer,8314,0,52,56.49088159724584,42.70275100134313,152.5389690650627,178.0838344960308,46.37599921495745,0.0,48,52,56,58,86,91,96,100,140,150,150
GET,get_customer_orders,1090,0,5,8.572434137763302,0.9503919864073396,83.66753300651908,6368.0,6.0800864979917755,0.0,3,5,9,10,14,41,47,50,56,84,84
GET,get_detail,3615,0,5,8.361461111003042,0.869596959091723,90.96635994501412,10364.0,20.164690541504832,0.0,3,5,8,9,14,41,48,51,57,91,91
GET,get_index,8296,0,5,8.190249554145963,0.7900140481069684,96.47650504484773,8688.0,46.27559411682548,0.0,3,5,8,9,14,41,46,49,58,96,96
GET,get_item,5458,0,50,58.088374573695745,41.92747001070529,142.2917009331286,286.0,30.445056978017533,0.0,47,50,59,81,87,91,95,98,140,140,140
GET,get_orders,1467,0,51,59.95536605653245,42.72434103768319,140.72545198723674,2.0,8.183015497755903,0.0,48,51,79,83,88,92,96,98,140,140,140
GET,get_related,3614,0,52,55.73627783013142,42.74342698045075,140.44106600340456,760.0,20.1591124804975,0.0,48,52,56,57,84,90,95,98,140,140,140
GET,get_tags,3236,0,51,56.02735683760273,42.4780499888584,143.11808603815734,107.0,18.050605419726043,0.0,48,51,56,58,87,92,95,100,140,140,140
GET,login,1094,0,59,69.77009400757288,46.843913034535944,147.01066294219345,13.0,6.102398742021103,0.0,52,59,89,92,97,100,110,140,150,150,150
,Aggregated,73074,0,47,39.99487772651777,0.7900140481069684,152.5389690650627,2600.7331061663517,407.61123004977156,0.0,7,47,53,55,83,89,94,97,140,150,150
