Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,230,0,7,7.027448208448376,4.378433994133957,22.904769008164294,0.0,1.2835872279743115,0.0,6,7,7,7,8,10,13,18,23,23,23
GET,get_address,230,0,44,45.823665865780484,43.1639489979716,68.0425530008506,283.0,1.2835872279743115,0.0,44,44,48,48,48,48,52,52,68,68,68
GET,get_basket,230,0,2,2.3534774911240675,0.8930400072131306,48.01063500053715,23020.0,1.2835872279743115,0.0,1,2,2,2,3,3,7,36,48,48,48
GET,get_card,230,0,44,45.91301450367926,43.352457985747606,56.263062011566944,17.0,1.2835872279743115,0.0,44,44,48,48,48,52,52,52,56,56,56
GET,get_cart,7432,0,46,46.52838909272852,42.09681099746376,96.2018430000171,101.82037136706136,41.47660990567427,0.0,44,46,48,48,50,51,52,54,87,96,96
GET,get_catalogue1,4337,0,3,3.510812818342797,1.7038259975379333,45.63176199735608,1643.0,24.203990468367778,0.0,3,3,4,4,4,5,8,11,44,46,46
GET,get_catalogue2,473,0,46,46.9387427866609,42.06950300431345,86.30949600774329,22.0,2.639725038399345,0.0,46,46,47,50,50,51,52,75,86,86,86
GET,get_catalogue3,473,0,3,3.5859924884701058,2.138253999873996,45.61484399891924,1927.0,2.639725038399345,0.0,3,3,4,4,4,5,6,9,46,46,46
GET,get_category,473,0,2,2.6947478537019993,0.9335259965155274,47.940803997335024,11518.0,2.639725038399345,0.0,1,2,2,2,3,4,21,44,48,48,48
GET,get_customer,3097,0,44,46.30773199000937,42.76500399282668,88.37632999347989,338.84275104940264,17.283781065375837,0.0,44,44,48,48,49,52,53,56,88,88,88
GET,get_customer_orders,1693,0,2,2.70531981878253,0.8362910011783242,84.06544099852908,6368.0,9.448318160697866,0.0,2,2,2,2,3,4,13,42,50,84,84
GET,get_detail,702,0,2,2.5429073318401603,0.8265950018540025,52.05502899480052,10364.0,3.9177314523389857,0.0,1,2,2,2,2,3,21,44,52,52,52
GET,get_index,4107,0,2,2.2872797909867875,0.7802390027791262,56.116400999599136,8688.0,22.920403240393465,0.0,1,2,2,2,3,4,7,11,48,56,56
GET,get_item,2853,0,45,46.19734093563679,42.01681399717927,87.61697099544108,286.0,15.922062440916132,0.0,44,45,48,48,50,51,52,53,81,88,88
GET,get_orders,1922,0,47,47.695279419440624,42.36001399112865,92.91388299607206,2.0,10.726324574637507,0.0,46,47,50,50,51,51,54,63,90,93,93
GET,get_related,701,0,44,45.55357252517081,43.21921399969142,64.37221600208431,760.0,3.9121506383043148,0.0,44,44,48,48,48,48,52,52,64,64,64
GET,get_tags,473,0,44,45.75842197041321,43.22417499497533,77.28720000886824,107.0,2.639725038399345,0.0,44,44,48,48,48,49,52,56,77,77,77
GET,login,1695,0,48,50.501010128211746,43.925603007664904,100.22876200673636,13.0,9.459479788767208,0.0,48,48,52,52,53,56,64,81,100,100,100
,Aggregated,31351,0,44,29.704848973044705,0.7802390027791262,100.22876200673636,2418.7006156103475,174.964100800968,0.0,3,44,47,48,49,51,52,55,87,96,100
