Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,387,0,14,24.42693493838268,5.684678995748982,65.98765500530135,0.0,2.1588275613348733,0.0,10,14,46,50,56,59,63,64,66,66,66
GET,get_address,385,0,51,56.47624932280923,43.45738900883589,113.08097599248867,283.0,2.1476708297517475,0.0,48,51,57,59,87,95,100,100,110,110,110
GET,get_basket,386,0,5,9.406333075092268,1.1487470037536696,88.38820600067265,23020.0,2.15324919554331,0.0,3,5,8,10,23,47,54,56,88,88,88
GET,get_card,386,0,51,59.152187465850226,43.309314001817256,109.24967000028118,17.0,2.15324919554331,0.0,48,51,60,85,91,94,99,100,110,110,110
GET,get_cart,17646,0,49,55.777530454150245,42.3495019931579,142.1739420038648,38.74968831463221,98.43584275792035,0.0,47,49,54,56,87,92,99,100,130,140,140
GET,get_catalogue1,9008,0,6,11.683363629404738,1.758243000949733,94.91280998918228,1643.0,50.24991905039933,0.0,4,6,9,11,42,48,52,55,68,95,95
GET,get_catalogue2,3387,0,50,54.965784242878335,42.182051998679526,111.15055799018592,22.0,18.893924936023815,0.0,47,50,54,56,83,88,92,95,100,110,110
GET,get_catalogue3,3387,0,8,13.613366379284445,1.8289770086994395,71.90903599257581,1927.0,18.893924936023815,0.0,6,8,12,14,46,53,59,63,69,72,72
GET,get_category,3390,0,6,19.799181081622134,0.8744279912207276,95.30988699407317,11518.0,18.910660033398504,0.0,3,6,41,42,46,48,52,54,88,95,95
GET,get_customer,8643,0,52,60.25953128514829,42.70371100574266,122.75268600205891,175.9368274904547,48.21381553647884,0.0,48,52,80,85,91,95,99,100,110,120,120
GET,get_customer_orders,1108,0,5,15.368550986500514,1.0218709940090775,92.02138100226875,6368.0,6.180829297051782,0.0,3,5,37,41,46,49,52,58,88,92,92
GET,get_detail,3771,0,5,8.634665569093901,0.9204150119330734,104.93477500858717,10364.0,21.036017399983997,0.0,3,5,7,8,15,46,53,56,91,100,100
GET,get_index,8623,0,5,12.423354315793814,0.7804130000295117,97.26304300420452,8688.0,48.10224822064758,0.0,3,5,10,23,43,47,52,55,87,97,97
GET,get_item,5644,0,49,54.70650810641391,42.13838999567088,132.1638859953964,286.0,31.48429652758146,0.0,47,49,53,55,86,92,97,100,120,130,130
GET,get_orders,1491,0,50,56.512024222043486,42.87958900386002,114.12626699893735,2.0,8.317343395220403,0.0,48,50,55,58,86,92,97,100,110,110,110
GET,get_related,3762,0,51,56.162990907435876,42.953315991326235,121.02756400418002,760.0,20.985812107859932,0.0,48,51,56,57,88,94,99,100,110,120,120
GET,get_tags,3387,0,51,61.392172893551646,42.611800992744975,107.67662299622316,107.0,18.893924936023815,0.0,48,51,85,88,92,96,100,100,110,110,110
GET,login,1113,0,64,72.32949347281023,46.80547599855345,115.06029100564774,13.0,6.208721126009597,0.0,52,64,92,94,97,100,100,110,110,120,120
,Aggregated,75904,0,47,39.745422596104234,0.7804130000295117,142.1739420038648,2602.777706049747,423.42027704279644,0.0,7,47,52,53,83,91,96,100,130,140,140
