Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,154,0,7,7.095875240244007,4.738135990919545,14.137068996205926,0.0,0.8594684262586184,0.0,6,7,8,8,8,9,11,14,14,14,14
GET,get_address,154,0,44,45.667025378365494,43.62473700894043,52.04133898951113,283.0,0.8594684262586184,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_basket,154,0,2,2.0099579076533653,1.0788039944600314,44.347607996314764,23020.0,0.8594684262586184,0.0,1,2,2,2,2,2,3,9,44,44,44
GET,get_card,154,0,44,45.37703517549248,43.456365005113184,52.01336898608133,17.0,0.8594684262586184,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_cart,4274,0,46,46.17635910228748,41.98838697629981,68.13933598459698,202.86897519887694,23.853039310580098,0.0,44,46,48,48,50,51,52,52,56,68,68
GET,get_catalogue1,2463,0,3,3.217116918176045,1.65771902538836,35.1127419853583,1643.0,13.74591385633102,0.0,3,3,3,4,4,4,5,7,11,35,35
GET,get_catalogue2,275,0,46,46.63839768406681,42.339165025623515,50.714406999759376,22.0,1.5347650468903902,0.0,46,46,47,47,50,50,51,51,51,51,51
GET,get_catalogue3,275,0,3,3.552787630204958,1.9165560079272836,10.141803999431431,1927.0,1.5347650468903902,0.0,3,3,4,4,4,5,7,9,10,10,10
GET,get_category,275,0,2,1.809840813935311,0.9919989970512688,44.10439799539745,11518.0,1.5347650468903902,0.0,1,2,2,2,2,2,3,3,44,44,44
GET,get_customer,1812,0,44,45.64822801987517,42.96043197973631,56.204056018032134,345.5331125827815,10.112706418055952,0.0,44,44,48,48,48,49,52,52,53,56,56
GET,get_customer_orders,955,0,2,2.3630439983717415,0.8931979828048497,47.833180986344814,6368.0,5.329820435564809,0.0,1,2,2,2,3,3,5,44,48,48,48
GET,get_detail,429,0,2,2.612739046335455,0.951699010329321,44.09072798443958,10364.0,2.3942334731490087,0.0,1,2,2,2,2,3,44,44,44,44,44
GET,get_index,2309,0,2,2.284178375692021,0.80825001350604,48.39142601122148,8688.0,12.886445430072403,0.0,1,2,2,2,2,3,5,44,48,48,48
GET,get_item,1690,0,44,45.64476705326068,42.28041201713495,56.173758988734335,286.0,9.431828833617306,0.0,44,44,48,48,48,50,51,52,56,56,56
GET,get_orders,1108,0,46,47.129875900465926,42.54569701151922,59.750126994913444,2.0,6.183707898016554,0.0,46,46,48,50,50,51,52,54,59,60,60
GET,get_related,429,0,44,45.315005047201225,43.306339997798204,52.42581499624066,760.0,2.3942334731490087,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_tags,275,0,44,45.05593053446236,43.19596500135958,76.89364399993792,107.0,1.5347650468903902,0.0,44,44,45,48,48,48,51,52,77,77,77
GET,login,956,0,48,49.28293189762801,43.993278028210625,83.49371899385005,13.0,5.335401399371683,0.0,48,48,52,52,52,52,53,56,83,83,83
,Aggregated,18141,0,44,29.473335123359618,0.80825001350604,83.49371899385005,2440.671352185657,101.24426442050388,0.0,3,44,47,48,48,50,52,52,56,77,83
