Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1134,0,9,13.300862762500282,4.473094013519585,64.85928299662191,0.0,6.326429186744313,0.0,7,9,12,15,27,42,53,58,64,65,65
GET,get_address,1132,0,48,50.29967374117379,42.89567300293129,101.24042099050712,283.0,6.315271463310903,0.0,47,48,52,52,56,68,84,91,100,100,100
GET,get_basket,1132,0,3,4.874058389611906,0.8545510063413531,58.29550200724043,23020.0,6.315271463310903,0.0,2,3,4,5,9,15,38,45,57,58,58
GET,get_card,1132,0,48,51.53793097862572,42.68313100328669,100.39583599427715,17.0,6.315271463310903,0.0,47,48,52,53,62,78,88,91,100,100,100
GET,get_cart,12885,0,48,50.63178025736155,41.94923798786476,127.09590399754234,421.5682576639503,71.8836332197535,0.0,46,48,51,52,57,76,87,93,100,120,130
GET,get_catalogue1,6186,0,4,7.2043848070227,1.6968170093605295,74.58071399014443,1643.0,34.51083857954173,0.0,3,4,6,7,16,33,44,48,56,75,75
GET,get_catalogue2,1355,0,47,51.14335118804979,41.804004009463824,120.6044950085925,22.0,7.559357626136284,0.0,46,47,51,52,63,80,88,91,100,120,120
GET,get_catalogue3,1355,0,5,7.217053928366532,1.8264270038343966,60.414259001845494,1927.0,7.559357626136284,0.0,3,5,7,8,12,19,40,49,56,60,60
GET,get_category,1356,0,3,6.885904718240569,0.8153600065270439,90.63640999374911,11518.0,7.5649364878529886,0.0,2,3,4,5,28,37,44,47,83,91,91
GET,get_customer,6700,0,48,51.48522024339807,42.42440300004091,108.0331120028859,366.23716417910447,37.378373501928486,0.0,46,48,52,53,61,80,88,93,100,110,110
GET,get_customer_orders,1730,0,3,5.791351120039818,0.910742994165048,82.9232870019041,6368.0,9.651430769900937,0.0,2,3,5,6,11,30,42,47,72,83,83
GET,get_detail,2489,0,2,4.192142885699788,0.8673010015627369,79.7363660094561,10364.0,13.885786812880596,0.0,2,2,4,4,6,14,35,43,53,80,80
GET,get_index,5054,0,2,5.1491192704057,0.7420110050588846,83.28738599084318,8688.0,28.19556711623083,0.0,2,2,4,5,10,27,39,43,56,83,83
GET,get_item,6480,0,48,49.81793452034141,41.90341600042302,126.03870700695552,286.0,36.151023924253224,0.0,45,48,51,52,57,69,84,88,99,130,130
GET,get_orders,2861,0,48,51.82851985559907,42.238063004333526,105.44151699286886,2.0,15.961123371495134,0.0,46,48,52,53,61,79,88,93,100,110,110
GET,get_related,2484,0,48,50.61300445072264,42.96380800951738,108.07307499635499,760.0,13.857892504297068,0.0,45,48,52,52,57,69,86,92,100,110,110
GET,get_tags,1355,0,48,50.41427108115728,42.8194150008494,102.36590600106865,107.0,7.559357626136284,0.0,44,48,51,52,56,81,89,93,100,100,100
GET,login,1738,0,52,59.76333207191183,43.90801799308974,104.6818429895211,13.0,9.696061663634584,0.0,48,52,65,76,88,93,99,100,100,100,100
,Aggregated,58558,0,46,35.54912151694622,0.7420110050588846,127.09590399754234,2516.1898630417704,326.68698440685495,0.0,5,46,49,51,55,68,84,91,100,110,130
