Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,462,0,6,6.623559160517363,3.894920984748751,11.670631007291377,0.0,2.5786290301385697,0.0,6,6,7,7,8,9,9,10,12,12,12
GET,get_address,462,0,44,45.50541081245045,43.076172994915396,52.40641298587434,283.0,2.5786290301385697,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_basket,462,0,2,2.3077007705518104,0.7985009870026261,43.960426992271096,23020.0,2.5786290301385697,0.0,1,2,2,2,3,4,6,12,44,44,44
GET,get_card,462,0,44,45.6437923550128,43.19255700102076,52.52702199504711,17.0,2.5786290301385697,0.0,44,44,48,48,48,49,52,52,53,53,53
GET,get_cart,5443,0,46,46.31174597616166,42.21746799885295,75.86632497259416,310.35733970237004,30.379822101827347,0.0,44,46,48,48,50,51,52,52,60,76,76
GET,get_catalogue1,2626,0,3,3.0895493836641297,1.7003090179059654,20.555111987050623,1643.0,14.656882755722691,0.0,3,3,3,3,4,4,6,7,16,21,21
GET,get_catalogue2,583,0,46,46.454780726289414,41.95752498344518,85.62226500362158,22.0,3.2539842523177187,0.0,45,46,47,49,50,50,51,51,86,86,86
GET,get_catalogue3,583,0,3,3.449785773619198,1.7734569846652448,10.528129991143942,1927.0,3.2539842523177187,0.0,3,3,4,4,4,5,6,8,11,11,11
GET,get_category,583,0,2,2.4051092584329092,0.8880060049705207,48.00935499952175,11518.0,3.2539842523177187,0.0,1,2,2,2,3,3,6,44,48,48,48
GET,get_customer,2817,0,44,45.6930932129103,43.01245798706077,55.77326499042101,359.97018104366344,15.722939346104654,0.0,44,44,48,48,48,49,52,52,55,56,56
GET,get_customer_orders,728,0,2,2.346161234947011,0.9080040035769343,44.098631013184786,6368.0,4.063294229309261,0.0,1,2,2,2,2,3,5,44,44,44,44
GET,get_detail,1045,0,2,1.9234280841387184,0.7720279973000288,48.39401401113719,10364.0,5.832613282456288,0.0,1,2,2,2,2,3,4,5,48,48,48
GET,get_index,2164,0,2,2.0396040740614203,0.8621939923614264,48.371535987826064,8688.0,12.078253725584123,0.0,1,2,2,2,2,3,4,8,48,48,48
GET,get_item,2694,0,45,45.85665646399575,41.743357985978946,56.96978000923991,286.0,15.03642122769114,0.0,44,45,48,48,49,50,51,52,53,57,57
GET,get_orders,1188,0,47,47.00273707018489,42.51908301375806,60.99342097877525,2.0,6.630760363213464,0.0,46,47,48,49,51,51,52,53,56,61,61
GET,get_related,1045,0,44,45.64992828371502,42.91325400117785,60.492783988593146,760.0,5.832613282456288,0.0,44,44,48,48,48,49,52,52,56,60,60
GET,get_tags,583,0,44,45.34232970497868,42.77554800501093,60.90667500393465,107.0,3.2539842523177187,0.0,44,44,48,48,48,48,51,52,61,61,61
GET,login,730,0,48,49.152030421768586,43.84523199405521,60.43332300032489,13.0,4.074457125543627,0.0,48,48,52,52,52,52,53,56,60,60,60
,Aggregated,24660,0,44,30.947593637800026,0.7720279973000288,85.62226500362158,2495.9033657745335,137.63851056973402,0.0,3,44,47,48,48,50,52,52,56,69,86
