Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1307,0,16,30.630810221293927,4.540146008366719,113.6572889809031,0.0,7.290856532403004,0.0,10,16,50,53,58,69,96,100,110,110,110
GET,get_address,1304,0,52,58.204999189196975,42.78087199782021,140.77820497914217,283.0,7.274121590094505,0.0,48,52,58,60,89,95,99,100,140,140,140
GET,get_basket,1306,0,5,9.162073438112863,0.9558910096529871,84.96516998275183,23020.0,7.285278218300171,0.0,4,5,9,10,16,43,49,50,82,85,85
GET,get_card,1305,0,52,58.37344459375773,43.15063197282143,141.4379779889714,17.0,7.279699904197338,0.0,48,52,60,61,87,93,98,100,140,140,140
GET,get_cart,15187,0,52,61.51277567163804,42.22859599394724,143.0667790118605,314.2139329689866,84.71785627972794,0.0,48,52,81,83,89,93,98,100,140,140,140
GET,get_catalogue1,7326,0,8,18.897832533042035,1.6416360158473253,98.7970270216465,1643.0,40.86672911735609,0.0,5,8,40,43,47,50,54,58,95,99,99
GET,get_catalogue2,1601,0,51,61.50160776832979,41.77369299577549,144.9758840026334,22.0,8.930880878635968,0.0,47,51,82,84,88,91,94,98,140,140,140
GET,get_catalogue3,1601,0,9,15.48721000990571,1.9981079967692494,96.33134200703353,1927.0,8.930880878635968,0.0,6,9,15,18,47,52,56,60,95,96,96
GET,get_category,1604,0,6,10.128652492972547,0.9844939922913909,85.91439999872819,11518.0,8.947615820944467,0.0,4,6,11,13,18,44,48,51,56,86,86
GET,get_customer,7857,0,52,58.18675327022838,42.72498798673041,141.368782002246,363.4784268804887,43.82881390596052,0.0,48,52,58,61,88,93,98,100,130,140,140
GET,get_customer_orders,2051,0,6,9.741806860108188,0.7907210092525929,83.58328501344658,6368.0,11.441122224910911,0.0,4,6,10,11,17,42,48,51,64,84,84
GET,get_detail,2907,0,5,10.395479305418407,0.8435889903921634,96.43667901400477,10364.0,16.21615909693614,0.0,3,5,9,11,37,44,48,51,85,96,96
GET,get_index,6025,0,6,9.199994074903367,0.7933340093586594,86.46706899162382,8688.0,33.60934246957009,0.0,3,6,10,11,16,42,48,50,57,86,86
GET,get_item,7562,0,52,59.77841541719051,42.09494998212904,138.79849901422858,286.0,42.183211245624726,0.0,48,52,77,82,88,92,96,99,140,140,140
GET,get_orders,3349,0,53,62.47665935473586,42.793739994522184,145.95875699887984,2.0,18.681773930388417,0.0,49,53,82,84,90,94,98,100,140,150,150
GET,get_related,2905,0,52,58.2247647208766,43.05328000918962,133.63170600496233,760.0,16.205002468730473,0.0,48,52,58,61,88,93,97,100,110,130,130
GET,get_tags,1601,0,52,57.53685235561612,42.926469002850354,131.65011900127865,107.0,8.930880878635968,0.0,48,52,59,61,88,93,98,100,130,130,130
GET,login,2062,0,62,72.45995324211955,44.01096099172719,154.36445400700904,13.0,11.502483680042078,0.0,53,62,92,95,99,100,130,140,150,150,150
,Aggregated,68860,0,48,44.30694548898973,0.7907210092525929,154.36445400700904,2495.2723206505952,384.1227091210948,0.0,12,48,56,60,86,91,97,100,140,150,150
