Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1206,0,9,13.353011905516661,4.675511008827016,95.87501498754136,0.0,6.7281128503767285,0.0,7,9,12,13,28,46,53,56,95,96,96
GET,get_address,1202,0,48,50.24236542364592,43.142012000316754,101.97990998858586,283.0,6.705797384869675,0.0,47,48,52,52,55,60,83,88,95,100,100
GET,get_basket,1204,0,3,4.742610660882279,0.8727000094950199,52.798593998886645,23020.0,6.716955117623202,0.0,2,3,4,5,7,13,38,44,52,53,53
GET,get_card,1204,0,48,50.21168467429377,43.054128997027874,94.59708098438568,17.0,6.716955117623202,0.0,47,48,52,52,55,60,84,88,94,95,95
GET,get_cart,13671,0,48,51.05217569025682,41.94007100886665,172.93892599991523,317.7651964011411,76.26868223673321,0.0,46,48,51,52,57,81,86,90,100,130,170
GET,get_catalogue1,6557,0,4,7.229523651117713,1.6012010164558887,88.85684298002161,1643.0,36.580626832437986,0.0,3,4,6,7,11,38,43,46,54,89,89
GET,get_catalogue2,1437,0,47,51.02082953124279,42.051614000229165,134.567571018124,22.0,8.016830983409088,0.0,46,47,50,51,74,82,87,88,93,130,130
GET,get_catalogue3,1437,0,5,7.127230632825798,1.6813919937703758,59.08264798927121,1927.0,8.016830983409088,0.0,4,5,7,8,11,16,42,46,58,59,59
GET,get_category,1437,0,3,4.515935504712131,0.7983899849932641,53.32650602213107,11518.0,8.016830983409088,0.0,2,3,4,5,7,11,35,45,53,53,53
GET,get_customer,7116,0,48,50.63278776305298,42.78198099927977,134.93954399018548,366.4983136593592,39.69921313704876,0.0,47,48,52,52,56,65,85,89,100,130,130
GET,get_customer_orders,1836,0,3,4.650649741683982,0.8510909974575043,55.23714897572063,6368.0,10.242798667737707,0.0,2,3,5,5,8,12,32,43,55,55,55
GET,get_detail,2643,0,3,4.696507097058145,0.8116090029943734,74.91020602174103,10364.0,14.744943833785817,0.0,2,3,4,4,7,14,39,44,52,75,75
GET,get_index,5355,0,3,4.561907455827745,0.7646369922440499,79.94402997428551,8688.0,29.87482944756831,0.0,2,3,4,5,8,12,31,44,52,80,80
GET,get_item,6881,0,48,50.383216849259554,41.91647100378759,133.27662899973802,286.0,38.38817953850935,0.0,46,48,51,52,56,78,84,88,98,130,130
GET,get_orders,3037,0,49,51.507973194580465,42.57104799035005,117.62090801494196,2.0,16.94301718623062,0.0,47,49,52,52,57,81,87,90,99,120,120
GET,get_related,2639,0,48,50.20597571934864,42.918560007819906,99.82991401921026,760.0,14.722628368278762,0.0,47,48,52,52,56,60,84,91,96,100,100
GET,get_tags,1437,0,48,49.2757974353837,42.48702200129628,96.30696597741917,107.0,8.016830983409088,0.0,45,48,51,52,53,58,84,87,96,96,96
GET,login,1844,0,52,57.188930233386564,43.87186001986265,144.6123350178823,13.0,10.287429598751814,0.0,49,52,56,59,84,92,96,100,130,140,140
,Aggregated,62143,0,46,35.33150589205394,0.7646369922440499,172.93892599991523,2492.9511771237308,346.6874932512115,0.0,5,46,49,51,53,61,84,88,99,130,170
