Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,154,0,7,7.262044012952481,4.938827001751633,12.41302099879249,0.0,0.8596618078946254,0.0,7,7,8,8,8,9,10,12,12,12,12
GET,get_address,154,0,44,45.2988032206854,43.560072997934185,52.028592999704415,283.0,0.8596618078946254,0.0,44,44,48,48,48,48,49,52,52,52,52
GET,get_basket,154,0,2,2.2707777986291253,1.0490120002941694,43.835710999701405,23020.0,0.8596618078946254,0.0,1,2,2,2,2,2,4,44,44,44,44
GET,get_card,154,0,44,45.4333751947763,43.060853000497445,56.206091001513414,17.0,0.8596618078946254,0.0,44,44,48,48,48,51,52,52,56,56,56
GET,get_cart,4275,0,46,46.41269731255519,42.273506998753874,69.81914100106223,500.2056140350877,23.86398849837353,0.0,44,46,48,48,50,51,52,52,56,70,70
GET,get_catalogue1,2462,0,3,3.108259831416241,1.8368929995631333,9.779168998647947,1643.0,13.74342448725044,0.0,3,3,3,4,4,4,5,6,9,10,10
GET,get_catalogue2,275,0,46,46.36446029469053,42.04530000060913,52.05957200087141,22.0,1.5351103712404026,0.0,46,46,47,47,50,50,51,51,52,52,52
GET,get_catalogue3,275,0,3,3.359116552693939,2.2168200011947192,10.196945000643609,1927.0,1.5351103712404026,0.0,3,3,4,4,4,4,5,7,10,10,10
GET,get_category,275,0,2,2.64807884729552,0.9580760015523992,48.25207900285022,11518.0,1.5351103712404026,0.0,1,2,2,2,2,3,44,48,48,48,48
GET,get_customer,1812,0,44,45.64948562251158,43.00479800076573,55.76543600182049,345.5331125827815,10.114981791591307,0.0,44,44,48,48,48,49,52,52,53,56,56
GET,get_customer_orders,955,0,2,2.1132926157020773,0.8795440007816069,47.826853002334246,6368.0,5.331019652853034,0.0,1,2,2,2,3,3,4,8,48,48,48
GET,get_detail,429,0,2,1.9186569370504003,0.897383000847185,47.979873001168016,10364.0,2.394772179135028,0.0,1,2,2,2,2,2,3,4,48,48,48
GET,get_index,2308,0,2,2.0174387226841746,0.8296609994431492,48.21806100153481,8688.0,12.883762679355815,0.0,1,2,2,2,2,3,4,5,48,48,48
GET,get_item,1691,0,44,45.688377318146934,42.21065800084034,56.012343000475084,286.0,9.43953322824553,0.0,44,44,48,48,48,50,52,52,56,56,56
GET,get_orders,1108,0,46,46.981076705848174,42.62227800063556,58.54862700289232,2.0,6.185099241215877,0.0,46,46,48,49,50,51,51,52,55,59,59
GET,get_related,429,0,44,45.51084862230875,43.254257001535734,55.97456099712872,760.0,2.394772179135028,0.0,44,44,48,48,48,48,52,52,56,56,56
GET,get_tags,275,0,44,44.87478336362983,42.91382399969734,51.82991299807327,107.0,1.5351103712404026,0.0,44,44,44,48,48,48,48,49,52,52,52
GET,login,956,0,48,49.30614093825768,43.89744500076631,60.867232001328375,13.0,5.336601872384818,0.0,48,48,52,52,52,52,53,56,61,61,61
,Aggregated,18141,0,44,29.46032281114964,0.8296609994431492,69.81914100106223,2510.1973981588667,101.26704452608053,0.0,3,44,47,48,48,50,52,52,56,70,70
