Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1137,0,10,13.945633686992743,4.351757001131773,66.80197799869347,0.0,6.344542275095041,0.0,8,10,13,15,28,47,53,55,66,67,67
GET,get_address,1136,0,48,49.51279698588236,43.09956400538795,99.06580599636072,283.0,6.338962202733479,0.0,47,48,51,52,53,57,82,87,96,99,99
GET,get_basket,1137,0,3,4.468979472498458,0.881112995557487,92.00390300247818,23020.0,6.344542275095041,0.0,2,3,5,5,7,11,20,44,51,92,92
GET,get_card,1137,0,48,49.89259189805986,42.875343999185134,100.67794399947161,17.0,6.344542275095041,0.0,47,48,52,52,55,60,84,92,97,100,100
GET,get_cart,12929,0,48,51.26016365062406,42.24223799974425,135.28980199771468,525.7654884368474,72.14475556262425,0.0,46,48,51,52,57,82,87,91,100,130,140
GET,get_catalogue1,6208,0,4,7.195783609900085,1.7173430023831315,87.51429800031474,1643.0,34.64108922057169,0.0,3,4,6,6,11,38,44,46,54,88,88
GET,get_catalogue2,1358,0,47,51.1016177113076,41.82348099857336,97.7633459988283,22.0,7.577738267000058,0.0,46,47,50,51,76,83,87,90,96,98,98
GET,get_catalogue3,1358,0,5,7.026177670649812,1.8364069983363152,53.41545899864286,1927.0,7.577738267000058,0.0,4,5,7,8,11,15,41,46,53,53,53
GET,get_category,1360,0,3,4.590958618390526,0.886788999196142,88.13701899634907,11518.0,7.5888984117231795,0.0,2,3,4,5,7,11,40,44,59,88,88
GET,get_customer,6719,0,48,50.28043425687968,42.87863500212552,100.49449399957666,366.2479535645185,37.49250619732945,0.0,47,48,52,52,55,61,86,89,96,100,100
GET,get_customer_orders,1737,0,3,5.060971354628794,0.8584850002080202,72.46653399488423,6368.0,9.692585692031738,0.0,2,3,5,5,9,13,42,44,52,72,72
GET,get_detail,2493,0,3,4.890764845089601,0.8278029999928549,77.58800000010524,10364.0,13.911120397371976,0.0,2,3,4,4,6,31,41,46,52,78,78
GET,get_index,5072,0,3,4.503203689247109,0.8112380019156262,84.47084900399204,8688.0,28.302127017838213,0.0,2,3,4,5,7,12,36,44,53,84,84
GET,get_item,6495,0,48,50.32379178061243,41.90473999915412,100.16096500476124,286.0,36.242569988339746,0.0,46,48,51,52,56,79,86,89,96,100,100
GET,get_orders,2870,0,48,51.44677727447923,42.560504996799864,99.61137799837161,2.0,16.014807677680533,0.0,47,48,52,52,57,81,87,91,96,100,100
GET,get_related,2493,0,48,49.815247416359405,42.72616199887125,99.96450900507625,760.0,13.911120397371976,0.0,47,48,52,52,54,58,81,88,97,100,100
GET,get_tags,1358,0,48,48.99612658384462,42.622286004188936,97.20670199749293,107.0,7.577738267000058,0.0,45,48,50,51,53,56,83,89,93,97,97
GET,login,1746,0,52,57.52063366664623,43.82044399972074,110.00099699595012,13.0,9.742806343285789,0.0,49,52,56,60,87,92,97,100,110,110,110
,Aggregated,58743,0,46,35.30340103902666,0.8112380019156262,135.28980199771468,2539.437260609775,327.7901907351873,0.0,5,46,49,51,53,60,85,89,98,130,140
