Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,76,0,7,7.420271723898814,5.12959691695869,11.00582699291408,0.0,0.42440511989722646,0.0,7,7,8,8,9,10,10,11,11,11,11
GET,get_address,76,0,44,45.504151587680866,43.78635494504124,52.10534995421767,283.0,0.42440511989722646,0.0,44,44,48,48,48,48,48,52,52,52,52
GET,get_basket,76,0,2,2.3530278336501826,1.0891970014199615,47.9055360192433,23020.0,0.42440511989722646,0.0,2,2,2,2,2,2,3,48,48,48,48
GET,get_card,76,0,44,46.087589629582666,43.66386402398348,52.069804980419576,17.0,0.42440511989722646,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,get_cart,1881,0,47,46.80169645145066,42.552970931865275,58.016342925839126,674.5667198298777,10.504026717456355,0.0,45,47,48,48,50,51,52,52,56,58,58
GET,get_catalogue1,1102,0,3,3.2818252508090757,1.9581200322136283,9.425236959941685,1643.0,6.153874238509784,0.0,3,3,4,4,4,4,5,5,9,9,9
GET,get_catalogue2,76,0,46,46.76985885261705,42.53912705462426,52.108419011346996,22.0,0.42440511989722646,0.0,46,46,47,48,50,50,51,52,52,52,52
GET,get_catalogue3,76,0,3,3.433402616984064,2.1762849064543843,5.850394954904914,1927.0,0.42440511989722646,0.0,3,3,4,4,4,4,5,6,6,6,6
GET,get_category,76,0,2,3.44725409492017,1.0487620020285249,48.11181302648038,11518.0,0.42440511989722646,0.0,2,2,2,2,2,3,44,48,48,48,48
GET,get_customer,779,0,44,45.79324818955106,43.243749998509884,52.60583304334432,386.0,4.350152478946572,0.0,44,44,48,48,48,51,52,52,53,53,53
GET,get_customer_orders,475,0,2,2.0934410905465484,1.0338419815525413,44.01965509168804,6368.0,2.6525319993576657,0.0,2,2,2,2,2,2,3,8,44,44,44
GET,get_detail,152,0,2,1.8915157147842507,1.0205840226262808,43.234158074483275,10364.0,0.8488102397944529,0.0,1,2,2,2,2,2,3,4,43,43,43
GET,get_index,1026,0,2,2.034790558739589,0.8072050986811519,47.83484200015664,8688.0,5.729469118612558,0.0,2,2,2,2,2,2,3,3,44,48,48
GET,get_item,779,0,44,45.38348613624295,42.47121699154377,52.08352394402027,286.0,4.350152478946572,0.0,44,44,48,48,48,48,50,52,52,52,52
GET,get_orders,551,0,46,46.865939335076106,42.90314391255379,58.42812603805214,2.0,3.076937119254892,0.0,46,46,47,48,50,51,51,52,58,58,58
GET,get_related,152,0,44,45.04326546923135,43.450912926346064,51.965714897960424,760.0,0.8488102397944529,0.0,44,44,48,48,48,48,49,52,52,52,52
GET,get_tags,76,0,44,44.701858509429975,43.75036899000406,48.02058299537748,107.0,0.42440511989722646,0.0,44,44,44,44,48,48,48,48,48,48,48
GET,login,475,0,48,48.9064730277383,44.565252028405666,59.934359043836594,13.0,2.6525319993576657,0.0,48,48,48,52,52,52,52,52,60,60,60
,Aggregated,7980,0,44,29.71499193645605,0.8072050986811519,59.934359043836594,2511.7407268170427,44.56253758920878,0.0,3,44,47,48,48,50,52,52,55,60,60
