Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,459,0,7,7.4706860538470625,4.671433009207249,13.636459945701063,0.0,2.5620048027171616,0.0,6,7,8,9,10,11,11,12,14,14,14
GET,get_address,457,0,45,46.173705319982,43.11181791126728,60.602762969210744,283.0,2.5508413830974788,0.0,44,45,48,48,49,52,52,53,61,61,61
GET,get_basket,457,0,2,2.4028979934735686,0.8401160594075918,48.45612996723503,23020.0,2.5508413830974788,0.0,2,2,2,2,3,3,5,44,48,48,48
GET,get_card,457,0,44,46.1627963896743,43.17165398970246,91.10196097753942,17.0,2.5508413830974788,0.0,44,44,48,48,48,52,52,53,91,91,91
GET,get_cart,5414,0,47,46.71657897960663,42.19562595244497,92.08106098230928,615.6590321388992,30.219376910480854,0.0,44,47,48,48,50,52,52,53,60,92,92
GET,get_catalogue1,2616,0,3,3.2362354017184645,1.659506931900978,42.855578009039164,1643.0,14.601752862544869,0.0,3,3,3,4,4,5,6,7,18,43,43
GET,get_catalogue2,581,0,46,46.54102860236614,42.04223200213164,51.55930295586586,22.0,3.242973399517801,0.0,46,46,47,49,50,50,51,51,52,52,52
GET,get_catalogue3,581,0,3,3.4620619123311083,1.9048789981752634,9.572515962645411,1927.0,3.242973399517801,0.0,3,3,4,4,5,5,6,7,10,10,10
GET,get_category,581,0,2,2.492186703748052,0.8004140108823776,48.05910505820066,11518.0,3.242973399517801,0.0,1,2,2,2,3,3,5,44,48,48,48
GET,get_customer,2800,0,44,45.97170586564711,42.760031996294856,56.3921780558303,359.8121428571429,15.62878746755567,0.0,44,44,48,48,48,51,52,52,56,56,56
GET,get_customer_orders,723,0,2,2.271691659744958,0.8223119657486677,48.311465070582926,6368.0,4.035576192515268,0.0,1,2,2,2,3,3,5,8,48,48,48
GET,get_detail,1040,0,2,2.0144588918460964,0.8296821033582091,47.90956899523735,10364.0,5.804978202234963,0.0,1,2,2,2,2,3,4,6,47,48,48
GET,get_index,2159,0,2,2.078539730796367,0.786687945947051,48.20745706092566,8688.0,12.05091147944739,0.0,1,2,2,2,2,3,4,6,48,48,48
GET,get_item,2676,0,46,45.98782142832728,41.91289690788835,80.3691300097853,286.0,14.936655451135346,0.0,44,46,48,48,49,50,51,52,54,80,80
GET,get_orders,1179,0,47,47.26356124310684,42.716800002381206,85.60482796747237,2.0,6.5808358658029045,0.0,46,47,48,50,51,52,52,53,62,86,86
GET,get_related,1037,0,44,45.85959511665805,42.97201591543853,91.9340520631522,760.0,5.788233072805439,0.0,44,44,48,48,48,51,52,52,56,92,92
GET,get_tags,581,0,44,45.61564994101507,43.08133409358561,79.10279603675008,107.0,3.242973399517801,0.0,44,44,48,48,48,49,52,52,79,79,79
GET,login,728,0,48,49.386652546632874,44.0870700404048,72.12825398892164,13.0,4.063484741564474,0.0,48,48,52,52,52,52,53,56,72,72,72
,Aggregated,24526,0,44,31.165285644093824,0.786687945947051,92.08106098230928,2564.1265595694367,136.89701479616798,0.0,3,44,48,48,49,51,52,52,57,91,92
