Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,get_cart,1847,0,46,46.09373849743506,42.37681801896542,53.02067706361413,98.23714131023281,10.309469220584203,0.0,44,46,48,48,49,50,52,52,53,53,53
GET,get_catalogue1,990,0,3,3.2294102024870237,1.9318410195410252,9.988685953430831,1643.0,5.525920156133385,0.0,3,3,3,4,4,4,5,7,10,10,10
GET,get_catalogue2,363,0,46,46.60517744913687,42.06782998517156,53.372210008092225,22.0,2.0261707239155746,0.0,46,46,47,48,50,51,51,51,53,53,53
GET,get_catalogue3,363,0,3,3.400968408889391,2.106611034832895,8.731257054023445,1927.0,2.0261707239155746,0.0,3,3,4,4,4,4,5,6,9,9,9
GET,get_category,363,0,2,2.5776346998556052,1.0398010490462184,48.5446770908311,11518.0,2.0261707239155746,0.0,1,2,2,2,2,3,4,44,49,49,49
GET,get_customer,858,0,44,45.301068885580776,43.13255101442337,52.33763996511698,129.6153846153846,4.789130801982267,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_customer_orders,132,0,2,1.9727270189446933,0.9418630506843328,43.95337402820587,6368.0,0.736789354151118,0.0,1,2,2,2,2,2,2,3,44,44,44
GET,get_detail,363,0,2,3.5554481517605625,0.9365329751744866,47.95170295983553,10364.0,2.0261707239155746,0.0,2,2,2,2,2,3,44,48,48,48,48
GET,get_index,990,0,2,1.9728511294368842,0.8948630420491099,47.937046037986875,8688.0,5.525920156133385,0.0,1,2,2,2,2,2,3,4,48,48,48
GET,get_item,495,0,46,46.08111422029183,42.06705593969673,51.92281003110111,286.0,2.7629600780666923,0.0,44,46,47,48,50,50,51,52,52,52,52
GET,get_orders,132,0,46,47.11927395405699,44.99413399025798,54.501981008797884,2.0,0.736789354151118,0.0,46,46,47,48,50,51,51,51,55,55,55
GET,get_related,362,0,44,45.19075444624219,43.075141962617636,52.49919695779681,760.0,2.0205889863841264,0.0,44,44,48,48,48,48,48,52,52,52,52
GET,get_tags,363,0,44,44.98695626536759,43.221883941441774,52.10486799478531,107.0,2.0261707239155746,0.0,44,44,45,48,48,48,49,52,52,52,52
GET,login,132,0,48,49.09630999000828,47.48703702352941,59.91043499670923,13.0,0.736789354151118,0.0,48,48,51,52,52,52,56,56,60,60,60
,Aggregated,7753,0,44,28.11718788453832,0.8948630420491099,59.91043499670923,2640.150135431446,43.275211081315284,0.0,3,44,46,47,48,49,51,52,53,60,60
