Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,231,0,7,7.441917873789996,4.339275066740811,14.181148959323764,0.0,1.2892162531053766,0.0,6,7,8,8,9,10,11,13,14,14,14
GET,get_address,231,0,44,46.152171420308385,43.1593629764393,52.76438104920089,283.0,1.2892162531053766,0.0,44,44,48,48,49,52,52,52,53,53,53
GET,get_basket,231,0,2,2.1731704675080454,0.9512429824098945,43.9877409953624,23020.0,1.2892162531053766,0.0,2,2,2,2,3,3,4,8,44,44,44
GET,get_card,231,0,45,46.25154343973926,43.308462016284466,55.970435962080956,17.0,1.2892162531053766,0.0,44,45,48,48,49,52,52,52,56,56,56
GET,get_cart,2477,0,47,46.754234590696235,42.43484803009778,123.01764008589089,451.2733144933387,13.824193328753323,0.0,44,47,48,48,50,51,52,53,100,120,120
GET,get_catalogue1,1192,0,3,3.4487431351487654,1.7989850603044033,10.568472906015813,1643.0,6.652579106933372,0.0,3,3,4,4,4,5,6,7,8,11,11
GET,get_catalogue2,231,0,46,46.659486818840946,42.11640800349414,51.205702940933406,22.0,1.2892162531053766,0.0,46,46,47,49,50,50,51,51,51,51,51
GET,get_catalogue3,231,0,4,3.8924051370084674,2.194368978962302,9.115030989050865,1927.0,1.2892162531053766,0.0,3,4,4,4,5,6,8,9,9,9,9
GET,get_category,231,0,2,1.9276723818998638,0.8594300597906113,5.4766429821029305,11518.0,1.2892162531053766,0.0,2,2,2,2,3,3,3,5,5,5,5
GET,get_customer,1283,0,44,45.89128181719768,43.087147059850395,55.0839479546994,386.0,7.16045217633852,0.0,44,44,48,48,48,49,52,52,53,55,55
GET,get_customer_orders,362,0,2,1.8032069243387787,0.9707820136100054,3.9810220478102565,6368.0,2.0203302321391616,0.0,2,2,2,2,2,3,3,3,4,4,4
GET,get_detail,462,0,2,2.358376601352094,0.8148190099745989,44.5977320196107,10364.0,2.578432506210753,0.0,1,2,2,2,2,3,7,44,45,45,45
GET,get_index,961,0,2,2.166311535935822,0.8758039912208915,47.90095193311572,8688.0,5.363362853827995,0.0,2,2,2,2,3,3,4,6,48,48,48
GET,get_item,1282,0,45,45.73037036565276,41.871967958286405,56.019761017523706,286.0,7.154871153597804,0.0,44,45,48,48,49,50,51,52,56,56,56
GET,get_orders,590,0,46,46.909329039833935,42.47448907699436,58.0388909438625,2.0,3.29280341702239,0.0,46,46,48,49,50,51,52,54,58,58,58
GET,get_related,462,0,47,46.201783150748966,43.06257702410221,52.678941981866956,760.0,2.578432506210753,0.0,44,47,48,48,48,51,52,52,53,53,53
GET,get_tags,231,0,44,45.63778655621671,43.092312989756465,52.39676998462528,107.0,1.2892162531053766,0.0,44,44,48,48,48,51,52,52,52,52,52
GET,login,365,0,48,49.29730973544543,44.23670703545213,55.94484799075872,13.0,2.037073300361309,0.0,48,48,52,52,52,52,53,53,56,56,56
,Aggregated,11284,0,44,31.415884806766716,0.8148190099745989,123.01764008589089,2504.45418291386,62.97626060623839,0.0,3,44,48,48,48,51,52,52,56,110,120
