Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,154,0,7,7.24408899391578,4.6182890655472875,13.779293978586793,0.0,0.8596711909913304,0.0,7,7,8,8,9,9,11,13,14,14,14
GET,get_address,153,0,44,45.8302086598112,43.208561022765934,52.44124203454703,283.0,0.8540889105303477,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,get_basket,154,0,2,2.5277715886930947,0.9515159763395786,44.17587001807988,23020.0,0.8596711909913304,0.0,2,2,2,2,2,3,4,44,44,44,44
GET,get_card,154,0,44,45.72677057744427,43.46425901167095,52.05857299733907,17.0,0.8596711909913304,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_cart,4273,0,46,46.44840857338377,42.13282105047256,54.930449929088354,401.07114439503863,23.853084409778926,0.0,44,46,48,48,50,51,52,52,54,55,55
GET,get_catalogue1,2461,0,3,3.2117163796698365,1.8365040887147188,23.153596092015505,1643.0,13.73799221447834,0.0,3,3,3,4,4,4,5,6,15,23,23
GET,get_catalogue2,275,0,46,46.76576767328449,42.44399897288531,51.26007890794426,22.0,1.5351271267702329,0.0,46,46,47,50,50,51,51,51,51,51,51
GET,get_catalogue3,275,0,3,3.3915766019543465,2.005107933655381,8.522073039785028,1927.0,1.5351271267702329,0.0,3,3,4,4,4,4,5,5,9,9,9
GET,get_category,275,0,2,2.0400115331126885,1.0435619624331594,47.99660400021821,11518.0,1.5351271267702329,0.0,1,2,2,2,2,2,3,4,48,48,48
GET,get_customer,1811,0,44,45.86370595798209,43.14509592950344,56.71229399740696,345.5107675317504,10.109509914839606,0.0,44,44,48,48,48,52,52,52,55,57,57
GET,get_customer_orders,955,0,2,2.343318685133459,0.88070600759238,51.547473995015025,6368.0,5.3310778402384456,0.0,1,2,2,2,3,3,6,44,52,52,52
GET,get_detail,429,0,2,2.0318217936464715,0.9269369766116142,43.99253090377897,10364.0,2.3947983177615635,0.0,1,2,2,2,2,2,3,6,44,44,44
GET,get_index,2308,0,2,2.04596615484609,0.8474369533360004,47.719607944600284,8688.0,12.88390330394799,0.0,1,2,2,2,2,3,4,6,44,48,48
GET,get_item,1689,0,45,45.67049149230294,42.01619094237685,56.24158098362386,286.0,9.428471698599722,0.0,44,45,48,48,48,50,51,52,56,56,56
GET,get_orders,1108,0,46,47.19611836575469,42.543087038211524,65.10152900591493,2.0,6.185166750768793,0.0,46,46,49,50,50,51,52,53,58,65,65
GET,get_related,429,0,44,45.441983120042686,43.04237896576524,52.37231799401343,760.0,2.3947983177615635,0.0,44,44,48,48,48,49,52,52,52,52,52
GET,get_tags,275,0,44,45.12632081327452,43.08779397979379,52.027291036210954,107.0,1.5351271267702329,0.0,44,44,48,48,48,48,49,51,52,52,52
GET,login,956,0,48,49.19924817065549,43.99246093817055,60.61164801940322,13.0,5.3366601206994275,0.0,48,48,52,52,52,52,56,56,61,61,61
,Aggregated,18134,0,44,29.53300648491512,0.8474369533360004,65.10152900591493,2487.592643652807,101.22907387945965,0.0,3,44,47,48,48,50,52,52,56,61,65
