Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1248,0,12,21.771148541842987,4.278346081264317,87.46790594886988,0.0,6.961254449132614,0.0,9,12,32,37,52,59,65,73,82,87,87
GET,get_address,1245,0,50,54.87507459423299,43.142328038811684,120.14749099034816,283.0,6.944520664399122,0.0,48,50,56,60,76,84,95,100,110,120,120
GET,get_basket,1247,0,4,7.688251505762715,0.936180935241282,75.96751803066581,23020.0,6.955676520888117,0.0,2,4,6,9,22,34,46,52,62,76,76
GET,get_card,1247,0,51,57.006799608171015,42.97772794961929,107.35951992683113,17.0,6.955676520888117,0.0,48,51,63,69,81,89,97,100,100,110,110
GET,get_cart,14381,0,49,54.874000005148076,42.12852707132697,130.0771019887179,410.4747235936305,80.21618608411549,0.0,47,49,57,62,76,86,96,100,120,130,130
GET,get_catalogue1,6877,0,5,11.700599423720181,1.7218630528077483,81.65388007182628,1643.0,38.35941253740784,0.0,3,5,19,22,28,40,50,54,71,82,82
GET,get_catalogue2,1582,0,51,56.64728274950098,41.90317110624164,124.9083869624883,22.0,8.824282482794708,0.0,46,51,66,67,73,81,90,94,110,120,120
GET,get_catalogue3,1582,0,7,11.598870728498115,2.1712779998779297,75.95736091025174,1927.0,8.824282482794708,0.0,4,7,12,15,30,39,55,62,74,76,76
GET,get_category,1582,0,4,13.69035823717207,0.9296669159084558,84.35262204147875,11518.0,8.824282482794708,0.0,2,4,27,29,34,39,48,55,80,84,84
GET,get_customer,7504,0,51,57.58670781602411,42.60677599813789,118.97022998891771,359.10794243070364,41.85677354670764,0.0,48,51,65,72,81,91,98,100,120,120,120
GET,get_customer_orders,1851,0,4,10.29698932569812,0.9262759704142809,80.34139103256166,6368.0,10.324745180564479,0.0,2,4,12,20,31,36,47,53,77,80,80
GET,get_detail,2829,0,3,6.806167445725608,0.8561869617551565,72.06559798214585,10364.0,15.779959003682826,0.0,2,3,5,7,17,35,44,50,60,72,72
GET,get_index,5632,0,4,10.349745668814979,0.7805610075592995,87.96668902505189,8688.0,31.41489187300872,0.0,2,4,14,22,32,37,47,52,76,88,88
GET,get_item,7168,0,49,53.722674243382635,41.8237749254331,128.41130595188588,286.0,39.982589656556556,0.0,46,49,56,60,72,83,95,100,120,130,130
GET,get_orders,3095,0,51,56.147207769374205,42.461027042008936,119.11182897165418,2.0,17.263687916719103,0.0,48,51,62,66,75,86,95,99,120,120,120
GET,get_related,2827,0,51,55.22221818679649,42.86195198073983,123.0076290667057,760.0,15.76880314719383,0.0,48,51,58,61,73,82,93,99,120,120,120
GET,get_tags,1582,0,49,56.9480897947191,42.68661292735487,123.20700904820114,107.0,8.824282482794708,0.0,47,49,67,72,81,92,100,100,120,120,120
GET,login,1858,0,68,69.88926826826115,43.841767008416355,123.73079801909626,13.0,10.36379067827596,0.0,52,68,88,91,96,100,100,110,120,120,120
,Aggregated,65337,0,47,40.391356385693236,0.7805610075592995,130.0771019887179,2521.0353704639024,364.44509771071927,0.0,11,47,52,56,72,83,94,99,120,130,130
