Timestamp,User Count,Type,Name,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1707721714,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1707721715,5,,Aggregated,0.000000,0.000000,4,44,48,49,52,52,52,53,56,56,56,141,0,44,30.013283602364943,1.311560976319015,56.0329839354381,2935.2836879432625
1707721716,10,,Aggregated,0.000000,0.000000,4,44,48,48,52,65,68,75,100,100,100,317,0,44,32.30451883223754,0.8670060196891427,103.99471805430949,2654.4637223974764
1707721717,15,,Aggregated,67.000000,0.000000,4,44,48,49,52,53,68,72,100,100,100,596,0,44,32.06604258208098,0.8670060196891427,103.99471805430949,2701.7734899328857
1707721718,20,,Aggregated,117.500000,0.000000,5,45,49,50,52,63,68,72,100,100,100,931,0,45,33.51328168294435,0.8670060196891427,103.99471805430949,2611.8388829215896
1707721719,24,,Aggregated,137.000000,0.000000,5,45,49,51,53,65,75,81,93,100,100,1280,0,45,34.09175608030637,0.8670060196891427,103.99471805430949,2630.7703125
1707721720,24,,Aggregated,183.500000,0.000000,5,46,49,51,56,68,75,82,93,100,100,1633,0,46,34.86299457489607,0.8670060196891427,103.99471805430949,2595.488671157379
1707721721,24,,Aggregated,210.600000,0.000000,5,46,49,51,57,68,76,84,100,100,100,1949,0,46,35.31411727290675,0.8670060196891427,103.99471805430949,2576.6895844022574
1707721722,24,,Aggregated,232.833333,0.000000,5,46,49,51,57,68,75,83,100,100,100,2310,0,46,35.327963416416246,0.7961180526763201,103.99471805430949,2559.3982683982686
1707721723,24,,Aggregated,248.714286,0.000000,5,46,50,52,60,68,77,85,100,100,100,2645,0,46,35.73257474022757,0.7961180526763201,103.99471805430949,2553.664650283554
