Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,458,0,7,7.0588736162992705,4.1791400872170925,35.15982301905751,0.0,2.5562010334902348,0.0,6,7,8,8,9,10,12,12,35,35,35
GET,get_address,457,0,47,46.418563810001885,43.16634905990213,53.725796984508634,283.0,2.550619808526282,0.0,44,47,48,48,49,52,52,53,54,54,54
GET,get_basket,457,0,2,3.2836763247851635,0.8488530293107033,47.81616199761629,23020.0,2.550619808526282,0.0,2,2,3,3,4,6,44,44,48,48,48
GET,get_card,457,0,47,46.538974151078456,43.072068016044796,56.32448894903064,17.0,2.550619808526282,0.0,44,47,48,48,51,52,52,56,56,56,56
GET,get_cart,5416,0,46,46.62011382414202,42.17196011450142,82.97900494653732,208.29043574593797,30.22791440476662,0.0,44,46,48,48,50,51,52,53,72,83,83
GET,get_catalogue1,2622,0,3,3.4867989521031073,1.6729440540075302,36.67168493848294,1643.0,14.633971855483395,0.0,3,3,4,4,4,5,8,11,34,37,37
GET,get_catalogue2,582,0,46,46.63550276093223,42.037663981318474,81.40223799273372,22.0,3.248272929020342,0.0,46,46,47,49,50,50,51,52,81,81,81
GET,get_catalogue3,580,0,3,3.8779341734158965,1.8669860437512398,35.25772504508495,1927.0,3.2371104790924368,0.0,3,3,4,4,5,6,8,13,35,35,35
GET,get_category,582,0,2,2.4108407463673567,0.9387889876961708,48.01337094977498,11518.0,3.248272929020342,0.0,1,2,2,2,3,3,5,44,48,48,48
GET,get_customer,2797,0,45,46.29381712186285,42.93571400921792,80.16967796720564,359.78405434393994,15.61068622417508,0.0,44,45,48,48,49,52,52,53,73,80,80
GET,get_customer_orders,724,0,2,2.7394344572245415,0.8673709817230701,51.83085799217224,6368.0,4.040806873901594,0.0,2,2,2,2,3,4,8,44,52,52,52
GET,get_detail,1037,0,2,2.100027818883892,0.9053080575540662,49.98146591242403,10364.0,5.787730287618719,0.0,1,2,2,2,3,3,4,6,44,50,50
GET,get_index,2165,0,2,2.231740724783623,0.7715329993516207,55.08055700920522,8688.0,12.083352046957113,0.0,1,2,2,2,3,3,6,9,48,55,55
GET,get_item,2674,0,46,46.16959205510446,42.01119195204228,64.01917291805148,286.0,14.924195553608925,0.0,44,46,48,48,49,51,52,52,58,64,64
GET,get_orders,1180,0,47,47.280782034375974,42.47328103519976,57.62395402416587,2.0,6.585845457463924,0.0,46,47,49,50,51,52,52,54,57,58,58
GET,get_related,1036,0,47,46.41394342613158,42.95861499849707,60.09542802348733,760.0,5.782149062654766,0.0,44,47,48,48,49,52,53,54,60,60,60
GET,get_tags,580,0,44,45.52128103457327,43.03420695941895,55.06012903060764,107.0,3.2371104790924368,0.0,44,44,48,48,48,49,52,52,55,55,55
GET,login,730,0,48,49.619171942252514,43.81897603161633,67.77075899299234,13.0,4.074294223685309,0.0,48,48,52,52,52,53,56,60,68,68,68
,Aggregated,24534,0,44,31.306794510809688,0.7715329993516207,82.97900494653732,2475.217942447216,136.9297732656101,0.0,3,44,48,48,49,51,52,53,62,81,83
