Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,77,0,7,7.2854527154356825,4.762422060593963,10.21284400485456,0.0,0.4297330472186301,0.0,7,7,8,8,9,9,10,10,10,10,10
GET,get_address,77,0,44,45.992264165784924,43.64527796860784,52.070669014938176,283.0,0.4297330472186301,0.0,44,44,48,48,52,52,52,52,52,52,52
GET,get_basket,77,0,2,2.3553372412170104,0.865612062625587,44.0230299718678,23020.0,0.4297330472186301,0.0,2,2,2,2,2,3,7,44,44,44,44
GET,get_card,77,0,45,46.112981357297244,43.72193303424865,53.54803998488933,17.0,0.4297330472186301,0.0,44,45,48,48,48,49,52,54,54,54,54
GET,get_cart,2784,0,46,46.55634955525293,42.204465018585324,55.994533002376556,189.1282327586207,15.537361083852808,0.0,44,46,48,48,50,51,52,52,54,56,56
GET,get_catalogue1,1622,0,3,3.465420896868978,1.9016789738088846,10.513050016015768,1643.0,9.052298734917118,0.0,3,3,4,4,4,5,6,8,10,11,11
GET,get_catalogue2,198,0,46,46.45443788195744,41.960041038692,53.61803190317005,22.0,1.105027835705049,0.0,46,46,47,47,50,50,51,51,54,54,54
GET,get_catalogue3,198,0,4,3.6668916858469296,2.42526491638273,8.010083925910294,1927.0,1.105027835705049,0.0,3,4,4,4,4,5,7,8,8,8,8
GET,get_category,198,0,2,2.039619455128118,0.8616159902885556,44.14423508569598,11518.0,1.105027835705049,0.0,2,2,2,2,2,3,4,7,44,44,44
GET,get_customer,1162,0,44,45.94507777927966,42.99329500645399,55.926749017089605,322.89672977624787,6.485062348935691,0.0,44,44,48,48,48,51,52,52,53,56,56
GET,get_customer_orders,613,0,2,2.2122839569808463,0.9561660699546337,43.97281398996711,6368.0,3.42112153175351,0.0,2,2,2,2,3,3,4,4,44,44,44
GET,get_detail,275,0,2,2.3520385605198415,1.0868069948628545,47.82530607189983,10364.0,1.534760882923679,0.0,1,2,2,2,2,3,5,44,48,48,48
GET,get_index,1545,0,2,2.267472387794827,0.856449012644589,47.945455997250974,8688.0,8.622565687698486,0.0,2,2,2,2,3,3,5,7,48,48,48
GET,get_item,1041,0,45,45.851651106211364,42.32612194027752,52.40297003183514,286.0,5.809767560449272,0.0,44,45,48,48,48,50,52,52,52,52,52
GET,get_orders,689,0,46,47.032863028071745,42.41541598457843,57.566827978007495,2.0,3.845273630306963,0.0,46,46,48,49,50,51,53,54,58,58,58
GET,get_related,275,0,44,45.56687810077247,43.27124997507781,52.47180303558707,760.0,1.534760882923679,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_tags,198,0,44,45.086883781642435,43.31015201751143,51.84061010368168,107.0,1.105027835705049,0.0,44,44,48,48,48,48,48,49,52,52,52
GET,login,613,0,48,49.59711715215164,46.77447699941695,56.49661202915013,13.0,3.42112153175351,0.0,48,48,52,52,52,53,56,56,56,56,56
,Aggregated,11719,0,44,29.37868479325182,0.856449012644589,57.566827978007495,2452.657564638621,65.40313740720943,0.0,3,44,47,48,48,51,52,52,56,57,58
