Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1260,0,11,20.638265407511167,4.5779680367559195,144.833990954794,0.0,7.02930097895478,0.0,8,11,32,43,51,55,60,86,120,140,140
GET,get_address,1258,0,51,54.17754699380562,42.9988739779219,137.45251798536628,283.0,7.018143358353265,0.0,48,51,54,56,68,88,95,100,140,140,140
GET,get_basket,1260,0,4,6.4030867975412145,1.1012019822373986,63.09947499539703,23020.0,7.02930097895478,0.0,3,4,6,7,12,18,41,48,60,63,63
GET,get_card,1259,0,51,54.39127979942873,42.988730943761766,110.27452908456326,17.0,7.0237221686540225,0.0,48,51,56,57,74,85,91,93,100,110,110
GET,get_cart,14498,0,49,55.1355024296721,42.11950406897813,144.75872192997485,208.14443371499516,80.88159174038603,0.0,47,49,55,59,81,87,93,96,130,140,140
GET,get_catalogue1,6937,0,5,12.37922883443188,1.7267030198127031,95.98360396921635,1643.0,38.7002070563566,0.0,4,5,11,17,41,45,49,52,89,96,96
GET,get_catalogue2,1590,0,49,56.31328908134978,42.28119400795549,99.1295319981873,22.0,8.870308378204841,0.0,46,49,56,77,85,88,92,94,99,99,99
GET,get_catalogue3,1589,0,7,10.603654462609105,2.0877220667898655,91.95265988819301,1927.0,8.864729567904083,0.0,5,7,11,12,19,41,49,53,63,92,92
GET,get_category,1592,0,4,8.020335323795624,0.8872600737959146,59.45224000606686,11518.0,8.881465998806357,0.0,3,4,9,11,16,36,44,48,58,59,59
GET,get_customer,7557,0,51,54.564272672665304,42.888532974757254,137.92968995403498,359.77768955934897,42.15906944282641,0.0,48,51,56,57,76,87,92,96,130,140,140
GET,get_customer_orders,1869,0,4,6.954653333155503,1.0121030500158668,83.20128102786839,6368.0,10.426796452116257,0.0,3,4,6,8,14,26,44,48,60,83,83
GET,get_detail,2848,0,3,7.007639237098773,0.8534010266885161,59.34060097206384,10364.0,15.888451736558105,0.0,2,3,6,7,15,37,44,48,55,59,59
GET,get_index,5679,0,4,6.842472142494656,0.7455539889633656,91.16748301312327,8688.0,31.68206369800333,0.0,2,4,7,9,14,26,43,47,60,91,91
GET,get_item,7226,0,49,54.57371756111713,41.74063203390688,136.63106400053948,286.0,40.312483233275586,0.0,47,49,54,57,81,87,92,95,110,140,140
GET,get_orders,3124,0,50,56.055721559886145,42.57580894045532,138.34396505262703,2.0,17.428203379567247,0.0,48,50,55,60,83,88,93,96,130,140,140
GET,get_related,2847,0,50,53.58221511889582,42.95939195435494,137.0402630418539,760.0,15.882872926257347,0.0,48,50,54,56,64,85,92,96,130,140,140
GET,get_tags,1589,0,49,52.992990646699454,42.806615005247295,104.96091295499355,107.0,8.864729567904083,0.0,47,49,54,56,62,85,94,97,100,100,100
GET,login,1880,0,57,66.10790089112112,43.9775800332427,155.00069595873356,13.0,10.488163365424592,0.0,52,57,84,88,94,100,100,110,140,160,160
,Aggregated,65862,0,47,39.32089315914213,0.7455539889633656,155.00069595873356,2476.9813853208225,367.4316040285077,0.0,8,47,52,53,69,84,92,95,110,140,160
