Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1132,0,9,14.263593242709383,4.044456058181822,109.90144894458354,0.0,6.314979199894044,0.0,7,9,13,15,40,50,56,60,99,110,110
GET,get_address,1128,0,48,50.13791866984849,42.832009959965944,100.44046491384506,283.0,6.2926647857601425,0.0,47,48,52,52,56,60,87,91,100,100,100
GET,get_basket,1130,0,3,4.60781095677212,0.8947990136221051,54.331613006070256,23020.0,6.303821992827093,0.0,2,3,5,5,8,13,23,42,48,54,54
GET,get_card,1129,0,48,50.66190049814455,42.867993004620075,96.70019196346402,17.0,6.298243389293617,0.0,47,48,52,53,57,68,85,89,97,97,97
GET,get_cart,12852,0,48,51.38291219713362,41.87305399682373,128.6799010122195,213.156629318394,71.6962126122246,0.0,46,48,52,52,61,81,88,92,100,130,130
GET,get_catalogue1,6167,0,4,7.631081625208644,1.6518309712409973,86.14093600772321,1643.0,34.4032479909422,0.0,3,4,6,7,15,39,44,48,54,86,86
GET,get_catalogue2,1353,0,47,51.17287124957647,41.973743005655706,105.38658103905618,22.0,7.547850580792086,0.0,46,47,50,51,73,82,86,89,94,110,110
GET,get_catalogue3,1353,0,5,7.293734207841604,1.7043090192601085,93.29709503799677,1927.0,7.547850580792086,0.0,4,5,7,8,12,18,43,48,61,93,93
GET,get_category,1353,0,3,5.340147148029629,0.8306730305776,79.50022595468909,11518.0,7.547850580792086,0.0,2,3,5,5,11,18,38,45,57,80,80
GET,get_customer,6684,0,48,51.25005590252677,42.57842595688999,128.9175129495561,366.1898563734291,37.28738601774893,0.0,47,48,52,53,59,76,88,92,100,130,130
GET,get_customer_orders,1725,0,3,5.233631283247276,0.7784750778228045,55.94850692432374,6368.0,9.623091095244899,0.0,2,3,5,6,10,16,36,44,56,56,56
GET,get_detail,2484,0,2,4.6644063588009095,0.7893289439380169,55.073580937460065,10364.0,13.857251177152653,0.0,2,2,4,4,7,14,40,46,53,55,55
GET,get_index,5039,0,3,4.79192808468677,0.7617459632456303,60.039908974431455,8688.0,28.110583205182053,0.0,2,3,4,5,9,15,37,43,53,60,60
GET,get_item,6461,0,48,50.72085717621619,41.98231105692685,108.27890399377793,286.0,36.04335742978394,0.0,46,48,51,52,57,78,87,90,100,110,110
GET,get_orders,2850,0,49,52.09777589319601,42.49681194778532,109.83833693899214,2.0,15.899020070404616,0.0,47,49,52,53,61,82,88,92,100,110,110
GET,get_related,2481,0,48,50.46193537323712,42.871469049714506,99.85076705925167,760.0,13.840515366552228,0.0,47,48,52,52,56,63,87,89,98,100,100
GET,get_tags,1353,0,48,49.49484845333927,42.50873997807503,97.69999294076115,107.0,7.547850580792086,0.0,45,48,51,52,56,60,80,85,95,98,98
GET,login,1733,0,52,59.38456207392893,43.86730899568647,140.95642999745905,13.0,9.667719923512701,0.0,49,52,60,69,88,93,100,100,120,140,140
,Aggregated,58407,0,46,35.739708115517075,0.7617459632456303,140.95642999745905,2470.689557758488,325.82949657969203,0.0,5,46,49,51,55,72,85,90,100,120,140
