Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,153,0,8,7.795407984624891,5.4883749689906836,15.248275129124522,0.0,0.8539602380430894,0.0,7,8,8,9,9,10,13,14,15,15,15
GET,get_address,152,0,44,45.6312891435932,43.4561250731349,52.43481299839914,283.0,0.8483787985787555,0.0,44,44,48,48,48,49,52,52,52,52,52
GET,get_basket,153,0,2,2.6012302552855093,0.9969808161258698,47.96786420047283,23020.0,0.8539602380430894,0.0,1,2,2,2,2,3,8,44,48,48,48
GET,get_card,152,0,44,45.77772786969466,43.45791204832494,52.45391000062227,17.0,0.8483787985787555,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_cart,4268,0,47,46.78906309208898,42.29786619544029,107.07266489043832,599.1883786316776,23.821583633777163,0.0,44,47,48,48,50,52,52,52,88,110,110
GET,get_catalogue1,2460,0,3,3.2552555620829327,1.6947598196566105,27.78050792403519,1643.0,13.730341082261438,0.0,3,3,4,4,4,4,6,7,10,28,28
GET,get_catalogue2,275,0,46,46.50698006915098,42.34627587720752,51.51145113632083,22.0,1.5348958526918275,0.0,46,46,47,47,50,50,51,51,52,52,52
GET,get_catalogue3,275,0,3,3.3177695660428568,2.088726032525301,7.279396057128906,1927.0,1.5348958526918275,0.0,3,3,4,4,4,4,5,6,7,7,7
GET,get_category,275,0,2,2.6732729756357996,1.0388288646936417,51.85777693986893,11518.0,1.5348958526918275,0.0,1,2,2,2,2,3,44,48,52,52,52
GET,get_customer,1807,0,44,45.73988006772359,43.02412993274629,60.03129901364446,345.4211400110681,10.08566111205139,0.0,44,44,48,48,48,49,52,52,56,60,60
GET,get_customer_orders,954,0,2,2.3133572294968388,0.9032771922647953,47.94251802377403,6368.0,5.324693248974557,0.0,1,2,2,2,3,3,4,43,48,48,48
GET,get_detail,428,0,2,2.6182574731358716,0.984253128990531,44.84943603165448,10364.0,2.388856090734917,0.0,1,2,2,2,2,3,43,44,45,45,45
GET,get_index,2308,0,2,2.2723251883912203,0.7051599677652121,48.255723901093006,8688.0,12.881962283682682,0.0,1,2,2,2,3,3,4,9,48,48,48
GET,get_item,1683,0,45,45.841303979396926,42.33548208139837,75.15754783526063,286.0,9.393562618473984,0.0,44,45,48,48,48,50,51,52,55,75,75
GET,get_orders,1106,0,46,47.175746611706835,42.53869992680848,55.362779879942536,2.0,6.173072047553314,0.0,46,46,49,50,50,51,52,53,55,55,55
GET,get_related,427,0,44,45.47141967243155,42.94162802398205,65.59863593429327,760.0,2.383274651270583,0.0,44,44,48,48,48,48,51,52,66,66,66
GET,get_tags,275,0,44,45.00074090182104,43.20145910605788,51.9469790160656,107.0,1.5348958526918275,0.0,44,44,47,48,48,48,48,49,52,52,52
GET,login,956,0,48,49.73417687961427,44.01388904079795,151.56920696608722,13.0,5.3358561279032255,0.0,48,48,52,52,52,53,56,56,150,150,150
,Aggregated,18107,0,44,29.685435059479907,0.7051599677652121,151.56920696608722,2535.3215883360026,101.06312438069425,0.0,3,44,47,48,48,51,52,52,66,110,150
