Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,77,0,7,7.4499403368439765,5.295587936416268,13.198917964473367,0.0,0.4298067544768578,0.0,7,7,8,8,9,9,10,13,13,13,13
GET,get_address,77,0,44,45.71466030577174,43.0663179140538,52.23587993532419,283.0,0.4298067544768578,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,get_basket,77,0,2,2.8734607047510226,1.0672928765416145,43.95945998840034,23020.0,0.4298067544768578,0.0,2,2,2,2,2,3,44,44,44,44,44
GET,get_card,77,0,44,45.9128957356677,43.43366716057062,52.08465806208551,17.0,0.4298067544768578,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_cart,1898,0,47,46.712782318351515,42.30240895412862,56.57396698370576,340.28556375131717,10.59445740255943,0.0,45,47,48,48,50,51,52,52,56,57,57
GET,get_catalogue1,1112,0,3,3.5706202814894854,1.948073972016573,10.503832018002868,1643.0,6.207079363354103,0.0,3,3,4,4,4,5,7,9,10,11,11
GET,get_catalogue2,77,0,46,46.71588452085369,42.35827503725886,50.702973967418075,22.0,0.4298067544768578,0.0,46,46,47,47,50,51,51,51,51,51,51
GET,get_catalogue3,77,0,4,3.613165501118093,2.4812258780002594,8.728265995159745,1927.0,0.4298067544768578,0.0,3,4,4,4,4,5,5,9,9,9,9
GET,get_category,77,0,2,2.2865586381937777,1.2516668066382408,43.80351700820029,11518.0,0.4298067544768578,0.0,2,2,2,2,2,2,3,44,44,44,44
GET,get_customer,786,0,44,46.021573347129575,43.24591485783458,55.94557896256447,386.0,4.387378039205328,0.0,44,44,48,48,48,52,52,52,56,56,56
GET,get_customer_orders,479,0,2,2.2727006954959514,0.9867369662970304,44.20386906713247,6368.0,2.6737329272001933,0.0,2,2,2,2,3,3,4,5,44,44,44
GET,get_detail,154,0,2,1.915367986922237,1.0173639748245478,44.000108959153295,10364.0,0.8596135089537156,0.0,1,2,2,2,2,2,3,3,44,44,44
GET,get_index,1035,0,2,2.2367404863814224,0.9319731034338474,48.038648907095194,8688.0,5.777272608877245,0.0,2,2,2,2,3,3,4,5,48,48,48
GET,get_item,786,0,45,45.884036656905145,42.62736300006509,52.21857596188784,286.0,4.387378039205328,0.0,44,45,48,48,48,51,52,52,52,52,52
GET,get_orders,555,0,46,46.996834656844534,42.66973887570202,54.08149817958474,2.0,3.0979577757747543,0.0,46,46,48,49,50,51,52,52,54,54,54
GET,get_related,154,0,44,45.787320702106925,43.57344307936728,51.90605786629021,760.0,0.8596135089537156,0.0,44,44,48,48,48,51,52,52,52,52,52
GET,get_tags,77,0,44,44.62986070565976,43.44051517546177,48.308649100363255,107.0,0.4298067544768578,0.0,44,44,44,44,48,48,48,48,48,48,48
GET,login,479,0,48,49.5650054116992,44.43686897866428,60.283917002379894,13.0,2.6737329272001933,0.0,48,48,52,52,52,53,56,57,60,60,60
,Aggregated,8054,0,44,29.895960990115647,0.9319731034338474,60.283917002379894,2434.1560715172586,44.95667013709887,0.0,3,44,48,48,48,51,52,52,56,60,60
