Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,231,0,7,7.35525805220911,4.295064136385918,69.4170449860394,0.0,1.2904060807843984,0.0,6,7,8,8,9,10,11,14,69,69,69
GET,get_address,231,0,44,45.67481850140861,43.425384908914566,52.25381092168391,283.0,1.2904060807843984,0.0,44,44,48,48,48,49,52,52,52,52,52
GET,get_basket,231,0,2,2.6482041134978784,1.0662509594112635,48.01438213326037,23020.0,1.2904060807843984,0.0,1,2,2,2,2,3,44,44,48,48,48
GET,get_card,231,0,44,45.65495186690967,43.02100301720202,52.18974105082452,17.0,1.2904060807843984,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_cart,2481,0,46,46.49253162611328,42.497419053688645,71.99105597101152,339.45505844417573,13.859296478035034,0.0,44,46,48,48,50,51,52,52,60,72,72
GET,get_catalogue1,1192,0,3,3.2332248170469455,1.6743820160627365,9.563507046550512,1643.0,6.658718823787892,0.0,3,3,4,4,4,4,5,6,9,10,10
GET,get_catalogue2,231,0,46,46.78375770749113,42.161233024671674,54.42655994556844,22.0,1.2904060807843984,0.0,46,46,49,50,50,50,52,54,54,54,54
GET,get_catalogue3,231,0,3,3.546328524740421,1.9275338854640722,8.714118972420692,1927.0,1.2904060807843984,0.0,3,3,4,4,4,5,7,8,9,9,9
GET,get_category,231,0,2,1.9953123795763625,0.924442196264863,43.64709206856787,11518.0,1.2904060807843984,0.0,1,2,2,2,2,3,3,3,44,44,44
GET,get_customer,1289,0,44,45.890097618153604,43.20753109641373,56.47555296309292,386.0,7.200577654247142,0.0,44,44,48,48,48,52,52,52,56,56,56
GET,get_customer_orders,365,0,2,1.8782352996760443,0.9816419333219528,43.779315892606974,6368.0,2.0389533311095476,0.0,2,2,2,2,2,3,3,4,44,44,44
GET,get_detail,462,0,2,2.125430998323864,0.9047170169651508,48.095424892380834,10364.0,2.580812161568797,0.0,1,2,2,2,2,3,3,44,48,48,48
GET,get_index,961,0,2,1.840784520193795,0.7900800555944443,43.902422999963164,8688.0,5.368312743003494,0.0,1,2,2,2,2,3,3,5,44,44,44
GET,get_item,1289,0,45,45.78457615512392,41.95184586569667,54.40658307634294,286.0,7.200577654247142,0.0,44,45,48,48,49,50,52,52,54,54,54
GET,get_orders,596,0,46,47.02704284307328,42.643378023058176,58.41023591347039,2.0,3.329359411893946,0.0,46,46,48,48,50,51,52,52,58,58,58
GET,get_related,462,0,44,45.55974387335974,43.376561952754855,52.321420051157475,760.0,2.580812161568797,0.0,44,44,48,48,48,51,52,52,52,52,52
GET,get_tags,231,0,44,45.47189265586339,43.113360181450844,52.01253388077021,107.0,1.2904060807843984,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,login,365,0,48,49.17666071783496,43.96648588590324,55.61108700931072,13.0,2.0389533311095476,0.0,48,48,52,52,52,52,53,55,56,56,56
,Aggregated,11310,0,44,31.28492305338116,0.7900800555944443,71.99105597101152,2476.399557913351,63.179622396846526,0.0,3,44,47,48,48,50,52,52,55,72,72
