Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,231,0,7,6.929378780169469,4.05985489487648,15.24382596835494,0.0,1.2892106676038588,0.0,6,7,8,8,9,9,11,12,15,15,15
GET,get_address,231,0,44,45.868069953506904,43.34766301326454,56.14259885624051,283.0,1.2892106676038588,0.0,44,44,48,48,48,52,52,52,56,56,56
GET,get_basket,231,0,2,2.1259724777353144,0.9406551253050566,43.69956301525235,23020.0,1.2892106676038588,0.0,2,2,2,2,3,3,4,7,44,44,44
GET,get_card,231,0,44,45.89011678290735,43.25206880457699,52.62261186726391,17.0,1.2892106676038588,0.0,44,44,48,48,48,48,52,52,53,53,53
GET,get_cart,2479,0,46,46.50382864630483,42.397144017741084,56.324599077925086,340.4340459862848,13.835295432856995,0.0,44,46,48,48,50,51,52,52,56,56,56
GET,get_catalogue1,1192,0,3,3.44777633314921,1.9050219561904669,9.550245944410563,1643.0,6.6525502847783535,0.0,3,3,4,4,4,5,7,7,10,10,10
GET,get_catalogue2,231,0,46,46.370424599350464,42.255291948094964,54.28983783349395,22.0,1.2892106676038588,0.0,46,46,47,47,50,51,51,52,54,54,54
GET,get_catalogue3,231,0,3,3.729054429145022,2.0782279316335917,11.9227459654212,1927.0,1.2892106676038588,0.0,3,3,4,4,5,5,8,10,12,12,12
GET,get_category,231,0,2,1.9146197483556353,0.9001989383250475,5.010199965909123,11518.0,1.2892106676038588,0.0,2,2,2,2,3,3,3,3,5,5,5
GET,get_customer,1287,0,44,46.19829104048227,43.115766951814294,55.80841191112995,386.0,7.1827451480786415,0.0,44,44,48,48,49,52,52,52,56,56,56
GET,get_customer_orders,364,0,2,2.2735905834821635,1.0693769436329603,44.091321993619204,6368.0,2.0314834762242624,0.0,2,2,2,2,2,3,3,44,44,44,44
GET,get_detail,462,0,2,2.2427770913905136,0.8627339266240597,45.78757402487099,10364.0,2.5784213352077177,0.0,1,2,2,2,3,3,5,44,46,46,46
GET,get_index,961,0,2,2.3940302238728886,0.917806988582015,48.10337396338582,8688.0,5.3633396171744945,0.0,2,2,2,2,3,3,4,44,48,48,48
GET,get_item,1287,0,45,45.75112294919482,41.98606195859611,52.42573097348213,286.0,7.1827451480786415,0.0,44,45,48,48,49,50,51,52,52,52,52
GET,get_orders,593,0,47,47.207014892379085,42.49845398589969,56.160097010433674,2.0,3.3095321467060095,0.0,46,47,48,50,51,52,52,53,56,56,56
GET,get_related,462,0,44,46.02406151215767,43.177007930353284,52.70091816782951,760.0,2.5784213352077177,0.0,44,44,48,48,48,51,52,52,53,53,53
GET,get_tags,231,0,44,45.5385154078904,43.03885507397354,52.464455133304,107.0,1.2892106676038588,0.0,44,44,48,48,48,51,52,52,52,52,52
GET,login,365,0,48,49.01090568212206,43.91884803771973,56.54528317973018,13.0,2.0370644747853177,0.0,48,48,49,52,52,52,56,56,57,57,57
,Aggregated,11300,0,44,31.403936939726098,0.8627339266240597,56.54528317973018,2478.062743362832,63.06528373992902,0.0,3,44,48,48,48,51,52,52,56,56,57
