Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1258,0,12,22.17779020221374,4.248791141435504,112.43840609677136,0.0,7.017149000172643,0.0,9,12,41,46,52,56,62,91,100,110,110
GET,get_address,1255,0,51,53.79832764248924,42.97419311478734,100.07711104117334,283.0,7.000414940553789,0.0,48,51,53,55,62,87,92,93,100,100,100
GET,get_basket,1256,0,4,6.508046098625893,0.9583188220858574,57.78006208129227,23020.0,7.00599296042674,0.0,3,4,6,7,10,15,44,48,52,58,58
GET,get_card,1255,0,50,53.52614150991092,43.40653889812529,136.45453099161386,17.0,7.000414940553789,0.0,48,50,54,56,61,85,92,95,100,140,140
GET,get_cart,14484,0,50,56.85093515539463,42.28770104236901,144.4377729203552,105.46893123446561,80.79203983982556,0.0,47,50,56,75,85,89,93,96,130,140,140
GET,get_catalogue1,6935,0,6,12.919072824931169,1.6660068649798632,94.8170640040189,1643.0,38.68356781891676,0.0,4,6,10,15,43,46,49,51,89,95,95
GET,get_catalogue2,1590,0,49,56.55207298344599,42.21172188408673,134.53528797253966,22.0,8.86905159799245,0.0,47,49,55,79,85,88,91,94,130,130,130
GET,get_catalogue3,1589,0,7,10.849549982355658,2.0881830714643,93.54891814291477,1927.0,8.863473578119498,0.0,5,7,10,12,18,44,49,51,58,94,94
GET,get_category,1590,0,5,7.110283663935678,0.9171729907393456,87.46568416245282,11518.0,8.86905159799245,0.0,3,5,7,8,12,19,44,49,82,87,87
GET,get_customer,7550,0,51,54.32024837308101,42.97766997478902,136.82749401777983,359.67311258278147,42.114050040781756,0.0,48,51,54,56,69,88,92,95,100,140,140
GET,get_customer_orders,1868,0,5,7.005772730126195,0.9929030202329159,84.79463891126215,6368.0,10.41974112267289,0.0,3,5,7,8,11,21,44,48,56,85,85
GET,get_detail,2845,0,4,7.243362067820527,0.8246370125561953,92.60706999339163,10364.0,15.86946653854624,0.0,2,4,6,7,13,39,44,47,78,93,93
GET,get_index,5680,0,4,6.627466952187193,0.813992926850915,86.73170604743063,8688.0,31.683152878362964,0.0,3,4,7,8,11,16,43,46,57,87,87
GET,get_item,7218,0,50,55.69266736677474,42.21624811179936,135.58824197389185,286.0,40.262147442961954,0.0,47,50,55,59,83,88,92,94,130,140,140
GET,get_orders,3120,0,51,57.79665982699953,43.185324873775244,182.1605588775128,2.0,17.403422003607826,0.0,48,51,56,77,86,90,94,97,130,180,180
GET,get_related,2842,0,51,53.080513947289425,42.906109942123294,109.95464003644884,760.0,15.852732478927384,0.0,48,51,53,55,59,84,90,93,100,110,110
GET,get_tags,1589,0,49,53.01216855332199,42.85970306955278,127.51878495328128,107.0,8.863473578119498,0.0,47,49,53,54,60,87,92,95,100,130,130
GET,login,1880,0,56,66.03826005531951,44.73720816895366,142.01624016277492,13.0,10.486677361148306,0.0,52,56,87,88,93,97,100,110,140,140,140
,Aggregated,65804,0,48,39.895236531495186,0.813992926850915,182.1605588775128,2454.1272111117864,367.0560197196825,0.0,8,48,52,53,78,86,91,95,120,140,180
