Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,get_cart,1862,0,46,45.975134681478124,42.174888993031345,74.59249800012913,99.12728249194414,10.393071164211644,0.0,44,46,48,48,49,50,51,52,56,75,75
GET,get_catalogue1,1000,0,3,3.291741929089767,1.9105350074823946,9.81679699907545,1643.0,5.581670872294117,0.0,3,3,4,4,4,4,7,8,10,10,10
GET,get_catalogue2,366,0,46,46.41783317783052,42.24652699485887,54.509816007339396,22.0,2.0428915392596467,0.0,46,46,47,47,50,50,51,51,55,55,55
GET,get_catalogue3,366,0,3,3.5741536613967897,2.09065800299868,10.049704011180438,1927.0,2.0428915392596467,0.0,3,3,4,4,4,5,6,8,10,10,10
GET,get_category,366,0,2,2.7442056918437236,1.0472760041011497,48.14931900182273,11518.0,2.0428915392596467,0.0,2,2,2,2,2,3,44,44,48,48,48
GET,get_customer,862,0,44,45.36670771556901,43.21026100660674,52.69870399206411,130.10208816705335,4.811400291917528,0.0,44,44,48,48,48,48,52,52,53,53,53
GET,get_customer_orders,134,0,2,2.6843337834736247,1.0377709986642003,44.021342997439206,6368.0,0.7479438968874116,0.0,2,2,2,2,2,2,44,44,44,44,44
GET,get_detail,365,0,2,2.3746325889576787,1.0160219972021878,47.97927899926435,10364.0,2.0373098683873527,0.0,2,2,2,2,2,3,3,44,48,48,48
GET,get_index,1000,0,2,2.1482235246658092,0.7882740028435364,47.744319002958946,8688.0,5.581670872294117,0.0,2,2,2,2,2,3,3,6,48,48,48
GET,get_item,499,0,46,46.01226839109651,42.176985007245094,51.989453000715,286.0,2.785253765274764,0.0,44,46,47,47,50,50,51,51,52,52,52
GET,get_orders,134,0,46,46.96229238068744,42.86098999727983,54.5170980039984,2.0,0.7479438968874116,0.0,46,46,47,47,50,51,51,52,55,55,55
GET,get_related,363,0,44,45.36760422599485,43.26320200925693,52.84365999978036,760.0,2.0261465266427643,0.0,44,44,48,48,48,48,52,52,53,53,53
GET,get_tags,366,0,44,45.0332271637089,43.30700098944362,52.41054799989797,107.0,2.0428915392596467,0.0,44,44,47,48,48,48,49,49,52,52,52
GET,login,134,0,48,48.76953625331334,47.06145900127012,56.50532200525049,13.0,0.7479438968874116,0.0,48,48,48,48,52,52,53,56,57,57,57
,Aggregated,7817,0,44,28.0693929653169,0.7882740028435364,74.59249800012913,2642.008826915697,43.63192120872311,0.0,3,44,46,47,48,49,51,52,55,75,75
