Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1137,0,9,11.878563255888595,4.24449700221885,73.15490899782162,0.0,6.343216428479044,0.0,7,9,12,14,20,34,47,55,67,73,73
GET,get_address,1134,0,48,49.92534516949405,42.87060799833853,110.43599799450021,283.0,6.326479709670393,0.0,46,48,52,52,56,63,82,88,110,110,110
GET,get_basket,1135,0,3,4.444176679177596,0.8808089914964512,68.05891600379255,23020.0,6.3320586159399435,0.0,2,3,4,5,7,12,33,44,55,68,68
GET,get_card,1134,0,48,51.00490473343704,42.996681993827224,104.55157200340182,17.0,6.326479709670393,0.0,47,48,52,52,59,76,88,93,100,100,100
GET,get_cart,12916,0,48,50.36513533515914,42.075703997397795,125.92172200675122,421.8182873954785,72.05715337751569,0.0,46,48,51,52,57,75,86,91,110,120,130
GET,get_catalogue1,6199,0,4,7.17975570540539,1.6375980048906058,70.07536500168499,1643.0,34.58363996494424,0.0,3,4,6,7,15,33,44,49,61,70,70
GET,get_catalogue2,1359,0,47,51.25582510227854,41.93841699452605,102.27548200055026,22.0,7.58173362031928,0.0,46,47,51,53,66,81,88,90,98,100,100
GET,get_catalogue3,1358,0,5,7.678108416818835,1.9393080001464114,68.27648601029068,1927.0,7.576154714049729,0.0,3,5,7,9,14,28,45,49,62,68,68
GET,get_category,1359,0,3,7.149691320595971,0.8078039973042905,83.50213000085205,11518.0,7.58173362031928,0.0,2,3,4,5,30,38,45,51,83,84,84
GET,get_customer,6718,0,48,51.33063145975091,42.70118000567891,105.15851400850806,366.3803215242632,37.479092318841005,0.0,46,48,52,52,61,80,88,93,100,110,110
GET,get_customer_orders,1734,0,3,6.341485770595072,0.8323419897351414,58.241851002094336,6368.0,9.673823471400759,0.0,2,3,5,6,12,35,44,48,58,58,58
GET,get_detail,2494,0,2,4.162443839237398,0.841322005726397,77.29752801242284,10364.0,13.913792236259223,0.0,1,2,3,4,6,12,37,47,60,77,77
GET,get_index,5065,0,2,5.273934174716902,0.7547709974460304,83.8262780016521,8688.0,28.257160255273845,0.0,2,2,4,5,10,27,40,46,68,84,84
GET,get_item,6493,0,48,49.77175396030853,41.89698401023634,120.49364999984391,286.0,36.223838408192115,0.0,45,48,50,52,56,69,84,89,100,120,120
GET,get_orders,2866,0,48,51.70456619475121,42.62295599619392,112.89287600084208,2.0,15.98914536853205,0.0,46,48,52,53,61,78,86,91,100,110,110
GET,get_related,2489,0,48,49.830163148210616,42.88398800417781,106.38842999469489,760.0,13.88589770491147,0.0,45,48,52,52,56,64,80,88,100,110,110
GET,get_tags,1358,0,48,50.47655318563136,42.805525998119265,99.59725498629268,107.0,7.576154714049729,0.0,44,48,51,52,57,79,87,92,99,100,100
GET,login,1743,0,52,59.789016212643155,43.85064900270663,112.54810300306417,13.0,9.724033627826715,0.0,48,52,66,76,88,95,100,100,110,110,110
,Aggregated,58691,0,46,35.421056682285965,0.7547709974460304,125.92172200675122,2516.213968070062,327.4315878661949,0.0,5,46,49,51,54,65,84,90,100,120,130
