Timestamp,User Count,Type,Name,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1707164405,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1707164406,4,,Aggregated,0.000000,0.000000,5,46,49,49,52,52,53,53,54,54,54,108,0,46,30.741073925768163,1.709058997221291,53.888288006419316,2917.4814814814813
1707164407,4,,Aggregated,0.000000,0.000000,6,47,48,49,52,52,53,53,54,54,54,150,0,46,33.07423998077866,1.6929399862419814,53.888288006419316,2465.806666666667
1707164408,4,,Aggregated,81.000000,0.000000,4,46,48,48,52,52,52,53,54,54,54,220,0,46,31.070704713982362,1.4278249873314053,53.888288006419316,2595.6454545454544
1707164409,4,,Aggregated,74.000000,0.000000,5,45,48,48,51,52,52,53,54,54,54,288,0,45,32.419250469198836,1.2430510250851512,53.888288006419316,2473.4618055555557
1707164410,4,,Aggregated,61.000000,0.000000,4,45,48,48,49,52,52,52,54,54,54,333,0,45,30.887700867973404,1.2430510250851512,53.888288006419316,2617.7957957957956
1707164411,4,,Aggregated,69.750000,0.000000,4,45,48,48,51,52,52,53,54,54,54,426,0,45,31.888025641187745,1.103326998418197,53.888288006419316,2536.474178403756
1707164412,4,,Aggregated,60.000000,0.000000,4,45,48,48,51,52,52,53,54,54,54,448,0,45,32.17846172810823,1.103326998418197,53.888288006419316,2481.3504464285716
1707164413,4,,Aggregated,66.166667,0.000000,4,45,48,48,50,52,52,52,54,54,54,537,0,45,31.602204787977183,1.103326998418197,53.888288006419316,2596.2588454376164
1707164414,4,,Aggregated,66.166667,0.000000,4,44,48,48,50,52,52,52,54,54,54,588,0,44,31.986328115988503,1.103326998418197,53.888288006419316,2474.154761904762
1707164415,4,,Aggregated,63.375000,0.000000,3,44,48,48,50,52,52,52,54,54,54,658,0,44,31.366203776742953,1.103326998418197,53.888288006419316,2516.665653495441
1707164416,4,,Aggregated,65.333333,0.000000,4,44,48,48,49,52,52,52,54,54,54,736,0,44,31.71071081365169,0.9944640041794628,53.888288006419316,2480.100543478261
1707164417,4,,Aggregated,62.500000,0.000000,3,44,48,48,49,52,52,52,54,54,54,769,0,44,31.251357583671513,0.9944640041794628,53.888288006419316,2514.4629388816643
1707164418,4,,Aggregated,63.400000,0.000000,3,44,48,48,49,52,52,52,54,54,54,865,0,44,31.525021901379766,0.9944640041794628,53.888288006419316,2503.435838150289
1707164419,4,,Aggregated,59.000000,0.000000,3,44,48,48,49,52,52,52,54,54,54,888,0,44,31.68266352217829,0.9944640041794628,53.888288006419316,2474.3795045045044
1707164420,4,,Aggregated,65.500000,0.000000,3,44,48,48,49,52,52,52,54,54,54,986,0,44,31.36228642149679,0.9944640041794628,53.888288006419316,2542.8042596348882
1707164421,4,,Aggregated,65.500000,0.000000,3,44,48,48,49,52,52,52,54,54,54,1026,0,44,31.661339253949667,0.9944640041794628,53.888288006419316,2475.3752436647173
1707164422,4,,Aggregated,64.600000,0.000000,3,44,48,48,49,52,52,52,54,54,54,1096,0,44,31.3362070587606,0.9216440084856004,53.888288006419316,2500.8193430656934
1707164423,4,,Aggregated,62.900000,0.000000,3,44,48,48,49,51,52,52,54,54,54,1176,0,44,31.58570666799241,0.9216440084856004,53.888288006419316,2475.3044217687075
1707164424,4,,Aggregated,62.700000,0.000000,3,44,48,48,49,51,52,52,54,54,54,1213,0,44,31.276399040036516,0.9216440084856004,53.888288006419316,2502.3000824402307
1707164425,4,,Aggregated,65.500000,0.000000,3,44,48,48,49,51,52,52,54,54,54,1305,0,44,31.437133434803986,0.9216440084856004,53.888288006419316,2490.993103448276
1707164426,4,,Aggregated,65.500000,0.000000,3,44,48,48,49,51,52,52,54,54,54,1326,0,44,31.504012597628222,0.9216440084856004,53.888288006419316,2475.2496229260937
1707164427,4,,Aggregated,65.200000,0.000000,3,44,48,48,49,51,52,52,54,60,60,1428,0,44,31.306468225077722,0.9216440084856004,59.83692899462767,2517.3214285714284
1707164428,4,,Aggregated,61.100000,0.000000,3,44,48,48,49,51,52,52,54,60,60,1473,0,44,31.493621952063545,0.9216440084856004,59.83692899462767,2479.5600814663953
1707164429,4,,Aggregated,65.400000,0.000000,3,44,48,48,49,51,52,52,54,60,60,1537,0,44,31.281437436100543,0.9216440084856004,59.83692899462767,2496.391672088484
1707164430,4,,Aggregated,62.600000,0.000000,3,44,48,48,49,51,52,52,54,60,60,1614,0,44,31.538574518213196,0.9216440084856004,59.83692899462767,2475.7682775712515
1707164431,4,,Aggregated,61.400000,0.000000,3,44,48,48,49,51,52,52,54,60,60,1656,0,44,31.27339756850053,0.9216440084856004,59.83692899462767,2494.9064009661834
1707164432,4,,Aggregated,65.300000,0.000000,3,44,48,48,49,51,52,52,54,60,60,1750,0,44,31.379275379586034,0.9216440084856004,59.83692899462767,2493.370857142857
1707164433,4,,Aggregated,65.300000,0.000000,3,44,48,48,49,51,52,52,54,60,60,1764,0,44,31.499427902667207,0.9216440084856004,59.83692899462767,2475.687641723356
1707164434,4,,Aggregated,64.700000,0.000000,3,44,48,48,49,51,52,52,56,60,60,1865,0,44,31.350691892873325,0.9216440084856004,59.83692899462767,2509.0225201072385
1707164435,4,,Aggregated,60.200000,0.000000,3,44,48,48,49,51,52,52,56,60,60,1914,0,44,31.497077567526212,0.9216440084856004,59.83692899462767,2475.619644723093
1707164436,4,,Aggregated,65.500000,0.000000,3,44,48,48,49,51,52,52,56,60,60,1982,0,44,31.25476330794137,0.9216440084856004,59.83692899462767,2497.08526740666
1707164437,4,,Aggregated,63.100000,0.000000,3,44,48,48,48,51,52,52,55,60,60,2052,0,44,31.4731692652506,0.9216440084856004,59.83692899462767,2476.034113060429
1707164438,4,,Aggregated,60.800000,0.000000,3,44,48,48,48,51,52,52,55,60,60,2091,0,44,31.316607795428688,0.9216440084856004,59.83692899462767,2489.63462458154
1707164439,4,,Aggregated,64.500000,0.000000,3,44,48,48,48,51,52,52,55,60,60,2192,0,44,31.41217030756408,0.9216440084856004,59.83692899462767,2483.286040145985
1707164440,4,,Aggregated,60.000000,0.000000,3,44,48,48,48,51,52,52,55,60,60,2206,0,44,31.439898768862065,0.9216440084856004,59.83692899462767,2476.305077062557
1707164441,4,,Aggregated,65.400000,0.000000,3,44,48,48,48,51,52,52,55,60,60,2305,0,44,31.326095634804222,0.9216440084856004,59.83692899462767,2501.0347071583515
1707164442,4,,Aggregated,65.400000,0.000000,3,44,48,48,48,51,52,52,55,60,60,2352,0,44,31.429016879357523,0.9216440084856004,59.83692899462767,2475.8792517006805
1707164443,4,,Aggregated,65.300000,0.000000,3,44,47,48,48,51,52,52,55,60,60,2427,0,44,31.270392133171185,0.9216440084856004,59.83692899462767,2487.095591264936
1707164444,4,,Aggregated,64.000000,0.000000,3,44,48,48,48,51,52,52,55,60,60,2493,0,44,31.402337911065835,0.9216440084856004,59.83692899462767,2477.507019655034
1707164445,4,,Aggregated,61.700000,0.000000,3,44,48,48,48,51,52,52,55,60,60,2536,0,44,31.24727149498491,0.9216440084856004,59.83692899462767,2490.268533123028
1707164446,4,,Aggregated,64.700000,0.000000,3,44,48,48,48,51,52,52,55,60,60,2632,0,44,31.370777748537527,0.9216440084856004,59.83692899462767,2482.7754559270516
1707164447,4,,Aggregated,59.400000,0.000000,3,44,48,48,48,51,52,52,55,60,60,2652,0,44,31.398673814917274,0.9216440084856004,59.83692899462767,2475.7594268476623
1707164448,4,,Aggregated,66.900000,0.000000,3,44,47,48,48,51,52,52,55,60,60,2746,0,44,31.274895097596403,0.9216440084856004,59.83692899462767,2498.2392571012383
1707164449,4,,Aggregated,66.900000,0.000000,3,44,47,48,48,50,52,52,55,60,60,2790,0,44,31.37441829321981,0.9216440084856004,59.83692899462767,2476.0573476702507
1707164450,4,,Aggregated,64.800000,0.000000,3,44,47,48,48,50,52,52,55,60,60,2866,0,44,31.24699109351184,0.9032549860421568,59.83692899462767,2484.9521981856246
1707164451,4,,Aggregated,63.700000,0.000000,3,44,47,48,48,50,52,52,55,60,60,2940,0,44,31.351776729244026,0.9032549860421568,59.83692899462767,2475.994217687075
1707164452,4,,Aggregated,62.600000,0.000000,3,44,47,48,48,50,52,52,55,60,60,2979,0,44,31.210258375922,0.9032549860421568,59.83692899462767,2487.8435716683452
1707164453,4,,Aggregated,64.700000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3072,0,44,31.326109542931135,0.9032549860421568,59.83692899462767,2480.5413411458335
1707164454,4,,Aggregated,58.800000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3092,0,44,31.325927782623204,0.9032549860421568,59.83692899462767,2477.6769081500647
1707164455,4,,Aggregated,66.100000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3196,0,44,31.255161954583272,0.9032549860421568,59.83692899462767,2492.328848560701
1707164456,4,,Aggregated,66.100000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3228,0,44,31.365041644317852,0.9032549860421568,59.83692899462767,2476.187112763321
1707164457,4,,Aggregated,65.000000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3307,0,44,31.244537825539165,0.9032549860421568,59.83692899462767,2484.8971877834897
1707164458,4,,Aggregated,62.500000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3378,0,44,31.356569139767355,0.9032549860421568,59.83692899462767,2476.12640615749
1707164459,4,,Aggregated,63.000000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3424,0,44,31.244099275137952,0.9032549860421568,59.83692899462767,2486.558411214953
1707164460,4,,Aggregated,65.300000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3509,0,44,31.354263504164493,0.9032549860421568,59.83692899462767,2480.711028783129
1707164461,4,,Aggregated,58.800000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3530,0,44,31.359979828330555,0.9032549860421568,59.83692899462767,2477.5946175637396
1707164462,4,,Aggregated,65.200000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3631,0,44,31.305381637544638,0.9032549860421568,59.83692899462767,2491.9016799779674
1707164463,4,,Aggregated,60.800000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3676,0,44,31.36806930168789,0.9032549860421568,59.83692899462767,2477.1841675734495
1707164464,4,,Aggregated,65.500000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3741,0,44,31.288206526873058,0.9032549860421568,59.83692899462767,2483.554397219995
1707164465,4,,Aggregated,62.400000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3816,0,44,31.362547848311234,0.9032549860421568,59.83692899462767,2476.228249475891
1707164466,4,,Aggregated,61.000000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3863,0,44,31.25263454752587,0.9032549860421568,59.83692899462767,2484.9065493140047
1707164467,4,,Aggregated,65.200000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3955,0,44,31.338587409861425,0.9032549860421568,59.83692899462767,2480.7691529709227
1707164468,4,,Aggregated,59.600000,0.000000,3,44,47,48,48,50,52,52,54,60,60,3968,0,44,31.34990212044848,0.9032549860421568,59.83692899462767,2477.5304939516127
1707164469,4,,Aggregated,64.500000,0.000000,3,44,47,48,48,50,52,52,54,60,60,4070,0,44,31.287917515446882,0.8826229895930737,59.83692899462767,2489.7707616707617
1707164470,4,,Aggregated,60.100000,0.000000,3,44,47,48,48,50,52,52,54,60,60,4116,0,44,31.357433412234123,0.8826229895930737,59.83692899462767,2476.1256073858117
1707164471,4,,Aggregated,65.800000,0.000000,3,44,47,48,48,50,52,52,54,60,60,4189,0,44,31.26513196678339,0.8826229895930737,59.83692899462767,2483.6414418715685
1707164472,4,,Aggregated,63.200000,0.000000,3,44,48,48,48,50,52,52,54,60,60,4254,0,44,31.369125241403367,0.8826229895930737,59.83692899462767,2476.3091208274564
1707164473,4,,Aggregated,61.100000,0.000000,3,44,47,48,48,50,52,52,54,60,60,4298,0,44,31.278376729839636,0.8826229895930737,59.83692899462767,2483.3538855281527
1707164474,4,,Aggregated,64.300000,0.000000,3,44,48,48,48,50,52,52,54,60,60,4394,0,44,31.354455271018114,0.8826229895930737,59.83692899462767,2479.918070095585
1707164475,4,,Aggregated,60.000000,0.000000,3,44,48,48,48,50,52,52,54,60,60,4415,0,44,31.34637771411361,0.8826229895930737,59.83692899462767,2478.7084937712343
1707164476,4,,Aggregated,66.000000,0.000000,3,44,47,48,48,50,52,52,54,60,60,4506,0,44,31.31470531088534,0.8826229895930737,59.83692899462767,2484.3584110075453
1707164477,4,,Aggregated,60.000000,0.000000,3,44,47,48,48,50,52,52,54,60,60,4554,0,44,31.35566909086037,0.8826229895930737,59.83692899462767,2476.2110232762407
1707164478,4,,Aggregated,64.700000,0.000000,3,44,47,48,48,50,52,52,54,60,60,4629,0,44,31.2714335028686,0.8826229895930737,59.83692899462767,2482.098077338518
