Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,get_cart,1851,0,45,45.72738510873375,42.48697400907986,56.05285399360582,74.67639113992436,10.340598816272738,0.0,44,45,47,48,48,50,51,52,55,56,56
GET,get_catalogue1,992,0,3,3.1134092530391495,2.0136950042797253,9.712097002193332,1643.0,5.54180120245411,0.0,3,3,3,3,4,4,4,6,10,10,10
GET,get_catalogue2,363,0,46,46.40834798619309,42.34399300185032,52.93928900209721,22.0,2.0278970125915743,0.0,46,46,47,47,50,50,50,51,53,53,53
GET,get_catalogue3,363,0,3,3.3701608318594327,2.0738550083478913,7.453893005731516,1927.0,2.0278970125915743,0.0,3,3,4,4,4,4,4,6,7,7,7
GET,get_category,363,0,2,1.6841163387978784,0.8348819974344224,6.971893992158584,11518.0,2.0278970125915743,0.0,1,2,2,2,2,2,2,3,7,7,7
GET,get_customer,859,0,44,45.06929512397585,43.22358100034762,52.18261601112317,129.9138533178114,4.798797613818629,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_customer_orders,133,0,2,1.98417906796024,1.0958479979308322,43.90830399643164,6368.0,0.7430035886354804,0.0,1,2,2,2,2,2,3,3,44,44,44
GET,get_detail,363,0,2,2.309534030338844,1.0542670061113313,47.86537800100632,10364.0,2.0278970125915743,0.0,2,2,2,2,2,2,3,44,48,48,48
GET,get_index,992,0,2,1.8012945965746174,0.8758629992371425,47.94535000110045,8688.0,5.54180120245411,0.0,2,2,2,2,2,2,2,3,48,48,48
GET,get_item,496,0,46,46.19851712299527,42.05439500219654,52.50778699701186,286.0,2.770900601227055,0.0,45,46,47,47,50,50,51,51,53,53,53
GET,get_orders,133,0,46,47.216914503907795,45.22688798897434,54.29201200604439,2.0,0.7430035886354804,0.0,46,46,47,50,50,51,51,53,54,54,54
GET,get_related,363,0,44,45.07748330851886,43.512132004252635,52.49402500339784,760.0,2.0278970125915743,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_tags,363,0,44,44.892565663668236,43.15854699234478,52.44412200408988,107.0,2.0278970125915743,0.0,44,44,44,48,48,48,48,49,52,52,52
GET,login,133,0,48,48.93001030132269,47.367967999889515,55.88814400834963,13.0,0.7430035886354804,0.0,48,48,48,52,52,52,56,56,56,56,56
,Aggregated,7767,0,44,27.858326694550264,0.8348819974344224,56.05285399360582,2633.493369383288,43.390292277682526,0.0,3,44,46,46,48,48,50,52,53,56,56
