Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,231,0,7,7.064189242543773,4.533669998636469,14.616612999816425,0.0,1.2900717128708823,0.0,6,7,8,8,9,9,10,12,15,15,15
GET,get_address,231,0,44,45.62609929057721,43.07000899279956,52.165158005664125,283.0,1.2900717128708823,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,get_basket,231,0,2,1.9110268185613677,1.0003100032918155,6.816000008257106,23020.0,1.2900717128708823,0.0,2,2,2,2,3,3,3,4,7,7,7
GET,get_card,231,0,44,45.99334765414635,43.216847989242524,52.4704749986995,17.0,1.2900717128708823,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,get_cart,2481,0,46,46.4102454146639,42.373416988993995,59.89884900918696,339.45505844417573,13.85570527979506,0.0,44,46,48,48,49,51,52,52,56,60,60
GET,get_catalogue1,1192,0,3,3.3439002002481195,1.7920929967658594,10.80410998838488,1643.0,6.6569934274549425,0.0,3,3,4,4,4,5,6,7,10,11,11
GET,get_catalogue2,231,0,46,46.29798812958769,42.081496998434886,50.86579199996777,22.0,1.2900717128708823,0.0,45,46,47,47,50,50,51,51,51,51,51
GET,get_catalogue3,231,0,4,3.7623197841281635,2.081913989968598,9.417868001037277,1927.0,1.2900717128708823,0.0,3,4,4,4,5,6,7,8,9,9,9
GET,get_category,231,0,2,2.4771569133559805,0.9641950018703938,47.95407300116494,11518.0,1.2900717128708823,0.0,2,2,2,2,3,3,4,43,48,48,48
GET,get_customer,1289,0,44,45.828920702090166,43.10283801169135,52.77665400353726,386.0,7.198711852340118,0.0,44,44,48,48,48,51,52,52,53,53,53
GET,get_customer_orders,365,0,2,2.353229005749286,0.9736419888213277,47.47769099776633,6368.0,2.0384250008565887,0.0,1,2,2,2,2,3,3,44,47,47,47
GET,get_detail,462,0,2,1.9772767774822206,0.8810399885987863,51.64459899242502,10364.0,2.5801434257417646,0.0,1,2,2,2,2,3,3,5,52,52,52
GET,get_index,961,0,2,2.051034906654232,0.8870929887052625,51.93246899580117,8688.0,5.36692171458406,0.0,2,2,2,2,2,3,3,5,52,52,52
GET,get_item,1289,0,45,45.7128491438144,41.90392298914958,55.044050997821614,286.0,7.198711852340118,0.0,44,45,48,48,49,50,51,51,54,55,55
GET,get_orders,596,0,47,47.083276192933646,42.61847599991597,56.331863001105376,2.0,3.3284967137274712,0.0,46,47,48,49,50,51,52,52,56,56,56
GET,get_related,462,0,44,46.02532722719253,43.14723900461104,52.41129299975,760.0,2.5801434257417646,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,get_tags,231,0,44,45.44834829837908,43.20674100017641,52.27585000102408,107.0,1.2900717128708823,0.0,44,44,48,48,48,48,51,51,52,52,52
GET,login,365,0,48,49.029992802598045,44.324025002424605,56.36291600239929,13.0,2.0384250008565887,0.0,48,48,51,52,52,52,53,53,56,56,56
,Aggregated,11310,0,44,31.29654601208339,0.8810399885987863,59.89884900918696,2476.399557913351,63.163251396405535,0.0,3,44,47,48,48,50,52,52,54,56,60
