Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,154,0,7,7.02127596165368,4.540266003459692,13.376617018366233,0.0,0.8594983693873266,0.0,6,7,8,8,8,9,12,13,13,13,13
GET,get_address,154,0,44,45.28641199856368,43.60890598036349,53.23381000198424,283.0,0.8594983693873266,0.0,44,44,48,48,48,48,52,52,53,53,53
GET,get_basket,154,0,2,2.910540336758116,1.0874529834836721,44.10442098742351,23020.0,0.8594983693873266,0.0,2,2,2,2,2,3,44,44,44,44,44
GET,get_card,154,0,44,45.359100208144525,43.61037700437009,51.8805309839081,17.0,0.8594983693873266,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_cart,4275,0,46,46.23880937958289,42.18928501359187,62.60083400411531,301.98526315789474,23.859451487862476,0.0,44,46,48,48,50,51,52,52,55,63,63
GET,get_catalogue1,2462,0,3,3.0927360839449523,1.791257003787905,11.12913599354215,1643.0,13.740811593711676,0.0,3,3,3,3,4,4,5,6,9,11,11
GET,get_catalogue2,275,0,46,46.487374904946506,42.297137988498434,51.093201007461175,22.0,1.5348185167630832,0.0,46,46,47,49,50,50,51,51,51,51,51
GET,get_catalogue3,275,0,3,3.3245288678021594,1.9308940100017935,9.322859987150878,1927.0,1.5348185167630832,0.0,3,3,4,4,4,4,5,6,9,9,9
GET,get_category,275,0,2,2.331974690949375,0.9245509863831103,44.058870000299066,11518.0,1.5348185167630832,0.0,1,2,2,2,2,3,4,44,44,44,44
GET,get_customer,1813,0,44,45.51124771477044,42.76655300054699,52.96557300607674,345.5554329840044,10.1186398941508,0.0,44,44,48,48,48,49,52,52,53,53,53
GET,get_customer_orders,955,0,2,2.2916988526953688,0.8645300113130361,48.01812901860103,6368.0,5.33000612184998,0.0,1,2,2,2,2,3,4,44,48,48,48
GET,get_detail,429,0,2,2.2391238610617306,0.9040980075951666,48.8429429824464,10364.0,2.39431688615041,0.0,1,2,2,2,2,3,4,44,49,49,49
GET,get_index,2308,0,2,2.0086519131554974,0.8384629909414798,48.00114801037125,8688.0,12.88131322432435,0.0,1,2,2,2,2,3,4,5,48,48,48
GET,get_item,1692,0,44,45.50682779058693,42.17159899417311,52.82688801526092,286.0,9.443319746775042,0.0,44,44,48,48,48,49,51,52,53,53,53
GET,get_orders,1108,0,47,47.18922721722692,42.48055099742487,58.382456976687536,2.0,6.183923332994532,0.0,46,47,49,50,51,51,52,53,58,58,58
GET,get_related,429,0,44,45.36195577409646,43.06039199582301,52.3517880064901,760.0,2.39431688615041,0.0,44,44,48,48,48,49,52,52,52,52,52
GET,get_tags,275,0,44,44.91336611671034,43.03945100400597,51.89884398714639,107.0,1.5348185167630832,0.0,44,44,45,48,48,48,48,52,52,52,52
GET,login,956,0,48,49.33197539217286,43.899698997847736,60.189047013409436,13.0,5.335587280092755,0.0,48,48,52,52,52,52,53,56,60,60,60
,Aggregated,18143,0,44,29.41447160498906,0.8384629909414798,62.60083400411531,2463.2514468390013,101.25895399866407,0.0,3,44,47,48,48,50,52,52,55,60,63
