Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,462,0,7,6.931377164891002,4.385562002426013,36.267941002734005,0.0,2.5785455597377163,0.0,6,7,7,8,8,9,11,12,36,36,36
GET,get_address,460,0,44,45.899140024646286,43.1505510059651,56.104031013092026,283.0,2.567383024847077,0.0,44,44,48,48,48,49,52,52,56,56,56
GET,get_basket,460,0,2,2.3522840213643024,0.9177740139421076,47.92111899587326,23020.0,2.567383024847077,0.0,1,2,2,2,3,3,5,43,48,48,48
GET,get_card,460,0,44,45.872759434354045,43.1685829826165,56.200580002041534,17.0,2.567383024847077,0.0,44,44,48,48,48,49,52,52,56,56,56
GET,get_cart,5435,0,46,46.36729470414102,42.23079900839366,57.47694498859346,310.31223551057957,30.334188565312747,0.0,44,46,48,48,50,51,52,52,56,57,57
GET,get_catalogue1,2622,0,3,3.125398945298048,1.7572270007804036,38.1492970045656,1643.0,14.634083241628339,0.0,3,3,3,3,4,4,6,7,12,38,38
GET,get_catalogue2,583,0,46,46.59590049029574,41.89883900107816,53.08605500613339,22.0,3.253878920621404,0.0,46,46,48,50,50,51,51,51,53,53,53
GET,get_catalogue3,583,0,3,3.425045277734445,1.8930000078398734,26.29467099905014,1927.0,3.253878920621404,0.0,3,3,4,4,4,5,7,8,26,26,26
GET,get_category,583,0,2,2.591683632803212,0.7745980110485107,48.056389001430944,11518.0,3.253878920621404,0.0,1,2,2,2,2,3,7,44,48,48,48
GET,get_customer,2812,0,44,45.819386247823104,42.79405600391328,75.78948201262392,359.92389758179235,15.694524056239088,0.0,44,44,48,48,48,51,52,52,68,76,76
GET,get_customer_orders,726,0,2,2.0092747206434085,0.8828130085021257,44.154303992399946,6368.0,4.052000165302125,0.0,1,2,2,2,2,3,3,4,44,44,44
GET,get_detail,1045,0,2,2.1863752653271975,0.895197008503601,47.98325800220482,10364.0,5.83242448035912,0.0,1,2,2,2,2,3,4,43,48,48,48
GET,get_index,2162,0,2,2.1557771802517376,0.8745329978410155,49.118697992525995,8688.0,12.066700216781262,0.0,1,2,2,2,2,3,4,8,48,49,49
GET,get_item,2688,0,45,45.93947698880844,41.473584016785026,72.29304002248682,286.0,15.00244689301944,0.0,44,45,48,48,49,50,51,52,57,72,72
GET,get_orders,1184,0,47,47.05911833099054,42.611418990418315,55.962059006560594,2.0,6.608220655258563,0.0,46,47,48,49,50,51,52,52,55,56,56
GET,get_related,1043,0,44,45.77964005255933,43.14613901078701,56.00491998484358,760.0,5.821261945468481,0.0,44,44,48,48,48,49,52,52,53,56,56
GET,get_tags,583,0,44,45.40075230067532,42.87430498516187,56.38802400790155,107.0,3.253878920621404,0.0,44,44,48,48,48,49,51,52,56,56,56
GET,login,729,0,48,49.36296929296621,43.92458399524912,84.08530501765199,13.0,4.068743967638085,0.0,48,48,52,52,52,52,53,56,84,84,84
,Aggregated,24620,0,44,31.032808463279583,0.7745980110485107,84.08530501765199,2496.252558895207,137.4108045037718,0.0,3,44,47,48,48,50,52,52,56,72,84
