Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,77,0,7,7.42030862337825,5.607813014648855,11.275319964624941,0.0,0.4298347768557208,0.0,7,7,8,8,9,10,10,11,11,11,11
GET,get_address,77,0,44,46.039506374985315,43.74319297494367,56.034199020359665,283.0,0.4298347768557208,0.0,44,44,48,48,48,49,52,56,56,56,56
GET,get_basket,77,0,2,2.283412571573122,1.245844003278762,42.80874703545123,23020.0,0.4298347768557208,0.0,2,2,2,2,2,2,3,43,43,43,43
GET,get_card,77,0,44,46.134014923107365,43.303111975546926,52.00635502114892,17.0,0.4298347768557208,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,get_cart,1899,0,47,46.75526458243685,42.13993303710595,57.64597799861804,451.0521327014218,10.600730405831348,0.0,45,47,48,48,50,51,52,52,57,58,58
GET,get_catalogue1,1112,0,3,3.5088800019274715,1.9102770020253956,9.242439002264291,1643.0,6.207484050176124,0.0,3,3,4,4,4,5,7,8,9,9,9
GET,get_catalogue2,77,0,46,46.586850567345884,42.58568800287321,50.6700009573251,22.0,0.4298347768557208,0.0,46,46,47,47,50,50,50,51,51,51,51
GET,get_catalogue3,77,0,4,3.5085283256099595,2.4022189900279045,4.855989012867212,1927.0,0.4298347768557208,0.0,3,4,4,4,4,4,5,5,5,5,5
GET,get_category,77,0,2,3.9442818552896672,1.1079669930040836,44.03329698834568,11518.0,0.4298347768557208,0.0,2,2,2,2,2,44,44,44,44,44,44
GET,get_customer,787,0,44,46.04299973653277,43.015659030061215,56.023632001597434,386.0,4.393246355655225,0.0,44,44,48,48,48,49,52,52,56,56,56
GET,get_customer_orders,479,0,2,2.3822690050860396,0.8976390236057341,48.018417961429805,6368.0,2.673907248232341,0.0,2,2,2,2,3,3,5,6,48,48,48
GET,get_detail,154,0,2,1.9461866173373124,0.8625580230727792,45.15615804120898,10364.0,0.8596695537114416,0.0,1,2,2,2,2,2,3,4,45,45,45
GET,get_index,1035,0,2,2.0836527042590296,0.8373170276172459,43.94460603361949,8688.0,5.777649273320403,0.0,2,2,2,2,3,3,4,5,44,44,44
GET,get_item,786,0,44,45.58821892100398,42.459527030587196,56.041058036498725,286.0,4.3876640858259295,0.0,44,44,48,48,48,49,52,52,56,56,56
GET,get_orders,556,0,46,46.87258434595403,42.58874402148649,57.05167097039521,2.0,3.103742025088062,0.0,46,46,48,48,50,50,52,53,57,57,57
GET,get_related,154,0,44,45.546484771698665,43.68072596844286,52.05802997807041,760.0,0.8596695537114416,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_tags,77,0,44,44.5363328976605,43.340432981494814,48.09081903658807,107.0,0.4298347768557208,0.0,44,44,44,44,48,48,48,48,48,48,48
GET,login,479,0,48,49.480212644804155,43.909015017561615,56.633953005075455,13.0,2.673907248232341,0.0,48,48,52,52,52,53,56,56,57,57,57
,Aggregated,8057,0,44,29.858128286076454,0.8373170276172459,57.64597799861804,2459.447312895619,44.976348014630425,0.0,3,44,48,48,48,51,52,52,56,58,58
