Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,77,0,7,7.654561623386652,4.2526599718257785,15.029579983092844,0.0,0.4298322385768488,0.0,7,7,8,8,9,10,11,15,15,15,15
GET,get_address,77,0,48,46.42199670031135,43.68037200765684,52.14069498470053,283.0,0.4298322385768488,0.0,44,48,48,48,49,52,52,52,52,52,52
GET,get_basket,77,0,2,2.296450124545531,0.8983160369098186,43.83385804248974,23020.0,0.4298322385768488,0.0,2,2,2,2,2,2,3,44,44,44,44
GET,get_card,77,0,48,46.29135126090766,43.67410397389904,52.09695000667125,17.0,0.4298322385768488,0.0,44,48,48,48,48,52,52,52,52,52,52
GET,get_cart,1898,0,46,46.66933085315775,42.496259964536875,60.007568972650915,339.28767123287673,10.595085569076092,0.0,44,46,48,48,50,52,52,52,60,60,60
GET,get_catalogue1,1112,0,3,3.506030434005133,2.0062350085936487,11.843052983749658,1643.0,6.207447393473453,0.0,3,3,4,4,4,5,6,8,12,12,12
GET,get_catalogue2,77,0,46,46.734282387837816,42.81008901307359,52.11094202240929,22.0,0.4298322385768488,0.0,46,46,47,47,50,50,50,52,52,52,52
GET,get_catalogue3,77,0,4,3.7511522978447474,2.577773993834853,9.010150039102882,1927.0,0.4298322385768488,0.0,3,4,4,4,4,4,9,9,9,9,9
GET,get_category,77,0,2,2.2723479498806713,1.0353709803894162,43.82151598110795,11518.0,0.4298322385768488,0.0,2,2,2,2,2,2,2,44,44,44,44
GET,get_customer,786,0,44,46.156773211641244,43.20667200954631,53.79834497580305,386.0,4.387638175602638,0.0,44,44,48,48,48,52,52,52,54,54,54
GET,get_customer_orders,479,0,2,2.108610489858715,1.0006310185417533,43.888062005862594,6368.0,2.673891458159878,0.0,2,2,2,2,3,3,3,4,44,44,44
GET,get_detail,154,0,2,2.20213818905101,1.0284470045007765,44.46179000660777,10364.0,0.8596644771536976,0.0,1,2,2,2,2,2,4,44,44,44,44
GET,get_index,1035,0,2,2.2083385286803225,0.9073240216821432,48.06592100067064,8688.0,5.777615154896604,0.0,2,2,2,2,3,3,4,6,44,48,48
GET,get_item,786,0,44,45.67227749494331,42.41530102444813,52.41357703926042,286.0,4.387638175602638,0.0,44,44,48,48,48,51,52,52,52,52,52
GET,get_orders,556,0,46,47.21653233242486,43.12967899022624,58.289284992497414,2.0,3.1037236967367265,0.0,46,46,48,50,50,51,52,54,58,58,58
GET,get_related,154,0,44,45.91154921180024,43.70288900099695,52.11771198082715,760.0,0.8596644771536976,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,get_tags,77,0,44,44.61028537328972,43.65361901000142,48.04841597797349,107.0,0.4298322385768488,0.0,44,44,44,44,48,48,48,48,48,48,48
GET,login,479,0,48,49.121368136514555,43.988590012304485,60.456415987573564,13.0,2.673891458159878,0.0,48,48,52,52,52,52,55,56,60,60,60
,Aggregated,8055,0,44,29.862683621023606,0.8983160369098186,60.456415987573564,2433.618994413408,44.964917944630095,0.0,3,44,48,48,48,51,52,52,58,60,60
