Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,77,0,7,7.380431545172613,4.971557995304465,10.27121499646455,0.0,0.429866022395041,0.0,7,7,8,8,9,10,10,10,10,10,10
GET,get_address,77,0,44,45.759539260504795,43.176278995815665,52.104478992987424,283.0,0.429866022395041,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_basket,77,0,2,3.404191803253655,1.1806850088760257,44.0918100066483,23020.0,0.429866022395041,0.0,2,2,2,2,2,3,44,44,44,44,44
GET,get_card,77,0,44,45.921762067939504,43.10538701247424,51.88715300755575,17.0,0.429866022395041,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,get_cart,1899,0,47,46.67594385497162,42.398110032081604,58.7722510099411,340.2859399684044,10.601500993872504,0.0,44,47,48,48,50,51,52,52,59,59,59
GET,get_catalogue1,1112,0,3,3.534569284259325,1.828635053243488,10.196245973929763,1643.0,6.207935284458254,0.0,3,3,4,4,4,5,7,8,10,10,10
GET,get_catalogue2,77,0,46,46.67807731311768,42.57986100856215,50.73027894832194,22.0,0.429866022395041,0.0,46,46,47,47,50,50,51,51,51,51,51
GET,get_catalogue3,77,0,4,3.741955454158899,2.4855529773049057,7.9004269791767,1927.0,0.429866022395041,0.0,3,4,4,4,4,5,6,8,8,8,8
GET,get_category,77,0,2,2.3923956633351935,1.1101310374215245,43.987401004415005,11518.0,0.429866022395041,0.0,2,2,2,2,2,2,6,44,44,44,44
GET,get_customer,787,0,44,46.05464352350422,43.276429001707584,56.18112802039832,386.0,4.393565709414251,0.0,44,44,48,48,48,52,52,52,56,56,56
GET,get_customer_orders,479,0,2,2.1969883150755503,0.8861009846441448,47.662299999501556,6368.0,2.674101619834086,0.0,2,2,2,2,3,3,4,6,48,48,48
GET,get_detail,154,0,2,1.8982024460444349,0.983159989118576,43.942681979388,10364.0,0.859732044790082,0.0,1,2,2,2,2,2,2,5,44,44,44
GET,get_index,1035,0,2,2.3705762395396794,0.9265950066037476,48.00778900971636,8688.0,5.778069262063213,0.0,2,2,2,2,3,3,5,9,45,48,48
GET,get_item,786,0,44,45.55769088638368,42.36582003068179,53.950145025737584,286.0,4.38798303379873,0.0,44,44,48,48,48,49,51,52,54,54,54
GET,get_orders,556,0,46,47.25325455459458,42.37122501945123,61.21832097414881,2.0,3.103967642229127,0.0,46,46,48,50,50,51,52,53,61,61,61
GET,get_related,154,0,44,45.078191826461705,43.54107502149418,52.10168496705592,760.0,0.859732044790082,0.0,44,44,48,48,48,48,48,52,52,52,52
GET,get_tags,77,0,44,44.90037933793282,43.44914003740996,48.64298098254949,107.0,0.429866022395041,0.0,44,44,44,48,48,48,48,49,49,49,49
GET,login,479,0,48,49.04073893176664,44.3474969943054,56.74065800849348,13.0,2.674101619834086,0.0,48,48,51,52,52,52,53,56,57,57,57
,Aggregated,8057,0,44,29.854631044081092,0.8861009846441448,61.21832097414881,2433.340201067395,44.979617434244744,0.0,3,44,48,48,48,51,52,52,56,61,61
