Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,154,0,7,7.161812363918145,4.58285299828276,13.747282035183161,0.0,0.8596140809538511,0.0,6,7,8,8,9,11,12,13,14,14,14
GET,get_address,153,0,44,45.77332188290075,43.32462896127254,51.98415502673015,283.0,0.8540321713372676,0.0,44,44,48,48,48,51,52,52,52,52,52
GET,get_basket,154,0,2,2.1017696077227837,0.9653719607740641,47.90147900348529,23020.0,0.8596140809538511,0.0,2,2,2,2,2,2,3,7,48,48,48
GET,get_card,153,0,44,45.98907969459842,43.16161200404167,52.346902957651764,17.0,0.8540321713372676,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,get_cart,4273,0,46,46.302876638204644,42.3553740256466,57.67153500346467,301.9670021062485,23.851499791661077,0.0,44,46,48,48,50,51,52,52,56,58,58
GET,get_catalogue1,2461,0,3,3.2249474725793865,1.8485530163161457,39.02791102882475,1643.0,13.737079566411866,0.0,3,3,3,4,4,4,6,7,12,39,39
GET,get_catalogue2,275,0,46,46.51556636206806,42.287214018870145,54.6900579938665,22.0,1.5350251445604484,0.0,46,46,47,47,50,51,51,51,55,55,55
GET,get_catalogue3,275,0,3,3.458358815405518,2.1509170182980597,7.433922030031681,1927.0,1.5350251445604484,0.0,3,3,4,4,4,5,6,7,7,7,7
GET,get_category,275,0,2,2.1180211316624824,0.9493670077063143,47.85075900144875,11518.0,1.5350251445604484,0.0,1,2,2,2,2,2,3,44,48,48,48
GET,get_customer,1812,0,44,45.853516128182484,43.069614039268345,60.51845598267391,345.5331125827815,10.114420225249209,0.0,44,44,48,48,48,49,52,52,57,61,61
GET,get_customer_orders,955,0,2,2.3784506421155878,0.8155389805324376,48.336664971429855,6368.0,5.330723683837193,0.0,1,2,2,2,2,3,5,44,48,48,48
GET,get_detail,429,0,2,2.1118528551817164,0.9367280290462077,47.1236560260877,10364.0,2.3946392255142994,0.0,1,2,2,2,2,2,4,25,47,47,47
GET,get_index,2308,0,2,2.093912671092959,0.8701999904587865,48.012482991907746,8688.0,12.883047395074598,0.0,1,2,2,2,2,3,4,7,48,48,48
GET,get_item,1690,0,44,45.65736849588403,41.98242601705715,53.539493994321674,286.0,9.433427252026028,0.0,44,44,48,48,48,50,52,52,53,54,54
GET,get_orders,1108,0,46,47.0549898900933,42.43759799282998,58.39292396558449,2.0,6.184755855174461,0.0,46,46,48,50,50,51,52,52,55,58,58
GET,get_related,429,0,44,45.53030172429679,42.918918014038354,56.06892897048965,760.0,2.3946392255142994,0.0,44,44,48,48,48,49,52,52,56,56,56
GET,get_tags,275,0,44,45.32259948615154,43.16579096484929,52.14713700115681,107.0,1.5350251445604484,0.0,44,44,48,48,48,48,49,52,52,52,52
GET,login,956,0,48,49.25697459699245,44.071166950743645,79.96494899271056,13.0,5.336305593453777,0.0,48,48,52,52,52,52,56,56,80,80,80
,Aggregated,18135,0,44,29.504317749198705,0.8155389805324376,79.96494899271056,2464.1405017921147,101.22793089674083,0.0,3,44,47,48,48,50,52,52,56,64,80
