Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,77,0,7,7.056335791606795,4.259294015355408,9.771067008841783,0.0,0.42973769317301047,0.0,6,7,8,8,8,9,9,10,10,10,10
GET,get_address,77,0,44,45.57304323254782,43.78625296521932,51.786999974865466,283.0,0.42973769317301047,0.0,44,44,48,48,48,48,52,52,52,52,52
GET,get_basket,77,0,2,2.327811950364138,1.1282320483587682,43.777339975349605,23020.0,0.42973769317301047,0.0,2,2,2,2,2,3,3,44,44,44,44
GET,get_card,77,0,44,45.766073365260354,43.50754001643509,52.08316195057705,17.0,0.42973769317301047,0.0,44,44,48,48,48,49,52,52,52,52,52
GET,get_cart,1899,0,46,46.418543556141614,42.42746694944799,60.1895620347932,227.5239599789363,10.598336095266843,0.0,44,46,48,48,50,51,52,52,56,60,60
GET,get_catalogue1,1112,0,3,3.3560348141782668,1.7818310298025608,9.016982978209853,1643.0,6.206082010498541,0.0,3,3,4,4,4,5,6,8,9,9,9
GET,get_catalogue2,77,0,46,46.63615261942342,42.575709987431765,58.22723201708868,22.0,0.42973769317301047,0.0,46,46,47,47,50,50,51,58,58,58,58
GET,get_catalogue3,77,0,4,3.5173688318229632,2.453924040310085,5.343079974409193,1927.0,0.42973769317301047,0.0,3,4,4,4,4,4,5,5,5,5,5
GET,get_category,77,0,2,1.698370831685939,1.1508809984661639,2.5543419760651886,11518.0,0.42973769317301047,0.0,2,2,2,2,2,2,3,3,3,3,3
GET,get_customer,786,0,44,45.828584695436916,43.21194702060893,53.02184500033036,386.0,4.386673075766055,0.0,44,44,48,48,48,52,52,52,53,53,53
GET,get_customer_orders,479,0,2,2.552329111525435,0.8448709850199521,47.98193904571235,6368.0,2.67330331207626,0.0,2,2,2,2,2,3,5,44,48,48,48
GET,get_detail,154,0,2,3.2614870949394326,1.0011879494413733,47.94377798680216,10364.0,0.8594753863460209,0.0,1,2,2,2,2,3,44,46,48,48,48
GET,get_index,1035,0,2,2.118033163332727,0.8893010090105236,48.289870959706604,8688.0,5.77634431732553,0.0,2,2,2,2,2,3,3,6,45,48,48
GET,get_item,786,0,44,45.47518474882547,42.398813006002456,52.20033199293539,286.0,4.386673075766055,0.0,44,44,48,48,48,48,50,52,52,52,52
GET,get_orders,556,0,46,47.2316277218001,42.326399008743465,60.07854698691517,2.0,3.1030410052492705,0.0,46,46,48,50,50,51,52,54,60,60,60
GET,get_related,154,0,44,45.60719450705915,43.18663600133732,52.68931796308607,760.0,0.8594753863460209,0.0,44,44,48,48,48,48,52,52,53,53,53
GET,get_tags,77,0,44,44.729124676049146,43.55264804325998,52.02938197180629,107.0,0.42973769317301047,0.0,44,44,44,44,48,48,49,52,52,52,52
GET,login,479,0,48,49.2267144704432,43.983432988170534,56.674564024433494,13.0,2.67330331207626,0.0,48,48,52,52,52,52,55,56,57,57,57
,Aggregated,8056,0,44,29.74414170177693,0.8448709850199521,60.1895620347932,2407.013530287984,44.96060852210094,0.0,3,44,47,48,48,50,52,52,56,60,60
