Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,231,0,7,7.22077011697204,4.0728969615884125,13.73331801733002,0.0,1.289295733380021,0.0,6,7,8,8,9,10,12,12,14,14,14
GET,get_address,230,0,44,45.720764567174584,43.181665998417884,52.59031604509801,283.0,1.2837143665688522,0.0,44,44,48,48,48,48,52,52,53,53,53
GET,get_basket,231,0,2,2.923579723523825,0.9970779647119343,48.03445504512638,23020.0,1.289295733380021,0.0,1,2,2,2,3,3,44,44,48,48,48
GET,get_card,230,0,45,46.22637269735012,43.27519197249785,52.34947503777221,17.0,1.2837143665688522,0.0,44,47,48,48,48,52,52,52,52,52,52
GET,get_cart,2476,0,47,46.631232818896294,42.476864997297525,60.7598660280928,339.45395799676896,13.819464224454252,0.0,44,47,48,48,50,51,52,52,56,61,61
GET,get_catalogue1,1191,0,3,3.3230178506214463,1.8505629850551486,10.098005994223058,1643.0,6.647407872102186,0.0,3,3,4,4,4,4,5,7,9,10,10
GET,get_catalogue2,231,0,46,46.59936107691071,42.29379695607349,51.09016300411895,22.0,1.289295733380021,0.0,46,46,47,49,50,50,51,51,51,51,51
GET,get_catalogue3,231,0,4,3.685904713649932,2.37987597938627,8.321206027176231,1927.0,1.289295733380021,0.0,3,4,4,4,4,5,7,7,8,8,8
GET,get_category,231,0,2,2.656123654572172,0.9128060191869736,47.96851001447067,11518.0,1.289295733380021,0.0,2,2,2,2,3,3,6,44,48,48,48
GET,get_customer,1284,0,44,45.90328336107462,43.14398899441585,56.37520499294624,386.0,7.166474985540896,0.0,44,44,48,48,48,52,52,52,56,56,56
GET,get_customer_orders,363,0,2,2.6352171105917637,0.9596970048733056,48.19369700271636,6368.0,2.026036152454319,0.0,2,2,2,2,2,3,6,44,48,48,48
GET,get_detail,462,0,2,2.110176591592684,0.7922070217318833,46.26505100168288,10364.0,2.578591466760042,0.0,1,2,2,2,2,3,3,44,46,46,46
GET,get_index,961,0,2,2.389878604312027,0.8968860493041575,48.254811961669475,8688.0,5.363693505533335,0.0,2,2,2,2,2,3,4,44,48,48,48
GET,get_item,1282,0,45,45.93227596851988,41.66690999409184,53.53475199081004,286.0,7.155312251918558,0.0,44,45,48,48,49,50,51,52,53,54,54
GET,get_orders,592,0,46,46.92417029533268,42.451988032553345,54.68701699282974,2.0,3.304169152212002,0.0,46,46,48,48,50,51,52,54,55,55,55
GET,get_related,462,0,44,45.87014815182973,43.181428976822644,52.59859299985692,760.0,2.578591466760042,0.0,44,44,48,48,48,52,52,52,53,53,53
GET,get_tags,231,0,44,45.53925163804017,42.917114042211324,52.334272011648864,107.0,1.289295733380021,0.0,44,44,48,48,48,48,51,52,52,52,52
GET,login,365,0,48,49.35123188586982,44.54126500058919,64.02149598579854,13.0,2.0371988860766566,0.0,48,48,52,52,52,52,56,60,64,64,64
,Aggregated,11284,0,44,31.433386250946217,0.7922070217318833,64.02149598579854,2480.3048564338887,62.98014309723012,0.0,3,44,48,48,48,51,52,52,56,63,64
