Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,1248,0,24,32.986584288711384,4.529744037427008,165.298277977854,0.0,6.96028347613114,0.0,10,24,56,58,63,68,81,95,150,170,170
GET,get_address,1244,0,53,63.42951220134947,43.2190370047465,120.68257096689194,283.0,6.937974875246105,0.0,48,53,81,89,98,100,110,110,120,120,120
GET,get_basket,1245,0,7,15.724985790532456,0.8972039795480669,94.19859101762995,23020.0,6.943552025467364,0.0,3,7,25,35,47,52,59,61,89,94,94
GET,get_card,1245,0,65,69.25205362504386,43.20102703059092,195.8808430354111,17.0,6.943552025467364,0.0,48,65,89,92,97,100,100,110,130,200,200
GET,get_cart,14581,0,51,61.50526687188992,42.14725096244365,210.1996709825471,313.65866538646185,81.32042737617641,0.0,47,51,73,84,95,100,120,130,140,210,210
GET,get_catalogue1,7052,0,9,15.906166332861094,1.7556229722686112,150.88105003815144,1643.0,39.33006336031795,0.0,4,9,20,24,44,52,62,78,98,150,150
GET,get_catalogue2,1536,0,53,58.11072379704759,42.18102199956775,145.7885029958561,22.0,8.56650273985371,0.0,48,53,63,65,80,90,99,120,140,150,150
GET,get_catalogue3,1535,0,11,23.263837744638092,1.8886689795181155,147.60299102636054,1927.0,8.560925589632452,0.0,5,11,46,52,59,63,69,73,140,150,150
GET,get_category,1536,0,24,22.71254780324246,0.9159659966826439,93.1216889875941,11518.0,8.56650273985371,0.0,3,24,41,43,48,53,60,64,93,93,93
GET,get_customer,7532,0,56,67.08328795288054,42.8560939617455,189.2890110029839,362.9089219330855,42.00709546652224,0.0,48,56,88,91,97,100,100,110,120,190,190
GET,get_customer_orders,1977,0,7,17.65597949929669,0.9357509552501142,94.35288899112493,6368.0,11.026025987428898,0.0,3,7,35,40,47,52,58,62,90,94,94
GET,get_detail,2783,0,4,12.0180197411864,0.8584470488131046,130.22906996775419,10364.0,15.521209065763593,0.0,2,4,10,16,45,54,60,69,100,130,130
GET,get_index,5813,0,6,17.894942100588715,0.758256996050477,102.66414098441601,8688.0,32.41997423617814,0.0,3,6,35,39,48,53,58,64,88,100,100
GET,get_item,7237,0,51,59.45482811703718,41.682974027935416,194.90828301059082,286.0,40.36183615125085,0.0,47,51,64,73,93,100,110,120,140,190,190
GET,get_orders,3214,0,53,60.392352335570685,42.82123502343893,154.0763009688817,2.0,17.92496081112619,0.0,48,53,65,73,91,97,100,110,140,150,150
GET,get_related,2778,0,54,63.067507869377934,42.87235898664221,175.71287701139227,760.0,15.493323314657298,0.0,48,54,77,87,97,100,110,110,150,180,180
GET,get_tags,1536,0,60,68.80896294592276,42.85099700791761,119.59489696891978,107.0,8.56650273985371,0.0,48,60,91,92,97,100,100,110,120,120,120
GET,login,1993,0,84,77.32350388478149,43.984513031318784,192.61010899208486,13.0,11.115260390969041,0.0,52,84,96,98,100,110,120,130,190,190,190
,Aggregated,66085,0,48,47.38931987859911,0.758256996050477,210.1996709825471,2495.6263599909207,368.5659723718962,0.0,25,48,60,71,92,98,110,110,140,190,210
