Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,231,0,7,7.8472927496446,4.693135968409479,18.507509026676416,0.0,1.2893518638964574,0.0,7,7,9,9,10,11,12,17,19,19,19
GET,get_address,231,0,44,45.886598870125944,43.085502984467894,52.3549800273031,283.0,1.2893518638964574,0.0,44,44,48,48,48,49,52,52,52,52,52
GET,get_basket,231,0,2,2.2787144944349955,1.072390004992485,44.07193302176893,23020.0,1.2893518638964574,0.0,2,2,2,2,3,3,4,4,44,44,44
GET,get_card,231,0,45,46.262170463544415,43.254237971268594,52.911171049345285,17.0,1.2893518638964574,0.0,44,45,48,48,49,52,52,52,53,53,53
GET,get_cart,2476,0,47,46.71603293283745,42.33818699140102,98.07801299029961,451.2730210016155,13.82006586583389,0.0,44,47,48,48,50,52,52,52,56,98,98
GET,get_catalogue1,1192,0,3,3.4096326407290456,1.8455430399626493,9.09093499649316,1643.0,6.653278882097736,0.0,3,3,4,4,4,5,6,7,9,9,9
GET,get_catalogue2,231,0,46,46.18558202803667,42.41746797924861,50.639592052903026,22.0,1.2893518638964574,0.0,46,46,47,47,49,50,50,51,51,51,51
GET,get_catalogue3,231,0,4,3.7680712580938875,2.1170369582250714,12.272469990421087,1927.0,1.2893518638964574,0.0,3,4,4,4,5,5,6,11,12,12,12
GET,get_category,231,0,2,2.092395865285842,0.9916239650920033,44.02222903445363,11518.0,1.2893518638964574,0.0,1,2,2,2,3,3,4,4,44,44,44
GET,get_customer,1283,0,44,45.971155352092005,43.128225952386856,52.92581202229485,386.0,7.161205373935735,0.0,44,44,48,48,48,51,52,52,53,53,53
GET,get_customer_orders,362,0,2,3.141613219361701,0.9434570092707872,48.054668004624546,6368.0,2.020542747751158,0.0,1,2,2,2,3,3,44,44,48,48,48
GET,get_detail,462,0,2,1.766125025989657,0.9830910130403936,8.635359001345932,10364.0,2.578703727792915,0.0,1,2,2,2,2,3,3,5,9,9,9
GET,get_index,961,0,2,2.181109915423022,0.7961469818837941,47.94556298293173,8688.0,5.363927018201279,0.0,2,2,2,2,2,3,3,5,48,48,48
GET,get_item,1283,0,45,45.88487907344568,42.038824991323054,53.93656302476302,286.0,7.161205373935735,0.0,44,45,48,48,50,50,52,52,53,54,54
GET,get_orders,590,0,46,47.07357825235842,42.42640302982181,98.26807596255094,2.0,3.293149782246363,0.0,46,46,48,48,50,51,53,56,98,98,98
GET,get_related,462,0,44,46.13493986287178,43.369491992052644,56.14359397441149,760.0,2.578703727792915,0.0,44,44,48,48,48,52,52,53,56,56,56
GET,get_tags,231,0,44,45.53597547099785,43.07664994848892,56.36899103410542,107.0,1.2893518638964574,0.0,44,44,48,48,48,52,52,56,56,56,56
GET,login,365,0,48,48.91423639372527,44.04061700915918,56.42709898529574,13.0,2.037287577152411,0.0,48,48,48,52,52,52,53,56,56,56,56
,Aggregated,11284,0,44,31.437619898975804,0.7961469818837941,98.26807596255094,2504.439471818504,62.982884987911795,0.0,3,44,48,48,48,50,52,52,56,98,98
