Timestamp,User Count,Type,Name,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1707426766,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1707426767,1,,Aggregated,0.000000,0.000000,4,44,46,47,50,52,52,52,52,52,52,33,0,44,29.450305418294825,1.655779022257775,51.959322998300195,2925.060606060606
1707426768,2,,Aggregated,0.000000,0.000000,4,44,46,48,48,52,52,52,52,52,52,54,0,44,31.021576125769773,1.627076999284327,51.959322998300195,2477.296296296296
1707426769,3,,Aggregated,11.000000,0.000000,3,44,47,48,48,51,52,52,55,55,55,123,0,44,29.443377881628894,1.1542129795998335,55.10789598338306,2675.2357723577234
1707426770,4,,Aggregated,24.000000,0.000000,3,44,48,48,48,51,52,52,55,55,55,194,0,44,30.637887140289525,1.1542129795998335,55.10789598338306,2571.7319587628867
1707426771,5,,Aggregated,21.666667,0.000000,3,44,47,48,48,50,52,52,55,55,55,275,0,44,29.935751855373383,1.1542129795998335,55.10789598338306,2618.061818181818
1707426772,6,,Aggregated,36.750000,0.000000,3,44,48,48,48,50,52,52,55,55,55,383,0,44,30.8460654130366,1.1542129795998335,55.10789598338306,2529.6240208877284
1707426773,7,,Aggregated,42.600000,0.000000,3,44,47,48,48,50,52,52,55,55,55,501,0,44,30.40975798467479,1.121633977163583,55.10789598338306,2578.259481037924
1707426774,8,,Aggregated,52.166667,0.000000,3,44,47,48,48,50,52,52,55,55,55,628,0,44,30.54176052256671,0.9655890171416104,55.10789598338306,2558.5095541401274
1707426775,9,,Aggregated,57.285714,0.000000,3,44,47,48,48,51,52,52,55,55,55,763,0,44,30.606484396882394,0.9655890171416104,55.10789598338306,2557.75622542595
1707426776,10,,Aggregated,67.375000,0.000000,3,44,47,48,48,51,52,52,55,55,55,950,0,44,30.75791839075177,0.9618889889679849,55.10789598338306,2550.8568421052632
1707426777,11,,Aggregated,73.777778,0.000000,3,44,47,48,48,51,52,52,55,56,56,1109,0,44,30.592791503242815,0.9618889889679849,56.1156720505096,2565.8908926961226
1707426778,12,,Aggregated,81.400000,0.000000,3,44,47,48,48,51,52,52,55,56,56,1310,0,44,30.683661801944922,0.9618889889679849,56.1156720505096,2550.4045801526718
1707426779,13,,Aggregated,97.900000,0.000000,3,44,48,48,48,51,52,52,55,56,56,1522,0,44,30.806834585065175,0.9618889889679849,56.1156720505096,2541.333114323259
1707426780,14,,Aggregated,112.200000,0.000000,3,44,48,48,49,51,52,52,55,56,56,1752,0,44,30.79138931207126,0.9618889889679849,56.1156720505096,2557.0228310502284
1707426781,15,,Aggregated,128.300000,0.000000,3,44,48,48,49,51,52,52,55,56,56,1987,0,44,30.91260344632557,0.9618889889679849,56.1156720505096,2542.8042274786108
1707426782,16,,Aggregated,142.900000,0.000000,3,44,48,48,49,51,52,52,55,56,56,2240,0,44,30.951170612804294,0.9222319931723177,56.1156720505096,2537.2
1707426783,17,,Aggregated,160.200000,0.000000,3,44,48,48,49,51,52,52,69,73,73,2525,0,44,30.982312393042786,0.9222319931723177,73.17386497743428,2549.5144554455446
1707426784,18,,Aggregated,174.400000,0.000000,3,44,48,48,49,51,52,53,69,73,73,2782,0,44,31.046579078417828,0.8039849926717579,73.17386497743428,2546.5363048166787
1707426785,19,,Aggregated,189.500000,0.000000,3,44,48,48,49,52,53,57,96,100,100,3073,0,44,31.357846612580033,0.8039849926717579,100.84197099786252,2550.8369671330947
1707426786,20,,Aggregated,206.700000,0.000000,3,44,48,48,49,52,53,57,96,100,100,3418,0,44,31.443317922817478,0.8039849926717579,100.84197099786252,2543.8408425980106
1707426787,21,,Aggregated,218.500000,0.000000,3,44,48,48,49,52,53,57,96,100,100,3703,0,44,31.44732584717892,0.8039849926717579,100.84197099786252,2542.390224142587
1707426788,22,,Aggregated,234.600000,0.000000,3,44,48,48,50,52,56,65,97,100,100,4062,0,44,31.851607965879673,0.8039849926717579,103.91498898388818,2543.897341211226
1707426789,23,,Aggregated,249.100000,0.000000,3,44,48,48,50,52,58,72,97,100,100,4369,0,44,32.19012982838395,0.8039849926717579,103.91498898388818,2536.790112153811
1707426790,24,,Aggregated,259.900000,0.000000,3,44,48,48,51,52,60,72,97,100,100,4735,0,44,32.29231723009411,0.8039849926717579,103.91498898388818,2542.889757127772
1707426791,25,,Aggregated,279.400000,0.000000,3,44,48,48,52,56,73,87,100,110,110,5100,0,44,33.180629803648436,0.8039849926717579,105.53092195186764,2536.9107843137253
1707426792,26,,Aggregated,287.700000,0.000000,4,44,48,48,52,55,72,84,100,110,110,5452,0,44,33.13828549944073,0.8039849926717579,105.53092195186764,2533.018708730741
1707426793,27,,Aggregated,300.300000,0.000000,4,44,48,48,52,57,80,88,100,110,110,5831,0,44,33.592498541215946,0.8039849926717579,105.53092195186764,2541.354827645344
1707426794,28,,Aggregated,312.300000,0.000000,4,44,48,49,52,61,83,90,100,110,110,6221,0,44,34.271251386349036,0.8039849926717579,105.53092195186764,2533.694100626909
1707426795,29,,Aggregated,323.600000,0.000000,4,44,48,49,52,63,83,90,100,110,110,6575,0,44,34.53753860662036,0.8039849926717579,107.48266900191084,2533.173536121673
1707426796,30,,Aggregated,331.400000,0.000000,5,45,48,49,53,66,87,92,100,110,110,6965,0,45,35.06055046524786,0.8039849926717579,107.48266900191084,2543.650825556353
1707426797,31,,Aggregated,344.900000,0.000000,5,45,48,50,56,79,92,97,110,130,130,7340,0,45,36.175475589103414,0.8039849926717579,129.31966502219439,2542.1197547683923
1707426798,32,,Aggregated,350.900000,0.000000,5,45,49,51,57,82,93,97,110,130,130,7746,0,45,36.64184745036448,0.8039849926717579,129.31966502219439,2529.3657371546606
1707426799,33,,Aggregated,355.700000,0.000000,6,45,49,51,57,83,93,97,110,130,130,8135,0,45,36.80570493687657,0.8039849926717579,129.31966502219439,2534.179963122311
1707426800,33,,Aggregated,366.700000,0.000000,6,46,49,51,60,87,95,99,110,130,130,8567,0,46,37.60517792234387,0.8039849926717579,129.31966502219439,2540.830745885374
1707426801,33,,Aggregated,368.200000,0.000000,7,46,50,52,62,88,96,100,110,130,130,8953,0,46,38.219740328945484,0.8039849926717579,129.31966502219439,2530.5725455154698
1707426802,33,,Aggregated,378.000000,0.000000,6,46,50,52,62,88,96,100,110,130,130,9357,0,46,38.151176203813094,0.8039849926717579,129.31966502219439,2531.1412845997647
1707426803,33,,Aggregated,383.800000,0.000000,7,46,50,52,66,90,97,100,120,140,140,9769,0,46,38.85687928051105,0.8039849926717579,140.59332496253774,2538.962636912683
1707426804,33,,Aggregated,385.500000,0.000000,8,46,51,52,72,91,97,100,120,140,140,10141,0,46,39.44285474792924,0.8039849926717579,140.59332496253774,2530.4017355290407
1707426805,33,,Aggregated,390.600000,0.000000,8,46,51,52,73,91,97,100,120,140,140,10543,0,46,39.5567936292957,0.8039849926717579,140.59332496253774,2529.953239116001
1707426806,33,,Aggregated,393.300000,0.000000,8,46,51,52,75,91,97,100,130,140,140,10966,0,46,39.77240198991328,0.8039849926717579,140.59332496253774,2535.027539668065
1707426807,33,,Aggregated,392.900000,0.000000,9,46,51,53,78,92,98,100,120,140,140,11375,0,46,40.20889017326184,0.8039849926717579,140.59332496253774,2526.7011868131867
1707426808,33,,Aggregated,395.500000,0.000000,9,46,51,53,76,91,98,100,120,140,140,11801,0,46,40.14282288556692,0.8039849926717579,140.59332496253774,2524.7975595288535
1707426809,33,,Aggregated,400.800000,0.000000,9,46,51,53,79,92,98,100,130,140,140,12204,0,46,40.42426075598565,0.8039849926717579,140.59332496253774,2529.7602425434284
1707426810,33,,Aggregated,401.300000,0.000000,10,47,52,54,80,92,98,100,130,140,140,12621,0,47,40.69310746064602,0.8039849926717579,140.59332496253774,2525.7925679423183
1707426811,33,,Aggregated,404.300000,0.000000,10,47,52,54,79,92,98,100,130,140,140,13037,0,47,40.72447673426754,0.8039849926717579,140.59332496253774,2524.582112449183
1707426812,33,,Aggregated,405.900000,0.000000,10,47,52,54,80,92,98,100,130,140,140,13448,0,47,40.90708181584253,0.8039849926717579,140.59332496253774,2526.6325847709695
1707426813,33,,Aggregated,404.100000,0.000000,10,47,52,55,80,92,98,100,130,140,140,13850,0,47,41.08083150400831,0.8039849926717579,140.59332496253774,2530.137761732852
1707426814,33,,Aggregated,406.800000,0.000000,10,47,52,55,80,92,98,100,130,140,140,14278,0,47,41.26873873607792,0.8039849926717579,140.59332496253774,2521.689732455526
1707426815,33,,Aggregated,407.500000,0.000000,10,47,52,55,81,92,98,100,130,140,140,14662,0,47,41.35834881355081,0.8039849926717579,140.59332496253774,2524.6068067112265
1707426816,33,,Aggregated,406.200000,0.000000,11,47,52,55,81,92,98,100,130,140,140,15085,0,47,41.453364955129075,0.8039849926717579,140.59332496253774,2528.6080212131255
1707426817,33,,Aggregated,411.000000,0.000000,11,47,52,56,83,92,99,100,130,140,170,15484,0,47,41.821250850584825,0.8039849926717579,174.1033039870672,2521.298695427538
1707426818,33,,Aggregated,412.600000,0.000000,11,47,52,56,83,92,99,100,130,140,170,15870,0,47,41.828168910416345,0.8039849926717579,174.1033039870672,2525.1391934467547
1707426819,33,,Aggregated,412.800000,0.000000,11,47,52,56,83,92,99,100,130,140,170,16294,0,47,41.92275031427766,0.8039849926717579,174.1033039870672,2526.820117834786
1707426820,33,,Aggregated,409.400000,0.000000,12,47,53,56,84,93,99,100,130,140,170,16698,0,47,42.22175519596943,0.8039849926717579,174.1033039870672,2522.4916157623666
1707426821,33,,Aggregated,408.700000,0.000000,12,47,52,56,84,93,99,100,130,140,170,17102,0,47,42.103486586379525,0.8039849926717579,174.1033039870672,2520.678692550579
1707426822,33,,Aggregated,408.100000,0.000000,12,47,53,56,84,93,99,100,130,140,170,17516,0,47,42.276177160360604,0.8039849926717579,174.1033039870672,2520.8614980589177
1707426823,33,,Aggregated,408.400000,0.000000,12,47,53,57,84,93,100,100,130,140,170,17928,0,47,42.48220348855138,0.8039849926717579,174.1033039870672,2522.71692324855
1707426824,33,,Aggregated,407.900000,0.000000,12,47,53,57,85,93,100,100,130,140,170,18308,0,47,42.60633341087543,0.8039849926717579,174.1033039870672,2520.947782390212
1707426825,33,,Aggregated,407.100000,0.000000,12,47,53,57,85,93,100,100,130,140,170,18698,0,47,42.65316378668953,0.8039849926717579,174.1033039870672,2521.0071130602205
1707426826,33,,Aggregated,407.800000,0.000000,13,47,53,57,86,93,100,100,130,140,170,19110,0,47,42.86740782661173,0.8039849926717579,174.1033039870672,2525.263840920984
1707426827,33,,Aggregated,403.900000,0.000000,13,47,53,57,86,94,100,100,130,140,170,19513,0,47,43.04710739369202,0.8039849926717579,174.1033039870672,2522.0116332701277
1707426828,33,,Aggregated,399.000000,0.000000,13,47,53,57,85,93,100,100,130,140,170,19916,0,47,42.89237273307175,0.8039849926717579,174.1033039870672,2520.186131753364
1707426829,33,,Aggregated,400.100000,0.000000,13,47,53,57,86,94,100,100,130,140,170,20324,0,47,43.105299051370594,0.8039849926717579,174.1033039870672,2524.19996063767
1707426830,33,,Aggregated,402.700000,0.000000,14,47,53,58,87,94,100,100,130,140,170,20722,0,47,43.2173311809318,0.8039849926717579,174.1033039870672,2522.6535566065054
1707426831,33,,Aggregated,401.900000,0.000000,14,47,54,58,87,94,100,100,130,140,170,21112,0,47,43.29704936453457,0.8039849926717579,174.1033039870672,2521.241616142478
1707426832,33,,Aggregated,401.800000,0.000000,14,47,54,58,87,94,100,100,130,140,170,21489,0,47,43.370030405104146,0.8039849926717579,174.1033039870672,2525.0461166178043
1707426833,33,,Aggregated,399.500000,0.000000,14,47,54,58,87,95,100,100,130,140,180,21891,0,47,43.628675720341114,0.8039849926717579,178.60250599915162,2524.4633867799553
1707426834,33,,Aggregated,399.000000,0.000000,14,47,54,58,87,95,100,100,130,140,180,22289,0,47,43.69873751945961,0.8039849926717579,178.60250599915162,2521.679528018305
1707426835,33,,Aggregated,396.200000,0.000000,14,47,54,58,87,94,100,100,130,140,180,22687,0,47,43.63953226840347,0.8039849926717579,178.60250599915162,2522.9341473090317
1707426836,33,,Aggregated,395.900000,0.000000,15,47,54,58,87,95,100,100,130,140,180,23118,0,47,43.79326277280841,0.8039849926717579,178.60250599915162,2524.3140842633447
1707426837,33,,Aggregated,396.900000,0.000000,15,47,54,59,87,94,100,100,130,140,180,23510,0,47,43.84447343960479,0.8039849926717579,178.60250599915162,2521.5622713738835
1707426838,33,,Aggregated,401.400000,0.000000,15,47,55,59,87,94,100,100,130,140,180,23885,0,47,43.90560469309093,0.8039849926717579,178.60250599915162,2522.3371990789196
1707426839,33,,Aggregated,401.600000,0.000000,15,48,55,59,87,95,100,100,130,140,180,24280,0,48,44.086522220838084,0.8039849926717579,178.60250599915162,2524.7758237232288
1707426840,33,,Aggregated,399.000000,0.000000,16,48,55,59,87,95,100,100,130,140,180,24703,0,48,44.17073874304713,0.8039849926717579,178.60250599915162,2521.3723029591547
1707426841,33,,Aggregated,397.600000,0.000000,16,48,55,59,87,95,100,100,130,140,180,25069,0,48,44.13329822306517,0.8039849926717579,178.60250599915162,2519.725397901791
1707426842,33,,Aggregated,395.300000,0.000000,16,48,55,59,87,95,100,100,130,140,180,25511,0,48,44.14214767109257,0.8039849926717579,178.60250599915162,2523.724393398926
1707426843,33,,Aggregated,398.300000,0.000000,16,48,55,60,88,95,100,100,130,140,180,25904,0,48,44.359778247001756,0.8039849926717579,178.60250599915162,2522.406578134651
