Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,231,0,7,7.557121513197723,4.2506870231591165,16.22693001991138,0.0,1.2893660161121663,0.0,6,7,8,9,9,11,14,15,16,16,16
GET,get_address,228,0,44,46.111688595837016,43.32210897700861,52.61734500527382,283.0,1.2726210029159044,0.0,44,44,48,48,49,52,52,52,53,53,53
GET,get_basket,229,0,2,2.0600880974574283,1.0020220070146024,44.00994203751907,23020.0,1.278202673981325,0.0,2,2,2,2,3,3,3,4,44,44,44
GET,get_card,228,0,44,46.1366063324947,43.39512903243303,52.5825209915638,17.0,1.2726210029159044,0.0,44,44,48,48,49,52,52,52,53,53,53
GET,get_cart,2473,0,47,46.79285279210405,42.43160103214905,55.605645989999175,452.27052163364334,13.803472544785226,0.0,45,47,48,48,50,52,52,52,53,56,56
GET,get_catalogue1,1189,0,3,3.497614134009066,1.800408004783094,13.067618012428284,1643.0,6.636606896785133,0.0,3,3,4,4,4,5,7,8,12,13,13
GET,get_catalogue2,231,0,46,46.64502670742507,42.42362902732566,51.04581400519237,22.0,1.2893660161121663,0.0,46,46,47,49,50,50,51,51,51,51,51
GET,get_catalogue3,231,0,4,3.7325920866705573,2.109790046233684,10.875798994675279,1927.0,1.2893660161121663,0.0,3,4,4,4,5,5,7,9,11,11,11
GET,get_category,231,0,2,2.04577850474214,0.8363070082850754,47.95177996857092,11518.0,1.2893660161121663,0.0,1,2,2,2,3,3,3,4,48,48,48
GET,get_customer,1283,0,44,46.148216649982494,43.1875929934904,56.606238009408116,386.0,7.161283976934672,0.0,44,44,48,48,48,52,52,52,56,57,57
GET,get_customer_orders,362,0,2,1.9672157153492351,1.0561160161159933,44.24520197790116,6368.0,2.0205649256822693,0.0,2,2,2,2,2,3,3,4,44,44,44
GET,get_detail,462,0,2,2.080801460142066,0.8682510233484209,48.913251026533544,10364.0,2.5787320322243326,0.0,1,2,2,2,3,3,3,7,49,49,49
GET,get_index,961,0,2,2.179741262277524,0.8522419957444072,47.9839890031144,8688.0,5.363985893869228,0.0,2,2,2,2,2,3,3,6,48,48,48
GET,get_item,1280,0,45,45.81096390656967,42.29666799074039,53.13849600497633,286.0,7.144538963738411,0.0,44,45,48,48,49,50,51,52,53,53,53
GET,get_orders,590,0,47,47.17342907304371,42.66308801015839,58.37176198838279,2.0,3.2931859285981737,0.0,46,47,48,49,51,52,52,53,58,58,58
GET,get_related,460,0,44,46.0470789713208,43.29720896203071,52.61477502062917,760.0,2.5675686900934913,0.0,44,44,48,48,49,52,52,52,53,53,53
GET,get_tags,231,0,44,45.74446575071066,42.49114799313247,52.226283005438745,107.0,1.2893660161121663,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,login,365,0,48,49.207454951869146,44.424709980376065,59.496576024685055,13.0,2.037309938878531,0.0,48,48,52,52,52,52,56,56,59,59,59
,Aggregated,11265,0,44,31.459682292804697,0.8363070082850754,59.496576024685055,2503.946826453617,62.87752455196343,0.0,3,44,48,48,48,51,52,52,56,58,59
