Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,77,0,7,7.379232169138025,5.052854001405649,12.151862996688578,0.0,0.43015051046719877,0.0,7,7,8,8,8,9,12,12,12,12,12
GET,get_address,77,0,44,45.562394688381396,43.66241599927889,51.70504899433581,283.0,0.43015051046719877,0.0,44,44,48,48,48,48,48,52,52,52,52
GET,get_basket,77,0,2,1.7598451951642629,1.1985180026385933,2.7676280005834997,23020.0,0.43015051046719877,0.0,2,2,2,2,2,2,3,3,3,3,3
GET,get_card,77,0,44,45.949337714655606,43.696421998902224,51.960812001198065,17.0,0.43015051046719877,0.0,44,44,48,48,48,52,52,52,52,52,52
GET,get_cart,1899,0,46,46.55409659186806,42.45220599841559,55.84235500282375,227.5239599789363,10.608517134768967,0.0,44,46,48,48,50,51,52,52,55,56,56
GET,get_catalogue1,1112,0,3,3.465769641420822,2.0177780024823733,9.930067993991543,1643.0,6.212043735578247,0.0,3,3,4,4,4,5,6,8,10,10,10
GET,get_catalogue2,77,0,46,46.602866532433744,42.602153996995185,50.367472002108116,22.0,0.43015051046719877,0.0,46,46,47,47,50,50,50,50,50,50,50
GET,get_catalogue3,77,0,3,3.579855284974124,2.725223996094428,7.459963999281172,1927.0,0.43015051046719877,0.0,3,3,4,4,4,5,5,7,7,7,7
GET,get_category,77,0,2,1.7010149867810587,1.1680919997161254,2.8159049979876727,11518.0,0.43015051046719877,0.0,2,2,2,2,2,2,3,3,3,3,3
GET,get_customer,787,0,44,45.85349485252983,43.204134999541566,56.12584299524315,386.0,4.39647339919072,0.0,44,44,48,48,48,49,52,52,56,56,56
GET,get_customer_orders,479,0,2,2.374142110846584,0.9789889954845421,47.983518001274206,6368.0,2.675871357321925,0.0,2,2,2,2,3,3,4,44,48,48,48
GET,get_detail,154,0,2,1.8883790388909718,1.0935109967249446,43.97182800312294,10364.0,0.8603010209343975,0.0,1,2,2,2,2,2,3,3,44,44,44
GET,get_index,1035,0,2,2.201660887914955,0.8890649987733923,47.90675299591385,8688.0,5.781893225111048,0.0,2,2,2,2,3,3,4,5,44,48,48
GET,get_item,787,0,44,45.47175117020597,42.58127800130751,52.1955909935059,286.0,4.39647339919072,0.0,44,44,48,48,48,48,51,52,52,52,52
GET,get_orders,556,0,46,47.0724893724594,42.5761880032951,52.601717005018145,2.0,3.1060218677891234,0.0,46,46,48,50,50,51,51,52,53,53,53
GET,get_related,154,0,44,45.358231681430794,43.692418999853544,51.93271100142738,760.0,0.8603010209343975,0.0,44,44,48,48,48,48,48,52,52,52,52
GET,get_tags,77,0,44,44.42922641578366,43.47654400044121,48.01098899770295,107.0,0.43015051046719877,0.0,44,44,44,44,48,48,48,48,48,48,48
GET,login,479,0,48,49.10333428603825,44.07322100450983,59.95100799918873,13.0,2.675871357321925,0.0,48,48,51,52,52,52,53,56,60,60,60
,Aggregated,8058,0,44,29.7448568831286,0.8890649987733923,59.95100799918873,2406.4995035989077,45.01497160187906,0.0,3,44,47,48,48,50,52,52,55,60,60
