Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,385,0,7,6.725114973979343,3.956656997615937,17.269607000343967,0.0,2.1488188621102813,0.0,6,7,7,7,8,9,11,13,17,17,17
GET,get_address,385,0,44,45.95514270650864,43.112138999276794,52.72009500185959,283.0,2.1488188621102813,0.0,44,44,48,48,48,51,52,52,53,53,53
GET,get_basket,385,0,2,2.3341981427065193,0.8467259976896457,49.373914996976964,23020.0,2.1488188621102813,0.0,2,2,2,2,3,3,5,43,49,49,49
GET,get_card,385,0,44,46.164026649577345,43.196897000598256,52.5500740041025,17.0,2.1488188621102813,0.0,44,44,48,48,49,52,52,52,53,53,53
GET,get_cart,4749,0,46,46.26647144281389,42.12068999913754,60.45266999717569,205.5304274584123,26.505820197822665,0.0,44,46,48,48,50,51,52,52,56,60,60
GET,get_catalogue1,2316,0,3,3.16195928974944,1.731058000586927,10.400062004919164,1643.0,12.926401258824445,0.0,3,3,3,4,4,4,6,7,9,10,10
GET,get_catalogue2,506,0,46,46.44949772917337,41.980330999649595,54.12220799917122,22.0,2.824161933059227,0.0,46,46,47,49,50,50,51,51,54,54,54
GET,get_catalogue3,506,0,3,3.4391421226310874,1.874659996246919,9.617359995900188,1927.0,2.824161933059227,0.0,3,3,4,4,4,5,6,6,10,10,10
GET,get_category,506,0,2,2.281681512016688,0.8644740009913221,47.94150700035971,11518.0,2.824161933059227,0.0,1,2,2,2,2,3,4,44,48,48,48
GET,get_customer,2432,0,44,45.734786622574575,43.01999399467604,52.981648994318675,355.84950657894734,13.573837591304427,0.0,44,44,48,48,48,49,52,52,53,53,53
GET,get_customer_orders,651,0,2,2.1331454564515213,0.876714002515655,48.07182600052329,6368.0,3.633457348659203,0.0,1,2,2,2,2,3,4,6,48,48,48
GET,get_detail,891,0,2,1.9955521603507527,0.8526189994881861,48.64972500217846,10364.0,4.972980795169508,0.0,1,2,2,2,2,3,4,6,49,49,49
GET,get_index,1931,0,2,2.118461526553565,0.8528079997631721,48.280760005582124,8688.0,10.777582396714164,0.0,1,2,2,2,2,3,4,7,48,48,48
GET,get_item,2311,0,45,45.893380032038465,41.949831997044384,59.8387999998522,286.0,12.89849452035548,0.0,44,45,48,48,49,50,51,52,57,60,60
GET,get_orders,1035,0,47,47.05420995146179,42.6430219959002,58.641046001866926,2.0,5.776694863075691,0.0,46,47,48,49,50,51,52,52,56,59,59
GET,get_related,891,0,44,45.878774720603026,42.99500400520628,53.69570200127782,760.0,4.972980795169508,0.0,44,44,48,48,48,51,52,52,54,54,54
GET,get_tags,506,0,44,45.47541444071073,43.07182299817214,55.81463099952089,107.0,2.824161933059227,0.0,44,44,48,48,48,49,52,52,56,56,56
GET,login,652,0,48,49.341257365108085,43.93733599863481,64.06729200534755,13.0,3.639038696352996,0.0,48,48,52,52,52,52,53,56,64,64,64
,Aggregated,21423,0,44,30.88730290990533,0.8467259976896457,64.06729200534755,2473.901601082948,119.56921164412613,0.0,3,44,47,48,48,50,52,52,56,60,64
